Guarani / SP vs. Vila Nova / GO
Guarani / SP vs. Criciúma / SC
Guarani / SP vs. Ituano / SP
Guarani / SP vs. Mirassol / SP
Guarani / SP vs. Vitória / BA
Guarani / SP vs. Sampaio Corrêa / MA
Guarani / SP vs. Juventude / RS
Guarani / SP vs. Londrina / PR
Guarani / SP vs. CRB / AL
Guarani / SP vs. Ponte Preta / SP
Guarani / SP vs. Atlético / GO
Guarani / SP vs. Avaí / SC
Guarani / SP vs. Botafogo / SP
Guarani / SP vs. Novorizontino / SP
Guarani / SP vs. Sport / PE
Guarani / SP vs. Ceará / CE
Guarani / SP vs. Chapecoense / SC
Guarani / SP vs. Tombense / MG
Guarani / SP vs. ABC / RN
Vila Nova / GO vs. Guarani / SP
Vila Nova / GO vs. Criciúma / SC
Vila Nova / GO vs. Ituano / SP
Vila Nova / GO vs. Mirassol / SP
Vila Nova / GO vs. Vitória / BA
Vila Nova / GO vs. Sampaio Corrêa / MA
Vila Nova / GO vs. Juventude / RS
Vila Nova / GO vs. Londrina / PR
Vila Nova / GO vs. CRB / AL
Vila Nova / GO vs. Ponte Preta / SP
Vila Nova / GO vs. Atlético / GO
Vila Nova / GO vs. Avaí / SC
Vila Nova / GO vs. Botafogo / SP
Vila Nova / GO vs. Novorizontino / SP
Vila Nova / GO vs. Sport / PE
Vila Nova / GO vs. Ceará / CE
Vila Nova / GO vs. Chapecoense / SC
Vila Nova / GO vs. Tombense / MG
Vila Nova / GO vs. ABC / RN
Criciúma / SC vs. Guarani / SP
Criciúma / SC vs. Vila Nova / GO
Criciúma / SC vs. Ituano / SP
Criciúma / SC vs. Mirassol / SP
Criciúma / SC vs. Vitória / BA
Criciúma / SC vs. Sampaio Corrêa / MA
Criciúma / SC vs. Juventude / RS
Criciúma / SC vs. Londrina / PR
Criciúma / SC vs. CRB / AL
Criciúma / SC vs. Ponte Preta / SP
Criciúma / SC vs. Atlético / GO
Criciúma / SC vs. Avaí / SC
Criciúma / SC vs. Botafogo / SP
Criciúma / SC vs. Novorizontino / SP
Criciúma / SC vs. Sport / PE
Criciúma / SC vs. Ceará / CE
Criciúma / SC vs. Chapecoense / SC
Criciúma / SC vs. Tombense / MG
Criciúma / SC vs. ABC / RN
Ituano / SP vs. Guarani / SP
Ituano / SP vs. Vila Nova / GO
Ituano / SP vs. Criciúma / SC
