Club,Position,Probability,Cumulative
Vitória / BA,20,0.038,0.038
Vasco da Gama / RJ,20,0.017,0.017
Ponte Preta / SP,20,0.001,0.001
Bahia / BA,20,0.008,0.008
Avaí / SC,20,0.322,0.322
Atlético / MG,20,0.001,0.001
São Paulo / SP,20,0.001,0.001
Atlético / GO,20,0.611,0.611
Coritiba / PR,20,0.001,0.001
Atlético / MG,19,0.003,0.004
Botafogo / RJ,19,0.001,0.001
São Paulo / SP,19,0.024,0.025
Vasco da Gama / RJ,19,0.076,0.093
Chapecoense / SC,19,0.006,0.006
Atlético / GO,19,0.26,0.871
Avaí / SC,19,0.457,0.779
Bahia / BA,19,0.022,0.03
Athletico Paranaense / PR,19,0.008,0.008
Vitória / BA,19,0.137,0.17500000000000002
Ponte Preta / SP,19,0.001,0.002
Coritiba / PR,19,0.005,0.006
Bahia / BA,18,0.094,0.124
Botafogo / RJ,18,0.014,0.015
Coritiba / PR,18,0.027,0.033
Avaí / SC,18,0.136,0.915
Vitória / BA,18,0.253,0.42800000000000005
Atlético / MG,18,0.011,0.015
São Paulo / SP,18,0.094,0.119
Ponte Preta / SP,18,0.018,0.019999999999999997
Atlético / GO,18,0.082,0.953
Athletico Paranaense / PR,18,0.041,0.049
Chapecoense / SC,18,0.034,0.04
Vasco da Gama / RJ,18,0.196,0.28900000000000003
Coritiba / PR,17,0.048,0.081
Athletico Paranaense / PR,17,0.071,0.12
Bahia / BA,17,0.139,0.263
Fluminense / RJ,17,0.005,0.005
Sport / PE,17,0.001,0.001
Botafogo / RJ,17,0.046,0.061
Atlético / GO,17,0.028,0.981
Avaí / SC,17,0.046,0.9610000000000001
Vitória / BA,17,0.195,0.623
Chapecoense / SC,17,0.028,0.068
Ponte Preta / SP,17,0.04,0.060000000000000005
Atlético / MG,17,0.023,0.038
Vasco da Gama / RJ,17,0.205,0.494
São Paulo / SP,17,0.125,0.244
Vitória / BA,16,0.119,0.742
Atlético / GO,16,0.008,0.989
Athletico Paranaense / PR,16,0.106,0.22599999999999998
Coritiba / PR,16,0.085,0.166
Chapecoense / SC,16,0.041,0.109
Avaí / SC,16,0.02,0.981
Sport / PE,16,0.003,0.004
São Paulo / SP,16,0.165,0.40900000000000003
Fluminense / RJ,16,0.013,0.018
Atlético / MG,16,0.037,0.075
Vasco da Gama / RJ,16,0.149,0.643
Ponte Preta / SP,16,0.071,0.131
Bahia / BA,16,0.127,0.39
Botafogo / RJ,16,0.056,0.11699999999999999
Fluminense / RJ,15,0.011,0.028999999999999998
Chapecoense / SC,15,0.076,0.185
Cruzeiro / MG,15,0.003,0.003
Ponte Preta / SP,15,0.083,0.214
Coritiba / PR,15,0.076,0.242
Botafogo / RJ,15,0.084,0.201
São Paulo / SP,15,0.155,0.5640000000000001
Bahia / BA,15,0.142,0.532
Sport / PE,15,0.011,0.015
Vitória / BA,15,0.091,0.8330000000000001
Athletico Paranaense / PR,15,0.101,0.327
Atlético / GO,15,0.007,0.996
Vasco da Gama / RJ,15,0.099,0.742
Avaí / SC,15,0.009,0.99
Atlético / MG,15,0.052,0.127
Vasco da Gama / RJ,14,0.093,0.835
Atlético / MG,14,0.091,0.218
Ponte Preta / SP,14,0.099,0.313
Vitória / BA,14,0.045,0.878
Athletico Paranaense / PR,14,0.122,0.449
Atlético / GO,14,0.002,0.998
Chapecoense / SC,14,0.078,0.263
Sport / PE,14,0.011,0.026
São Paulo / SP,14,0.137,0.7010000000000001
Coritiba / PR,14,0.08,0.322
Cruzeiro / MG,14,0.007,0.01
Bahia / BA,14,0.118,0.65
Fluminense / RJ,14,0.023,0.052
Avaí / SC,14,0.003,0.993
Botafogo / RJ,14,0.091,0.29200000000000004
Vasco da Gama / RJ,13,0.051,0.886
Sport / PE,13,0.019,0.045
Fluminense / RJ,13,0.04,0.092
Ponte Preta / SP,13,0.12,0.433
Vitória / BA,13,0.049,0.927
Coritiba / PR,13,0.098,0.42000000000000004
São Paulo / SP,13,0.095,0.796
Cruzeiro / MG,13,0.01,0.02
Atlético / GO,13,0.002,1.0
Atlético / MG,13,0.089,0.307
Botafogo / RJ,13,0.11,0.402
Avaí / SC,13,0.004,0.997
Bahia / BA,13,0.087,0.737
Athletico Paranaense / PR,13,0.108,0.5569999999999999
Chapecoense / SC,13,0.118,0.381
Ponte Preta / SP,12,0.128,0.5609999999999999
Athletico Paranaense / PR,12,0.111,0.668
Atlético / MG,12,0.119,0.426
Avaí / SC,12,0.003,1.0
Vitória / BA,12,0.036,0.9630000000000001
Cruzeiro / MG,12,0.027,0.047
São Paulo / SP,12,0.073,0.869
Fluminense / RJ,12,0.048,0.14
Sport / PE,12,0.029,0.074
Vasco da Gama / RJ,12,0.039,0.925
Botafogo / RJ,12,0.085,0.487
Coritiba / PR,12,0.118,0.538
Bahia / BA,12,0.088,0.825
Chapecoense / SC,12,0.096,0.477
Sport / PE,11,0.054,0.128
Bahia / BA,11,0.071,0.896
Coritiba / PR,11,0.107,0.645
Ponte Preta / SP,11,0.127,0.688
Vitória / BA,11,0.022,0.9850000000000001
Atlético / MG,11,0.114,0.54
Santos / SP,11,0.001,0.001
Cruzeiro / MG,11,0.035,0.082
Chapecoense / SC,11,0.098,0.575
São Paulo / SP,11,0.055,0.924
Fluminense / RJ,11,0.064,0.20400000000000001
Vasco da Gama / RJ,11,0.028,0.953
Athletico Paranaense / PR,11,0.104,0.772
Botafogo / RJ,11,0.12,0.607
Vasco da Gama / RJ,10,0.018,0.971
Ponte Preta / SP,10,0.109,0.797
Fluminense / RJ,10,0.106,0.31
Botafogo / RJ,10,0.127,0.734
Atlético / MG,10,0.113,0.653
Flamengo / RJ,10,0.001,0.001
Vitória / BA,10,0.006,0.991
São Paulo / SP,10,0.029,0.953
Santos / SP,10,0.001,0.002
Cruzeiro / MG,10,0.054,0.136
Sport / PE,10,0.091,0.219
Athletico Paranaense / PR,10,0.09,0.862
Chapecoense / SC,10,0.112,0.687
Coritiba / PR,10,0.095,0.74
Bahia / BA,10,0.048,0.944
Botafogo / RJ,9,0.1,0.8340000000000001
Ponte Preta / SP,9,0.099,0.896
Sport / PE,9,0.106,0.325
Vasco da Gama / RJ,9,0.02,0.991
Bahia / BA,9,0.025,0.969
Santos / SP,9,0.004,0.006
Atlético / MG,9,0.135,0.788
São Paulo / SP,9,0.028,0.981
Athletico Paranaense / PR,9,0.067,0.929
Vitória / BA,9,0.004,0.995
Fluminense / RJ,9,0.12,0.43
Cruzeiro / MG,9,0.091,0.227
Chapecoense / SC,9,0.097,0.784
Flamengo / RJ,9,0.006,0.007
Coritiba / PR,9,0.098,0.838
Athletico Paranaense / PR,8,0.043,0.972
Sport / PE,8,0.157,0.482
Vitória / BA,8,0.003,0.998
Bahia / BA,8,0.021,0.99
Coritiba / PR,8,0.091,0.929
Chapecoense / SC,8,0.101,0.885
Santos / SP,8,0.02,0.026000000000000002
São Paulo / SP,8,0.015,0.996
Flamengo / RJ,8,0.009,0.016
Botafogo / RJ,8,0.081,0.915
Cruzeiro / MG,8,0.128,0.355
Atlético / MG,8,0.097,0.885
Palmeiras / SP,8,0.001,0.001
Fluminense / RJ,8,0.17,0.6
Vasco da Gama / RJ,8,0.007,0.998
Ponte Preta / SP,8,0.056,0.952
Ponte Preta / SP,7,0.036,0.988
