Club,Position,Probability,Cumulative
Botafogo / SP,20,0.031669,0.031669
Figueirense / SC,20,0.012965,0.012965
Paraná / PR,20,4e-06,4e-06
Náutico / PE,20,0.008463,0.008463
Oeste / SP,20,0.946899,0.946899
Vitória / BA,19,0.000359,0.000359
Operário / PR,19,0.000126,0.000126
CRB / AL,19,0.00014,0.00014
Confiança / SE,19,4e-06,4e-06
Cruzeiro / MG,19,2e-06,2e-06
Botafogo / SP,19,0.501893,0.5335620000000001
Figueirense / SC,19,0.2621,0.275065
Guarani / SP,19,4e-06,4e-06
Avaí / SC,19,2e-06,2e-06
Náutico / PE,19,0.191801,0.200264
Oeste / SP,19,0.042108,0.9890070000000001
Brasil / RS,19,5.8e-05,5.8e-05
Paraná / PR,19,0.0014,0.001404
Ponte Preta / SP,19,3e-06,3e-06
Operário / PR,18,0.001406,0.001532
Guarani / SP,18,8.5e-05,8.900000000000001e-05
Brasil / RS,18,0.000971,0.001029
CRB / AL,18,0.001862,0.002002
Vitória / BA,18,0.003547,0.0039059999999999997
CSA / AL,18,2e-06,2e-06
Confiança / SE,18,8e-05,8.400000000000001e-05
Cruzeiro / MG,18,5.3e-05,5.5e-05
Botafogo / SP,18,0.297433,0.8309949999999999
Figueirense / SC,18,0.374644,0.649709
Ponte Preta / SP,18,7.6e-05,7.900000000000001e-05
Avaí / SC,18,5.8e-05,6e-05
Oeste / SP,18,0.009082,0.998089
Náutico / PE,18,0.300456,0.50072
Paraná / PR,18,0.010245,0.011649000000000001
Avaí / SC,17,0.001419,0.0014789999999999998
Sampaio Corrêa / MA,17,1e-06,1e-06
Brasil / RS,17,0.010372,0.011401
CRB / AL,17,0.016339,0.018341
Paraná / PR,17,0.057346,0.068995
CSA / AL,17,2.5e-05,2.7000000000000002e-05
Confiança / SE,17,0.001359,0.001443
Oeste / SP,17,0.001863,0.9999520000000001
Vitória / BA,17,0.027919,0.031825
Cruzeiro / MG,17,0.001375,0.0014299999999999998
Cuiabá / MT,17,9e-06,9e-06
Figueirense / SC,17,0.300514,0.950223
Guarani / SP,17,0.001643,0.001732
Botafogo / SP,17,0.151583,0.982578
Ponte Preta / SP,17,0.001484,0.0015630000000000002
Operário / PR,17,0.013324,0.014856000000000001
Náutico / PE,17,0.413425,0.914145
Figueirense / SC,16,0.0367,0.986923
Operário / PR,16,0.110527,0.125383
Ponte Preta / SP,16,0.020013,0.021575999999999998
Paraná / PR,16,0.279638,0.34863299999999997
Juventude / RS,16,2.5e-05,2.5e-05
CSA / AL,16,0.000869,0.000896
Confiança / SE,16,0.018491,0.019934
Guarani / SP,16,0.020592,0.022324
Sampaio Corrêa / MA,16,1.7e-05,1.8e-05
Náutico / PE,16,0.060008,0.9741529999999999
Cruzeiro / MG,16,0.020239,0.021669
Oeste / SP,16,4.4e-05,0.999996
CRB / AL,16,0.124205,0.142546
Vitória / BA,16,0.184662,0.21648699999999999
Cuiabá / MT,16,0.000236,0.000245
Brasil / RS,16,0.085721,0.097122
Botafogo / SP,16,0.013853,0.996431
Avaí / SC,16,0.02416,0.025639000000000002
Operário / PR,15,0.134611,0.25999400000000006
Confiança / SE,15,0.038284,0.058218
Avaí / SC,15,0.047983,0.07362199999999999
CSA / AL,15,0.002563,0.0034590000000000003
Vitória / BA,15,0.173512,0.389999
Náutico / PE,15,0.016306,0.990459
Guarani / SP,15,0.040082,0.062406
Oeste / SP,15,4e-06,1.0
Cruzeiro / MG,15,0.037644,0.059313
Paraná / PR,15,0.194472,0.5431050000000001
Botafogo / SP,15,0.002656,0.999087
América / MG,15,8e-06,8e-06
Figueirense / SC,15,0.008676,0.995599
Cuiabá / MT,15,0.000882,0.001127
Ponte Preta / SP,15,0.040224,0.06180000000000001
Juventude / RS,15,0.000123,0.00014800000000000002
Brasil / RS,15,0.116044,0.213166
CRB / AL,15,0.145847,0.288393
Sampaio Corrêa / MA,15,7.9e-05,9.7e-05
Confiança / SE,14,0.056385,0.114603
Guarani / SP,14,0.057688,0.120094
Sampaio Corrêa / MA,14,0.000269,0.000366
Juventude / RS,14,0.000386,0.000534
Figueirense / SC,14,0.002797,0.998396
Náutico / PE,14,0.005639,0.996098
CRB / AL,14,0.140923,0.42931600000000003
América / MG,14,4e-05,4.8e-05
Vitória / BA,14,0.147498,0.537497
Cuiabá / MT,14,0.002271,0.003398
Cruzeiro / MG,14,0.054595,0.113908
Botafogo / SP,14,0.000679,0.9997659999999999
CSA / AL,14,0.005593,0.009052000000000001
Operário / PR,14,0.133009,0.393003
Avaí / SC,14,0.067948,0.14157
Paraná / PR,14,0.139276,0.682381
Ponte Preta / SP,14,0.058537,0.120337
