Club,Position,Probability,Cumulative
Londrina / PR,20,0.026357,0.026357
Figueirense / SC,20,3.2e-05,3.2e-05
Criciúma / SC,20,0.171662,0.171662
São Bento / SP,20,0.537072,0.537072
Vila Nova / GO,20,0.264877,0.264877
Vila Nova / GO,19,0.339873,0.6047499999999999
São Bento / SP,19,0.245549,0.782621
Oeste / SP,19,0.00105,0.00105
Londrina / PR,19,0.116104,0.142461
Criciúma / SC,19,0.296298,0.46796000000000004
Figueirense / SC,19,0.001126,0.001158
Vila Nova / GO,18,0.250978,0.8557279999999999
Criciúma / SC,18,0.33839,0.80635
Figueirense / SC,18,0.016433,0.017591
Londrina / PR,18,0.229355,0.371816
São Bento / SP,18,0.153435,0.936056
Oeste / SP,18,0.011409,0.012459000000000001
Vitória / BA,17,0.006202,0.006202
Londrina / PR,17,0.499895,0.8717109999999999
Criciúma / SC,17,0.142745,0.949095
Oeste / SP,17,0.062804,0.075263
Figueirense / SC,17,0.107219,0.12480999999999999
Vila Nova / GO,17,0.11986,0.9755879999999999
São Bento / SP,17,0.061275,0.997331
Oeste / SP,16,0.28095,0.356213
Figueirense / SC,16,0.437979,0.562789
Vitória / BA,16,0.091349,0.097551
Guarani / SP,16,0.001231,0.001231
Londrina / PR,16,0.099922,0.971633
Vila Nova / GO,16,0.021322,0.99691
São Bento / SP,16,0.002669,1.0
Criciúma / SC,16,0.039158,0.988253
Brasil / RS,16,0.021584,0.021584
Ponte Preta / SP,16,0.003836,0.003836
Criciúma / SC,15,0.011747,1.0
Figueirense / SC,15,0.210462,0.773251
Vitória / BA,15,0.216388,0.31393899999999997
Guarani / SP,15,0.015439,0.01667
Brasil / RS,15,0.124862,0.146446
Londrina / PR,15,0.025434,0.9970669999999999
Oeste / SP,15,0.34949,0.705703
Vila Nova / GO,15,0.00309,0.9999999999999999
Ponte Preta / SP,15,0.043088,0.046924
Guarani / SP,14,0.072117,0.088787
Brasil / RS,14,0.262671,0.40911699999999995
Vitória / BA,14,0.251072,0.565011
Oeste / SP,14,0.154227,0.85993
Ponte Preta / SP,14,0.150029,0.196953
Londrina / PR,14,0.002933,1.0
Figueirense / SC,14,0.106951,0.880202
Brasil / RS,13,0.256169,0.6652859999999999
Oeste / SP,13,0.091016,0.950946
Figueirense / SC,13,0.072246,0.952448
Ponte Preta / SP,13,0.187691,0.384644
Cuiabá / MT,13,4.1e-05,4.1e-05
Guarani / SP,13,0.168746,0.257533
Vitória / BA,13,0.224091,0.7891020000000001
Oeste / SP,12,0.043064,0.99401
Operário / PR,12,0.001228,0.001228
Vitória / BA,12,0.135285,0.9243870000000001
Ponte Preta / SP,12,0.285026,0.66967
Guarani / SP,12,0.304633,0.5621659999999999
Figueirense / SC,12,0.033592,0.98604
Botafogo / SP,12,0.002921,0.002921
Brasil / RS,12,0.191953,0.857239
Cuiabá / MT,12,0.002298,0.002339
Oeste / SP,11,0.00599,1.0
Brasil / RS,11,0.126746,0.9839849999999999
Vitória / BA,11,0.074815,0.999202
Ponte Preta / SP,11,0.289152,0.9588220000000001
Cuiabá / MT,11,0.029592,0.031931
Operário / PR,11,0.031301,0.032529
Guarani / SP,11,0.368374,0.9305399999999999
Figueirense / SC,11,0.01396,1.0
Botafogo / SP,11,0.06007,0.06299099999999999
Operário / PR,10,0.271865,0.30439400000000005
Ponte Preta / SP,10,0.03501,0.993832
Paraná / PR,10,0.000561,0.000561
