Club,Position,Probability,Cumulative
Vasco da Gama / RJ,20,0.631609,0.631609
Internacional / RS,20,0.009838,0.009838
Coritiba / PR,20,0.011167,0.011167
Santos / SP,20,0.032944,0.032944
Cruzeiro / MG,20,0.000133,0.000133
Flamengo / RJ,20,0.004375,0.004375
Ponte Preta / SP,20,0.000203,0.000203
Goiás / GO,20,0.013024,0.013024
Joinville / SC,20,0.285906,0.285906
Chapecoense / SC,20,8.6e-05,8.6e-05
Figueirense / SC,20,4e-05,4e-05
Avaí / SC,20,0.010675,0.010675
Joinville / SC,19,0.410769,0.6966749999999999
Goiás / GO,19,0.061064,0.074088
Avaí / SC,19,0.050242,0.060917
Internacional / RS,19,0.049619,0.059457
Corinthians / SP,19,1e-06,1e-06
Santos / SP,19,0.109076,0.14202
Chapecoense / SC,19,0.001143,0.0012289999999999998
Ponte Preta / SP,19,0.00183,0.002033
Coritiba / PR,19,0.045101,0.056268
Athletico Paranaense / PR,19,3.5e-05,3.5e-05
Flamengo / RJ,19,0.024779,0.029154
Vasco da Gama / RJ,19,0.244537,0.876146
Figueirense / SC,19,0.000359,0.000399
Cruzeiro / MG,19,0.001445,0.0015780000000000002
Corinthians / SP,18,9e-06,1e-05
Vasco da Gama / RJ,18,0.071826,0.947972
Joinville / SC,18,0.151836,0.848511
Flamengo / RJ,18,0.068837,0.097991
São Paulo / SP,18,6e-06,6e-06
Avaí / SC,18,0.116955,0.177872
Goiás / GO,18,0.147367,0.221455
Internacional / RS,18,0.119878,0.179335
Santos / SP,18,0.197937,0.339957
Cruzeiro / MG,18,0.006258,0.007836
Athletico Paranaense / PR,18,0.000265,0.0003
Ponte Preta / SP,18,0.008032,0.010065
Coritiba / PR,18,0.102426,0.158694
Palmeiras / SP,18,1e-06,1e-06
Chapecoense / SC,18,0.006403,0.007632
Sport / PE,18,1e-06,1e-06
Fluminense / RJ,18,1e-06,1e-06
Figueirense / SC,18,0.001962,0.0023610000000000003
Figueirense / SC,17,0.004716,0.007077
Goiás / GO,17,0.168233,0.389688
Flamengo / RJ,17,0.093918,0.191909
Fluminense / RJ,17,2.7e-05,2.8e-05
Corinthians / SP,17,6e-05,7.000000000000001e-05
Internacional / RS,17,0.146971,0.326306
Grêmio / RS,17,1e-06,1e-06
Coritiba / PR,17,0.120813,0.279507
Cruzeiro / MG,17,0.013003,0.020839
Chapecoense / SC,17,0.015878,0.02351
Joinville / SC,17,0.073118,0.921629
Santos / SP,17,0.173849,0.513806
Sport / PE,17,1.2e-05,1.3000000000000001e-05
Athletico Paranaense / PR,17,0.001074,0.001374
Vasco da Gama / RJ,17,0.028618,0.97659
São Paulo / SP,17,1.3e-05,1.9e-05
Ponte Preta / SP,17,0.016982,0.027047
Avaí / SC,17,0.142714,0.32058600000000004
Internacional / RS,16,0.152684,0.47899
Corinthians / SP,16,0.000226,0.000296
Flamengo / RJ,16,0.11351,0.305419
Grêmio / RS,16,6e-06,7e-06
Coritiba / PR,16,0.130127,0.409634
Figueirense / SC,16,0.00953,0.016607
Sport / PE,16,4.3e-05,5.6000000000000006e-05
Joinville / SC,16,0.038682,0.960311
Fluminense / RJ,16,0.000113,0.00014099999999999998
Santos / SP,16,0.145154,0.65896
Cruzeiro / MG,16,0.023639,0.044478000000000004
Ponte Preta / SP,16,0.029677,0.056724
Goiás / GO,16,0.161515,0.551203
Chapecoense / SC,16,0.029749,0.053259
Athletico Paranaense / PR,16,0.002941,0.004315
Vasco da Gama / RJ,16,0.013003,0.989593
Palmeiras / SP,16,3e-06,4e-06
São Paulo / SP,16,5.5e-05,7.400000000000001e-05
Avaí / SC,16,0.149343,0.46992900000000004
Athletico Paranaense / PR,15,0.00698,0.011295
Fluminense / RJ,15,0.000345,0.000486
Sport / PE,15,0.000166,0.000222
Goiás / GO,15,0.144394,0.695597
