Club,Position,Probability,Cumulative
Ponte Preta / SP,20,5e-06,5e-06
Londrina / PR,20,0.140139,0.140139
Sampaio Corrêa / MA,20,0.001488,0.001488
Chapecoense / SC,20,0.000581,0.000581
ABC / RN,20,0.838357,0.838357
Avaí / SC,20,0.000393,0.000393
Tombense / MG,20,0.019037,0.019037
Ponte Preta / SP,19,0.000564,0.0005690000000000001
Botafogo / SP,19,0.000273,0.000273
Sampaio Corrêa / MA,19,0.031829,0.033317000000000006
Avaí / SC,19,0.012169,0.012561999999999999
Londrina / PR,19,0.629639,0.769778
CRB / AL,19,2e-06,2e-06
Chapecoense / SC,19,0.016519,0.0171
Ituano / SP,19,4.7e-05,4.7e-05
Tombense / MG,19,0.167882,0.186919
Ceará / CE,19,1e-05,1e-05
ABC / RN,19,0.141066,0.979423
Avaí / SC,18,0.079385,0.091947
Mirassol / SP,18,1.3e-05,1.3e-05
Ceará / CE,18,0.000169,0.000179
Ituano / SP,18,0.001094,0.0011409999999999999
Sampaio Corrêa / MA,18,0.174681,0.20799800000000002
Botafogo / SP,18,0.006877,0.00715
ABC / RN,18,0.017485,0.996908
Atlético / GO,18,1.8e-05,1.8e-05
Ponte Preta / SP,18,0.012648,0.013217
Londrina / PR,18,0.166987,0.936765
CRB / AL,18,0.000104,0.00010599999999999999
Chapecoense / SC,18,0.110793,0.127893
Tombense / MG,18,0.429746,0.616665
Ceará / CE,17,0.001506,0.0016849999999999999
Chapecoense / SC,17,0.201867,0.32976
Avaí / SC,17,0.180123,0.27207000000000003
Ponte Preta / SP,17,0.049442,0.06265899999999999
Botafogo / SP,17,0.033303,0.040453
Mirassol / SP,17,0.000216,0.00022899999999999998
Sampaio Corrêa / MA,17,0.283742,0.49174
Atlético / GO,17,0.000434,0.000452
CRB / AL,17,0.000957,0.001063
Londrina / PR,17,0.04307,0.979835
Tombense / MG,17,0.195844,0.812509
Ituano / SP,17,0.007044,0.008185
ABC / RN,17,0.002452,0.99936
Guarani / SP,16,1e-06,1e-06
Mirassol / SP,16,0.001325,0.001554
Botafogo / SP,16,0.083204,0.123657
CRB / AL,16,0.004239,0.005301999999999999
Londrina / PR,16,0.013913,0.993748
Ituano / SP,16,0.02093,0.029115000000000002
Ponte Preta / SP,16,0.105394,0.168053
Ceará / CE,16,0.006146,0.007831000000000001
Chapecoense / SC,16,0.224775,0.554535
Tombense / MG,16,0.100171,0.91268
Avaí / SC,16,0.221397,0.493467
ABC / RN,16,0.000509,0.999869
Atlético / GO,16,0.002673,0.003125
Sampaio Corrêa / MA,16,0.215323,0.707063
Chapecoense / SC,15,0.190215,0.74475
Criciúma / SC,15,1e-06,1e-06
Londrina / PR,15,0.004505,0.998253
Guarani / SP,15,7e-06,8e-06
CRB / AL,15,0.013446,0.018748
Ituano / SP,15,0.04602,0.075135
Atlético / GO,15,0.009956,0.013080999999999999
Juventude / RS,15,4e-06,4e-06
Mirassol / SP,15,0.005516,0.00707
Sampaio Corrêa / MA,15,0.147266,0.854329
Avaí / SC,15,0.200822,0.694289
Ponte Preta / SP,15,0.167449,0.33550199999999997
ABC / RN,15,0.000111,0.99998
Botafogo / SP,15,0.146246,0.269903
Ceará / CE,15,0.017352,0.025183
Tombense / MG,15,0.051084,0.963764
Tombense / MG,14,0.022637,0.986401
Juventude / RS,14,1.9e-05,2.3e-05
Criciúma / SC,14,6e-06,7e-06
Vila Nova / GO,14,1e-06,1e-06
Londrina / PR,14,0.001289,0.9995419999999999
Ceará / CE,14,0.040461,0.065644
CRB / AL,14,0.033881,0.052629
Guarani / SP,14,6.3e-05,7.1e-05
Atlético / GO,14,0.028266,0.041346999999999995
Novorizontino / SP,14,5e-06,5e-06
Ituano / SP,14,0.087434,0.162569
ABC / RN,14,1.9e-05,0.999999
Mirassol / SP,14,0.017364,0.024434
Sampaio Corrêa / MA,14,0.079928,0.934257
Avaí / SC,14,0.138485,0.832774
Ponte Preta / SP,14,0.219065,0.554567
Botafogo / SP,14,0.209676,0.479579
Chapecoense / SC,14,0.121401,0.866151
Guarani / SP,13,0.000387,0.00045799999999999997
Ituano / SP,13,0.135965,0.29853399999999997
Chapecoense / SC,13,0.072201,0.938352
Novorizontino / SP,13,2.9e-05,3.4e-05
Criciúma / SC,13,8.4e-05,9.099999999999999e-05
Ceará / CE,13,0.080033,0.145677
Sampaio Corrêa / MA,13,0.04014,0.974397
Juventude / RS,13,0.000131,0.000154
Vila Nova / GO,13,1.7e-05,1.8e-05
Londrina / PR,13,0.000342,0.999884
CRB / AL,13,0.069174,0.121803
Mirassol / SP,13,0.041338,0.065772
Tombense / MG,13,0.00944,0.995841
Botafogo / SP,13,0.212643,0.692222
Atlético / GO,13,0.05968,0.10102699999999999
Ponte Preta / SP,13,0.190845,0.745412
Avaí / SC,13,0.087551,0.9203250000000001
Vila Nova / GO,12,0.000103,0.000121
Guarani / SP,12,0.001576,0.002034
Tombense / MG,12,0.002992,0.998833
Sport / PE,12,2.3e-05,2.3e-05
Ponte Preta / SP,12,0.119367,0.864779
Sampaio Corrêa / MA,12,0.016649,0.991046
Juventude / RS,12,0.000816,0.0009699999999999999
Criciúma / SC,12,0.00052,0.000611
Novorizontino / SP,12,0.000209,0.000243
Ituano / SP,12,0.186403,0.484937
Mirassol / SP,12,0.082715,0.14848699999999998
Londrina / PR,12,8.5e-05,0.999969
ABC / RN,12,1e-06,1.0
Vitória / BA,12,3e-06,3e-06
Avaí / SC,12,0.044162,0.964487
CRB / AL,12,0.123565,0.245368
Chapecoense / SC,12,0.035099,0.973451
Atlético / GO,12,0.108234,0.20926099999999997
Botafogo / SP,12,0.140528,0.83275
Ceará / CE,12,0.13695,0.28262699999999996
Londrina / PR,11,2.5e-05,0.9999939999999999
Chapecoense / SC,11,0.016401,0.989852
Ituano / SP,11,0.174421,0.659358
Sampaio Corrêa / MA,11,0.006035,0.997081
Avaí / SC,11,0.021211,0.985698
Botafogo / SP,11,0.083657,0.916407
Ponte Preta / SP,11,0.06939,0.934169
Sport / PE,11,0.000128,0.00015099999999999998
Guarani / SP,11,0.005281,0.007315
Juventude / RS,11,0.002884,0.003854
Tombense / MG,11,0.000827,0.99966
Atlético / GO,11,0.152096,0.361357
Ceará / CE,11,0.173071,0.455698
Novorizontino / SP,11,0.000776,0.001019
CRB / AL,11,0.164373,0.409741
Vila Nova / GO,11,0.000387,0.000508
Mirassol / SP,11,0.126702,0.275189
Vitória / BA,11,4.3e-05,4.6e-05
Criciúma / SC,11,0.002292,0.002903
Mirassol / SP,10,0.168182,0.443371
Ponte Preta / SP,10,0.037932,0.972101
Novorizontino / SP,10,0.002895,0.003914
Chapecoense / SC,10,0.006813,0.996665
Ituano / SP,10,0.143691,0.803049
Avaí / SC,10,0.009429,0.995127
Botafogo / SP,10,0.047389,0.963796
Londrina / PR,10,5e-06,0.999999
Sampaio Corrêa / MA,10,0.002103,0.999184
CRB / AL,10,0.185398,0.595139
Juventude / RS,10,0.008605,0.012459
Sport / PE,10,0.00054,0.000691
Guarani / SP,10,0.01464,0.021955000000000002
Tombense / MG,10,0.000275,0.999935
Atlético / GO,10,0.181785,0.543142
Ceará / CE,10,0.180888,0.636586
Vila Nova / GO,10,0.001664,0.002172
Vitória / BA,10,0.000251,0.00029699999999999996
Criciúma / SC,10,0.007515,0.010418
Mirassol / SP,9,0.202038,0.645409
CRB / AL,9,0.180099,0.775238
Criciúma / SC,9,0.021824,0.032242
Novorizontino / SP,9,0.009279,0.013193
Ponte Preta / SP,9,0.019006,0.991107
Botafogo / SP,9,0.024052,0.987848
Avaí / SC,9,0.003656,0.998783
Sport / PE,9,0.002284,0.002975
Tombense / MG,9,5e-05,0.999985
Atlético / GO,9,0.192225,0.735367
Vila Nova / GO,9,0.005699,0.007871
Vitória / BA,9,0.001129,0.001426
Sampaio Corrêa / MA,9,0.000667,0.999851
Ituano / SP,9,0.107143,0.910192
Guarani / SP,9,0.036893,0.058848000000000004
Chapecoense / SC,9,0.002537,0.999202
Ceará / CE,9,0.16812,0.8047059999999999
Juventude / RS,9,0.023299,0.035758
Londrina / PR,8,1e-06,1.0
Ponte Preta / SP,8,0.007375,0.998482
Chapecoense / SC,8,0.000704,0.999906
Ituano / SP,8,0.065359,0.9755510000000001
Botafogo / SP,8,0.009775,0.997623
Sampaio Corrêa / MA,8,0.000136,0.999987
Avaí / SC,8,0.001085,0.999868
CRB / AL,8,0.141101,0.916339
Sport / PE,8,0.009042,0.012017
Juventude / RS,8,0.061169,0.096927
Tombense / MG,8,1.4e-05,0.999999
Mirassol / SP,8,0.211972,0.857381
Guarani / SP,8,0.091331,0.150179
Ceará / CE,8,0.127692,0.932398
Criciúma / SC,8,0.059516,0.091758
Vitória / BA,8,0.005381,0.0068070000000000006
Vila Nova / GO,8,0.019153,0.027024
Novorizontino / SP,8,0.029249,0.04244200000000001
Atlético / GO,8,0.159945,0.895312
Avaí / SC,7,0.00011,0.999978
Atlético / GO,7,0.061094,0.956406
Sport / PE,7,0.03493,0.046947
Ceará / CE,7,0.042948,0.9753459999999999
Tombense / MG,7,1e-06,1.0
Sampaio Corrêa / MA,7,1e-05,0.999997
Botafogo / SP,7,0.001883,0.999506
Ituano / SP,7,0.017208,0.9927590000000001
Vitória / BA,7,0.024822,0.031629000000000004
Guarani / SP,7,0.211687,0.361866
Criciúma / SC,7,0.155153,0.24691100000000002
Chapecoense / SC,7,8.6e-05,0.999992
Ponte Preta / SP,7,0.001239,0.999721
Vila Nova / GO,7,0.065451,0.092475
Novorizontino / SP,7,0.089846,0.13228800000000002
Juventude / RS,7,0.158262,0.255189
Mirassol / SP,7,0.083883,0.941264
CRB / AL,7,0.051387,0.967726
Botafogo / SP,6,0.000369,0.999875
Ceará / CE,6,0.015485,0.990831
Criciúma / SC,6,0.175409,0.42232000000000003
Vitória / BA,6,0.047664,0.079293
Vila Nova / GO,6,0.105916,0.19839099999999998
Atlético / GO,6,0.025247,0.981653
Guarani / SP,6,0.193181,0.555047
Mirassol / SP,6,0.034739,0.976003
Juventude / RS,6,0.184043,0.439232
Sport / PE,6,0.064343,0.11129
Avaí / SC,6,1.9e-05,0.999997
CRB / AL,6,0.019852,0.9875780000000001
Sampaio Corrêa / MA,6,3e-06,1.0
Ituano / SP,6,0.005042,0.997801
Chapecoense / SC,6,6e-06,0.9999979999999999
Ponte Preta / SP,6,0.000225,0.999946
Novorizontino / SP,6,0.128457,0.260745
Sport / PE,5,0.095872,0.207162
Vitória / BA,5,0.074879,0.154172
Avaí / SC,5,2e-06,0.999999
Juventude / RS,5,0.170088,0.60932
Novorizontino / SP,5,0.154474,0.415219
Chapecoense / SC,5,2e-06,1.0
Mirassol / SP,5,0.014423,0.990426
Ponte Preta / SP,5,4e-05,0.9999859999999999
Guarani / SP,5,0.156019,0.711066
Ceará / CE,5,0.005986,0.996817
Ituano / SP,5,0.001481,0.999282
CRB / AL,5,0.007788,0.995366
Atlético / GO,5,0.010934,0.992587
Criciúma / SC,5,0.16673,0.5890500000000001
Botafogo / SP,5,0.0001,0.999975
Vila Nova / GO,5,0.141182,0.339573
Guarani / SP,4,0.119038,0.830104
Ponte Preta / SP,4,1.2e-05,0.9999979999999999
Atlético / GO,4,0.004748,0.997335
Vila Nova / GO,4,0.169422,0.508995
Criciúma / SC,4,0.14542,0.73447
Juventude / RS,4,0.142737,0.752057
Mirassol / SP,4,0.006202,0.996628
Sport / PE,4,0.131748,0.33891
Botafogo / SP,4,2e-05,0.999995
CRB / AL,4,0.003127,0.998493
Novorizontino / SP,4,0.167156,0.582375
Vitória / BA,4,0.107669,0.261841
Ituano / SP,4,0.000525,0.999807
Ceará / CE,4,0.002176,0.998993
Ituano / SP,3,0.000153,0.9999600000000001
Vila Nova / GO,3,0.184217,0.6932119999999999
Botafogo / SP,3,3e-06,0.9999979999999999
Novorizontino / SP,3,0.166107,0.748482
Atlético / GO,3,0.001866,0.999201
Guarani / SP,3,0.086673,0.916777
Ponte Preta / SP,3,2e-06,1.0
Mirassol / SP,3,0.0024,0.999028
CRB / AL,3,0.001094,0.999587
Ceará / CE,3,0.000758,0.999751
Juventude / RS,3,0.11428,0.866337
Avaí / SC,3,1e-06,1.0
Sport / PE,3,0.172896,0.511806
Criciúma / SC,3,0.11959,0.85406
Vitória / BA,3,0.14996,0.41180100000000003
Atlético / GO,2,0.000668,0.999869
Guarani / SP,2,0.05651,0.973287
Vitória / BA,2,0.215626,0.6274270000000001
CRB / AL,2,0.000344,0.999931
Ceará / CE,2,0.00021,0.999961
Juventude / RS,2,0.084012,0.950349
Novorizontino / SP,2,0.147999,0.896481
Botafogo / SP,2,2e-06,1.0
Mirassol / SP,2,0.000803,0.999831
Ituano / SP,2,3.2e-05,0.999992
Criciúma / SC,2,0.091028,0.945088
Vila Nova / GO,2,0.176001,0.869213
Sport / PE,2,0.226765,0.738571
Ceará / CE,1,3.9e-05,1.0
Criciúma / SC,1,0.054912,1.0
CRB / AL,1,6.9e-05,1.0
Ituano / SP,1,8e-06,1.0
Juventude / RS,1,0.049651,1.0
Sport / PE,1,0.261429,1.0
Vitória / BA,1,0.372573,1.0
Atlético / GO,1,0.000131,1.0
Mirassol / SP,1,0.000169,1.0
Vila Nova / GO,1,0.130787,1.0
Guarani / SP,1,0.026713,1.0
Novorizontino / SP,1,0.103519,1.0
