Club,Position,Probability,Cumulative
Grêmio / RS,13,0.000909,0.001202
Fluminense / RJ,13,0.002864,0.004014
Fortaleza / CE,12,0.042751,0.07758799999999999
Grêmio / RS,12,0.002618,0.00382
Vasco da Gama / RJ,12,0.00191,0.999105
Fluminense / RJ,12,0.00777,0.011784
Flamengo / RJ,12,0.007508,0.01137
Athletico Paranaense / PR,12,0.020021,0.033349000000000004
Palmeiras / SP,12,1e-05,1e-05
América / MG,12,0.000184,0.999928
Goiás / GO,12,0.060883,0.940844
Internacional / RS,12,0.089753,0.901326
Bahia / BA,12,0.079425,0.910057
Cruzeiro / MG,12,0.173944,0.644269
Coritiba / PR,12,0.000115,0.9999560000000001
Santos / SP,12,0.017222,0.9886119999999999
Cuiabá / MT,12,0.158878,0.450531
Corinthians / SP,12,0.16525,0.667365
Atlético Mineiro / MG,12,0.06725,0.133569
São Paulo / SP,12,0.098001,0.216654
Red Bull Bragantino / SP,12,0.006507,0.009863
Internacional / RS,11,0.052238,0.953564
Fluminense / RJ,11,0.017826,0.02961
Cruzeiro / MG,11,0.140681,0.78495
Santos / SP,11,0.007232,0.995844
Vasco da Gama / RJ,11,0.00064,0.999745
Fortaleza / CE,11,0.074682,0.15227
São Paulo / SP,11,0.139285,0.355939
Corinthians / SP,11,0.129931,0.797296
Grêmio / RS,11,0.006823,0.010643
América / MG,11,5.7e-05,0.999985
Goiás / GO,11,0.032676,0.97352
Coritiba / PR,11,3.6e-05,0.999992
Atlético Mineiro / MG,11,0.105877,0.239446
Palmeiras / SP,11,4e-05,5e-05
Cuiabá / MT,11,0.172018,0.622549
Bahia / BA,11,0.046446,0.956503
Athletico Paranaense / PR,11,0.040022,0.073371
Flamengo / RJ,11,0.01778,0.029150000000000002
Red Bull Bragantino / SP,11,0.01571,0.025573
Vasco da Gama / RJ,10,0.000189,0.999934
Athletico Paranaense / PR,10,0.069132,0.142503
Coritiba / PR,10,8e-06,1.0
São Paulo / SP,10,0.164738,0.5206770000000001
Palmeiras / SP,10,0.00014,0.00018999999999999998
Corinthians / SP,10,0.087056,0.884352
Grêmio / RS,10,0.015295,0.025938
Flamengo / RJ,10,0.035282,0.06443199999999999
Cuiabá / MT,10,0.138417,0.760966
América / MG,10,1.2e-05,0.999997
Goiás / GO,10,0.015574,0.989094
Bahia / BA,10,0.023888,0.980391
Fortaleza / CE,10,0.113742,0.26601199999999997
Santos / SP,10,0.002768,0.9986119999999999
Atlético Mineiro / MG,10,0.144376,0.383822
Internacional / RS,10,0.026284,0.9798479999999999
Fluminense / RJ,10,0.036101,0.065711
Red Bull Bragantino / SP,10,0.03275,0.058323
