Club,Position,Probability,Cumulative
Vasco da Gama / RJ,20,0.083097,0.083097
Bahia / BA,20,0.0006,0.0006
Santos / SP,20,0.006948,0.006948
Cruzeiro / MG,20,4e-06,4e-06
Internacional / RS,20,0.000344,0.000344
América / MG,20,0.651713,0.651713
Corinthians / SP,20,2.2e-05,2.2e-05
Goiás / GO,20,0.001085,0.001085
Coritiba / PR,20,0.256187,0.256187
América / MG,19,0.2367,0.888413
Bahia / BA,19,0.005752,0.006352
Santos / SP,19,0.049206,0.056154
Fortaleza / CE,19,3e-06,3e-06
Cruzeiro / MG,19,9.8e-05,0.000102
Internacional / RS,19,0.005315,0.005659
São Paulo / SP,19,1e-06,1e-06
Coritiba / PR,19,0.449251,0.705438
Cuiabá / MT,19,2.1e-05,2.1e-05
Corinthians / SP,19,0.000473,0.000495
Atlético Mineiro / MG,19,2.1e-05,2.1e-05
Goiás / GO,19,0.012456,0.013541000000000001
Vasco da Gama / RJ,19,0.240703,0.3238
Cruzeiro / MG,18,0.00114,0.001242
Red Bull Bragantino / SP,18,2e-06,2e-06
Internacional / RS,18,0.033762,0.039421
Santos / SP,18,0.169781,0.225935
Fortaleza / CE,18,8e-05,8.300000000000001e-05
Atlético Mineiro / MG,18,0.000291,0.00031200000000000005
Bahia / BA,18,0.03082,0.037172
Cuiabá / MT,18,0.000501,0.000522
América / MG,18,0.085181,0.973594
Corinthians / SP,18,0.004233,0.0047279999999999996
São Paulo / SP,18,3e-05,3.1e-05
Goiás / GO,18,0.063601,0.077142
Grêmio / RS,18,2e-06,2e-06
Vasco da Gama / RJ,18,0.405796,0.729596
Athletico Paranaense / PR,18,6e-06,6e-06
Coritiba / PR,18,0.204774,0.910212
América / MG,17,0.019779,0.993373
Santos / SP,17,0.33068,0.556615
Cuiabá / MT,17,0.004004,0.004526
Red Bull Bragantino / SP,17,4.7e-05,4.9e-05
Vasco da Gama / RJ,17,0.16193,0.891526
Fluminense / RJ,17,3e-06,3e-06
Cruzeiro / MG,17,0.007915,0.009157
