Club,Position,Probability,Cumulative
Ponte Preta / SP,12,0.120291,0.863221
Avaí / SC,12,0.042831,0.966181
Sampaio Corrêa / MA,12,0.017043,0.989972
Chapecoense / SC,12,0.040959,0.966876
Criciúma / SC,12,0.000701,0.0008320000000000001
Tombense / MG,12,0.003432,0.998552
Atlético / GO,12,0.097338,0.185224
Sport / PE,12,2.3e-05,2.6000000000000002e-05
Vitória / BA,11,3.8e-05,4.4e-05
Sport / PE,11,0.000112,0.000138
Juventude / RS,11,0.003323,0.004456
CRB / AL,11,0.163631,0.404415
Londrina / PR,11,2.9e-05,0.999996
Ituano / SP,11,0.175041,0.666462
Tombense / MG,11,0.00106,0.999612
Mirassol / SP,11,0.126262,0.273941
Atlético / GO,11,0.141245,0.326469
Botafogo / SP,11,0.082177,0.920181
Novorizontino / SP,11,0.000898,0.001198
Chapecoense / SC,11,0.020096,0.986972
Ceará / CE,11,0.179837,0.487135
Criciúma / SC,11,0.002786,0.0036179999999999997
Guarani / SP,11,0.00591,0.008297
Vila Nova / GO,11,0.000493,0.0006299999999999999
Sampaio Corrêa / MA,11,0.006666,0.996638
Ponte Preta / SP,11,0.07019,0.933411
Avaí / SC,11,0.020206,0.986387
Avaí / SC,10,0.00893,0.995317
Vila Nova / GO,10,0.001956,0.0025859999999999998
Atlético / GO,10,0.17767,0.504139
Londrina / PR,10,4e-06,1.0
Sampaio Corrêa / MA,10,0.00248,0.999118
CRB / AL,10,0.186854,0.591269
Juventude / RS,10,0.009642,0.014098
Novorizontino / SP,10,0.003074,0.004272
Mirassol / SP,10,0.16798,0.441921
Tombense / MG,10,0.000293,0.9999049999999999
Sport / PE,10,0.000568,0.000706
Botafogo / SP,10,0.045559,0.96574
Vitória / BA,10,0.000228,0.000272
Ponte Preta / SP,10,0.038674,0.972085
Ituano / SP,10,0.142093,0.8085549999999999
Guarani / SP,10,0.016435,0.024732000000000004
Criciúma / SC,10,0.009198,0.012816
Chapecoense / SC,10,0.008705,0.995677
Ceará / CE,10,0.179657,0.666792
Guarani / SP,9,0.040338,0.06507
Ituano / SP,9,0.10456,0.913115
Sport / PE,9,0.002356,0.003062
Criciúma / SC,9,0.024709,0.037524999999999996
Vila Nova / GO,9,0.006684,0.00927
Vitória / BA,9,0.001204,0.0014759999999999999
Avaí / SC,9,0.003557,0.998874
Tombense / MG,9,7.9e-05,0.999984
Sampaio Corrêa / MA,9,0.000712,0.99983
CRB / AL,9,0.181142,0.772411
Novorizontino / SP,9,0.009967,0.014239
Atlético / GO,9,0.195813,0.699952
Ceará / CE,9,0.157775,0.824567
Botafogo / SP,9,0.022791,0.988531
Chapecoense / SC,9,0.003236,0.998913
Juventude / RS,9,0.025718,0.039816000000000004
Ponte Preta / SP,9,0.018896,0.990981
Mirassol / SP,9,0.200463,0.642384
Mirassol / SP,8,0.20547,0.847854
Ceará / CE,8,0.113309,0.937876
Novorizontino / SP,8,0.029968,0.044207
Avaí / SC,8,0.000983,0.999857
Botafogo / SP,8,0.009229,0.99776
Sampaio Corrêa / MA,8,0.000154,0.999984
Sport / PE,8,0.008966,0.012028
Guarani / SP,8,0.094203,0.159273
Ponte Preta / SP,8,0.007402,0.998383
Ituano / SP,8,0.062193,0.975308
CRB / AL,8,0.138894,0.911305
Vitória / BA,8,0.005531,0.007007
Juventude / RS,8,0.065237,0.10505300000000001
Chapecoense / SC,8,0.000945,0.999858
Atlético / GO,8,0.171108,0.87106
Vila Nova / GO,8,0.021915,0.031185
Tombense / MG,8,1.3e-05,0.999997
Criciúma / SC,8,0.06448,0.10200499999999998
Novorizontino / SP,7,0.087194,0.131401
Vila Nova / GO,7,0.067353,0.098538
Ponte Preta / SP,7,0.001273,0.999656
Sampaio Corrêa / MA,7,1.6e-05,1.0
Juventude / RS,7,0.156781,0.261834
Botafogo / SP,7,0.001731,0.999491
