Club,Position,Probability,Cumulative
Vila Nova / GO,20,0.999019,0.999019
Paraná / PR,20,7e-06,7e-06
Portuguesa / SP,20,1.2e-05,1.2e-05
Ponte Preta / SP,20,1e-06,1e-06
Oeste / SP,20,0.000156,0.000156
Red Bull Bragantino / SP,20,0.000701,0.000701
Boa / MG,20,2e-06,2e-06
Icasa / CE,20,0.000102,0.000102
Red Bull Bragantino / SP,19,0.473301,0.47400200000000003
Icasa / CE,19,0.23252,0.232622
Portuguesa / SP,19,0.036565,0.036577
América / RN,19,0.001438,0.001438
Ponte Preta / SP,19,0.005321,0.005322
Boa / MG,19,0.022792,0.022794
Joinville / SC,19,4e-06,4e-06
Atlético / GO,19,0.000144,0.000144
Sampaio Corrêa / MA,19,1e-05,1e-05
Oeste / SP,19,0.185645,0.185801
Náutico / PE,19,0.005688,0.005688
Avaí / SC,19,0.001327,0.001327
Luverdense / MT,19,8.2e-05,8.2e-05
Paraná / PR,19,0.033836,0.033843
Ceará / CE,19,7.9e-05,7.9e-05
Vila Nova / GO,19,0.000967,0.999986
ABC / RN,19,1e-05,1e-05
Santa Cruz / PE,19,0.000271,0.000271
América / RN,18,0.005614,0.007052
ABC / RN,18,0.000115,0.000125
Ponte Preta / SP,18,0.016785,0.022107
Icasa / CE,18,0.267256,0.499878
Sampaio Corrêa / MA,18,8e-05,9e-05
Santa Cruz / PE,18,0.001328,0.001599
Oeste / SP,18,0.234997,0.420798
Avaí / SC,18,0.006028,0.007355
Náutico / PE,18,0.018474,0.024162000000000003
Luverdense / MT,18,0.000498,0.00058
Boa / MG,18,0.054018,0.07681199999999999
Vasco da Gama / RJ,18,1e-06,1e-06
Joinville / SC,18,1.6e-05,1.9999999999999998e-05
Vila Nova / GO,18,1.4e-05,1.0
Portuguesa / SP,18,0.078459,0.115036
Paraná / PR,18,0.071137,0.10498
Atlético / GO,18,0.000776,0.00092
Red Bull Bragantino / SP,18,0.243947,0.7179490000000001
Ceará / CE,18,0.000457,0.000536
Icasa / CE,17,0.204983,0.704861
Joinville / SC,17,8.8e-05,0.000108
Vasco da Gama / RJ,17,1e-05,1.1000000000000001e-05
Boa / MG,17,0.091983,0.16879499999999997
Luverdense / MT,17,0.001981,0.002561
Ponte Preta / SP,17,0.036691,0.058798
Náutico / PE,17,0.038592,0.062754
Avaí / SC,17,0.016802,0.024157
Ceará / CE,17,0.001856,0.002392
América / MG,17,8e-06,8e-06
Santa Cruz / PE,17,0.004505,0.006104
Sampaio Corrêa / MA,17,0.000315,0.00040500000000000003
Atlético / GO,17,0.002498,0.003418
Paraná / PR,17,0.11247,0.21745
Oeste / SP,17,0.213646,0.634444
América / RN,17,0.014644,0.021696
Portuguesa / SP,17,0.121286,0.236322
ABC / RN,17,0.000469,0.000594
Red Bull Bragantino / SP,17,0.137173,0.855122
Icasa / CE,16,0.123593,0.828454
Oeste / SP,16,0.140292,0.774736
Avaí / SC,16,0.035499,0.059656
América / RN,16,0.030654,0.05235
Náutico / PE,16,0.066417,0.129171
Vasco da Gama / RJ,16,3.5e-05,4.6e-05
Luverdense / MT,16,0.005495,0.008056
Red Bull Bragantino / SP,16,0.070006,0.9251280000000001
Boa / MG,16,0.13023,0.299025
Sampaio Corrêa / MA,16,0.001118,0.001523
Portuguesa / SP,16,0.155795,0.392117
Joinville / SC,16,0.000278,0.00038599999999999995
América / MG,16,4.1e-05,4.9e-05
Ponte Preta / SP,16,0.066709,0.125507
Santa Cruz / PE,16,0.011,0.017104
Ceará / CE,16,0.005047,0.007439
Paraná / PR,16,0.149548,0.366998
Atlético / GO,16,0.006729,0.010147
ABC / RN,16,0.001514,0.002108
Joinville / SC,15,0.000865,0.001251
Ceará / CE,15,0.010806,0.018245
ABC / RN,15,0.003774,0.005882
Sampaio Corrêa / MA,15,0.002922,0.004445
Portuguesa / SP,15,0.14994,0.542057
Boa / MG,15,0.144565,0.44359
Luverdense / MT,15,0.011788,0.019844
Atlético / GO,15,0.01342,0.023566999999999998
América / RN,15,0.048678,0.101028
América / MG,15,0.000183,0.000232
Náutico / PE,15,0.090952,0.220123
Vasco da Gama / RJ,15,0.000137,0.000183
Santa Cruz / PE,15,0.02131,0.038414
Ponte Preta / SP,15,0.092248,0.217755
Avaí / SC,15,0.058267,0.117923
Icasa / CE,15,0.074358,0.902812
Red Bull Bragantino / SP,15,0.036468,0.961596
Paraná / PR,15,0.149742,0.51674
Oeste / SP,15,0.089577,0.864313
Santa Cruz / PE,14,0.035195,0.073609
Sampaio Corrêa / MA,14,0.006178,0.010623
Red Bull Bragantino / SP,14,0.019124,0.98072
Ponte Preta / SP,14,0.111163,0.328918
Joinville / SC,14,0.001904,0.0031550000000000003
América / MG,14,0.000513,0.000745
ABC / RN,14,0.007702,0.013583999999999999
Oeste / SP,14,0.056275,0.920588
Ceará / CE,14,0.019315,0.037559999999999996
Portuguesa / SP,14,0.127956,0.670013
Vasco da Gama / RJ,14,0.000393,0.000576
Icasa / CE,14,0.043621,0.946433
Boa / MG,14,0.13638,0.57997
Atlético / GO,14,0.022998,0.046564999999999995
Luverdense / MT,14,0.020989,0.040833
Avaí / SC,14,0.081174,0.199097
América / RN,14,0.067672,0.1687
Náutico / PE,14,0.110298,0.330421
Paraná / PR,14,0.13115,0.64789
Santa Cruz / PE,13,0.052073,0.125682
Joinville / SC,13,0.003817,0.006972000000000001
Náutico / PE,13,0.117965,0.448386
Vasco da Gama / RJ,13,0.000876,0.0014520000000000002
Oeste / SP,13,0.034224,0.954812
Icasa / CE,13,0.024836,0.9712689999999999
Ponte Preta / SP,13,0.119647,0.448565
Portuguesa / SP,13,0.101313,0.771326
Red Bull Bragantino / SP,13,0.009919,0.990639
Sampaio Corrêa / MA,13,0.011198,0.021821
Paraná / PR,13,0.105484,0.753374
Luverdense / MT,13,0.033193,0.07402600000000001
Boa / MG,13,0.116162,0.696132
América / RN,13,0.085157,0.253857
América / MG,13,0.001135,0.00188
ABC / RN,13,0.014016,0.0276
Ceará / CE,13,0.031028,0.068588
Atlético / GO,13,0.036101,0.082666
Avaí / SC,13,0.101856,0.300953
Red Bull Bragantino / SP,12,0.004883,0.995522
Oeste / SP,12,0.020377,0.975189
Joinville / SC,12,0.007037,0.014009
América / MG,12,0.002446,0.004326
Vasco da Gama / RJ,12,0.001956,0.003408
Sampaio Corrêa / MA,12,0.018649,0.04047
Paraná / PR,12,0.079713,0.8330869999999999
Santa Cruz / PE,12,0.069255,0.194937
Atlético / GO,12,0.051059,0.133725
Avaí / SC,12,0.115396,0.41634899999999997
Náutico / PE,12,0.115725,0.564111
Ponte Preta / SP,12,0.117495,0.56606
Portuguesa / SP,12,0.075253,0.846579
América / RN,12,0.099046,0.35290299999999997
ABC / RN,12,0.022499,0.050099000000000005
Boa / MG,12,0.091947,0.788079
