Club,Position,Probability,Cumulative
Vitória / BA,20,0.000101,0.000101
Chapecoense / SC,20,0.000298,0.000298
Bahia / BA,20,5e-06,5e-06
Sport / PE,20,0.017528,0.017528
Paraná / PR,20,0.982008,0.982008
Vasco da Gama / RJ,20,3.2e-05,3.2e-05
América / MG,20,2e-06,2e-06
Ceará / CE,20,2.6e-05,2.6e-05
Ceará / CE,19,0.021643,0.021669
Bahia / BA,19,0.005902,0.005907
Chapecoense / SC,19,0.093526,0.093824
Vitória / BA,19,0.038607,0.038708
América / MG,19,0.002923,0.0029249999999999996
Cruzeiro / MG,19,1e-06,1e-06
Sport / PE,19,0.785427,0.802955
Paraná / PR,19,0.017602,0.99961
Santos / SP,19,3.8e-05,3.8e-05
Athletico Paranaense / PR,19,9.5e-05,9.5e-05
Fluminense / RJ,19,0.000656,0.000656
Corinthians / SP,19,9.5e-05,9.5e-05
Vasco da Gama / RJ,19,0.031573,0.031604999999999994
Botafogo / RJ,19,0.001912,0.001912
Cruzeiro / MG,18,0.00027,0.00027100000000000003
Santos / SP,18,0.00069,0.0007279999999999999
Botafogo / RJ,18,0.027759,0.029671
Vitória / BA,18,0.167362,0.20607
Sport / PE,18,0.12111,0.9240649999999999
Vasco da Gama / RJ,18,0.151961,0.183566
Bahia / BA,18,0.055668,0.061575000000000005
Athletico Paranaense / PR,18,0.001385,0.00148
Paraná / PR,18,0.000343,0.999953
Ceará / CE,18,0.117132,0.138801
Corinthians / SP,18,0.00237,0.002465
Fluminense / RJ,18,0.008596,0.009252
Chapecoense / SC,18,0.309475,0.403299
América / MG,18,0.035879,0.038804
Ceará / CE,17,0.156423,0.295224
Bahia / BA,17,0.088849,0.150424
Botafogo / RJ,17,0.053619,0.08329
Fluminense / RJ,17,0.023779,0.033031000000000005
Chapecoense / SC,17,0.199138,0.602437
Corinthians / SP,17,0.007461,0.009926
Cruzeiro / MG,17,0.001074,0.001345
Paraná / PR,17,3.8e-05,0.999991
Santos / SP,17,0.002459,0.0031869999999999997
Vitória / BA,17,0.170598,0.376668
Vasco da Gama / RJ,17,0.179426,0.362992
Athletico Paranaense / PR,17,0.004404,0.005884
América / MG,17,0.069882,0.108686
Sport / PE,17,0.04285,0.966915
Sport / PE,16,0.018487,0.985402
Paraná / PR,16,8e-06,0.999999
Vasco da Gama / RJ,16,0.161238,0.52423
Athletico Paranaense / PR,16,0.010333,0.016217000000000002
Chapecoense / SC,16,0.138758,0.741195
Fluminense / RJ,16,0.041923,0.074954
Santos / SP,16,0.006222,0.009409
América / MG,16,0.101722,0.210408
Cruzeiro / MG,16,0.003087,0.004432
Corinthians / SP,16,0.015797,0.025723
