Club,Position,Probability,Cumulative
Náutico / PE,20,1.0,1.0
Criciúma / SC,19,0.207727,0.207727
Vasco da Gama / RJ,19,0.08507,0.08507
Coritiba / PR,19,0.0007,0.0007
Fluminense / RJ,19,0.038983,0.038983
Portuguesa / SP,19,0.002049,0.002049
Bahia / BA,19,0.008186,0.008186
Ponte Preta / SP,19,0.657285,0.657285
Santos / SP,18,1.3e-05,1.3e-05
Coritiba / PR,18,0.008116,0.008816
Ponte Preta / SP,18,0.202738,0.860023
Portuguesa / SP,18,0.01216,0.014209000000000001
Criciúma / SC,18,0.343559,0.5512859999999999
Flamengo / RJ,18,2.7e-05,2.7e-05
Bahia / BA,18,0.05026,0.058446
Corinthians / SP,18,8e-06,8e-06
Internacional / RS,18,1.7e-05,1.7e-05
Fluminense / RJ,18,0.126974,0.165957
Vasco da Gama / RJ,18,0.256128,0.341198
Criciúma / SC,17,0.208144,0.75943
Internacional / RS,17,0.000432,0.00044899999999999996
Ponte Preta / SP,17,0.085947,0.94597
Fluminense / RJ,17,0.210449,0.376406
Bahia / BA,17,0.125468,0.183914
Flamengo / RJ,17,0.000606,0.000633
Coritiba / PR,17,0.025901,0.034717
Vasco da Gama / RJ,17,0.303352,0.64455
Santos / SP,17,0.00032,0.000333
Corinthians / SP,17,0.000213,0.000221
Portuguesa / SP,17,0.039157,0.053366
São Paulo / SP,17,1.1e-05,1.1e-05
Portuguesa / SP,16,0.094094,0.14745999999999998
Fluminense / RJ,16,0.257461,0.633867
Vasco da Gama / RJ,16,0.201205,0.845755
Coritiba / PR,16,0.061401,0.096118
Flamengo / RJ,16,0.006061,0.006694
Internacional / RS,16,0.003965,0.0044139999999999995
São Paulo / SP,16,0.000181,0.000192
Bahia / BA,16,0.203898,0.387812
Santos / SP,16,0.002597,0.00293
Corinthians / SP,16,0.001906,0.002127
Criciúma / SC,16,0.130549,0.889979
Ponte Preta / SP,16,0.036682,0.982652
Flamengo / RJ,15,0.033961,0.040655
Corinthians / SP,15,0.010021,0.012148
Criciúma / SC,15,0.062595,0.952574
Fluminense / RJ,15,0.191456,0.8253229999999999
Coritiba / PR,15,0.129419,0.225537
Internacional / RS,15,0.02114,0.025554
Vasco da Gama / RJ,15,0.091987,0.937742
Bahia / BA,15,0.253861,0.6416729999999999
São Paulo / SP,15,0.002342,0.002534
Ponte Preta / SP,15,0.012499,0.995151
Santos / SP,15,0.010198,0.013128
Portuguesa / SP,15,0.180514,0.327974
Atlético / MG,15,7e-06,7e-06
Santos / SP,14,0.025167,0.038294999999999996
Vasco da Gama / RJ,14,0.038276,0.976018
São Paulo / SP,14,0.012048,0.014582
Fluminense / RJ,14,0.098317,0.9236399999999999
Internacional / RS,14,0.062975,0.088529
Portuguesa / SP,14,0.217968,0.5459419999999999
Ponte Preta / SP,14,0.00361,0.998761
Coritiba / PR,14,0.209151,0.43468799999999996
Flamengo / RJ,14,0.095402,0.13605699999999998
Criciúma / SC,14,0.028874,0.981448
Vitória / BA,14,2e-06,2e-06
