Club,Position,Probability,Cumulative
Vila Nova / GO,11,0.000414,0.000505
Vitória / BA,11,4.2e-05,4.6e-05
Chapecoense / SC,11,0.016283,0.98965
Ituano / SP,11,0.174266,0.658913
Guarani / SP,11,0.005268,0.007297
Novorizontino / SP,10,0.00277,0.003817
Sport / PE,10,0.000528,0.0006720000000000001
Ceará / CE,10,0.180648,0.637284
CRB / AL,10,0.185151,0.594346
Londrina / PR,10,8e-06,0.9999999999999999
Criciúma / SC,10,0.00766,0.010706
Ponte Preta / SP,10,0.038137,0.972504
Juventude / RS,10,0.008603,0.012392
Guarani / SP,10,0.01468,0.021977
Botafogo / SP,10,0.047075,0.963543
Sampaio Corrêa / MA,10,0.002099,0.999227
Avaí / SC,10,0.009452,0.994916
Mirassol / SP,10,0.168133,0.443387
Vila Nova / GO,10,0.001588,0.0020930000000000002
Vitória / BA,10,0.000223,0.000269
Tombense / MG,10,0.000226,0.999935
Ituano / SP,10,0.143851,0.802764
Chapecoense / SC,10,0.006961,0.996611
Atlético / GO,10,0.182207,0.5435570000000001
Criciúma / SC,9,0.021716,0.032422
CRB / AL,9,0.180962,0.775308
Novorizontino / SP,9,0.009248,0.013065
Vitória / BA,9,0.001098,0.001367
Tombense / MG,9,5.4e-05,0.999989
Vila Nova / GO,9,0.005865,0.007958
Sport / PE,9,0.002312,0.0029839999999999997
Guarani / SP,9,0.037025,0.059002
Botafogo / SP,9,0.024098,0.987641
Sampaio Corrêa / MA,9,0.000624,0.999851
Mirassol / SP,9,0.202063,0.64545
Avaí / SC,9,0.003888,0.998804
Atlético / GO,9,0.191293,0.73485
Ponte Preta / SP,9,0.018786,0.99129
Ituano / SP,9,0.107396,0.91016
Juventude / RS,9,0.023207,0.035599
Chapecoense / SC,9,0.002595,0.9992059999999999
Ceará / CE,9,0.16777,0.8050539999999999
Guarani / SP,8,0.090814,0.149816
Mirassol / SP,8,0.211677,0.857127
Sampaio Corrêa / MA,8,0.000134,0.999985
CRB / AL,8,0.141233,0.916541
Avaí / SC,8,0.001062,0.999866
Juventude / RS,8,0.061803,0.09740199999999999
Sport / PE,8,0.009216,0.012199999999999999
Criciúma / SC,8,0.059639,0.092061
Ceará / CE,8,0.127061,0.932115
Tombense / MG,8,1.1e-05,1.0
Chapecoense / SC,8,0.0007,0.999906
Atlético / GO,8,0.160252,0.8951020000000001
Ponte Preta / SP,8,0.007167,0.998457
Vila Nova / GO,8,0.019464,0.027422
Novorizontino / SP,8,0.028932,0.041997
Vitória / BA,8,0.00541,0.006777
Ituano / SP,8,0.06539,0.97555
Botafogo / SP,8,0.010035,0.997676
Botafogo / SP,7,0.001807,0.999483
Ituano / SP,7,0.017088,0.992638
Juventude / RS,7,0.15907,0.256472
Chapecoense / SC,7,8.4e-05,0.9999899999999999
Sampaio Corrêa / MA,7,1.3e-05,0.9999979999999999
Guarani / SP,7,0.211451,0.361267
Sport / PE,7,0.035035,0.047235
Avaí / SC,7,0.000114,0.99998
Atlético / GO,7,0.061221,0.956323
Vila Nova / GO,7,0.065093,0.092515
Vitória / BA,7,0.024618,0.031395
Ponte Preta / SP,7,0.001255,0.999712
Ceará / CE,7,0.04271,0.974825
Criciúma / SC,7,0.154796,0.246857
CRB / AL,7,0.051304,0.9678450000000001
Mirassol / SP,7,0.084231,0.941358
Novorizontino / SP,7,0.09011,0.132107
Sport / PE,6,0.064476,0.111711
Sampaio Corrêa / MA,6,2e-06,1.0
CRB / AL,6,0.019609,0.987454
Ceará / CE,6,0.015741,0.990566
Guarani / SP,6,0.194064,0.555331
Criciúma / SC,6,0.175139,0.421996
Juventude / RS,6,0.183295,0.439767
Avaí / SC,6,1.7e-05,0.999997
Mirassol / SP,6,0.034498,0.9758560000000001
Atlético / GO,6,0.025221,0.981544
Vila Nova / GO,6,0.106062,0.198577
Vitória / BA,6,0.047508,0.078903
Botafogo / SP,6,0.0004,0.999883
Ituano / SP,6,0.005121,0.9977590000000001
Novorizontino / SP,6,0.128617,0.260724
Chapecoense / SC,6,8e-06,0.9999979999999999
Ponte Preta / SP,6,0.000222,0.999934
Mirassol / SP,5,0.014534,0.99039
Ceará / CE,5,0.006003,0.996569
Vitória / BA,5,0.074614,0.15351700000000001
Vila Nova / GO,5,0.141119,0.339696
Atlético / GO,5,0.010942,0.992486
Ituano / SP,5,0.001603,0.999362
Avaí / SC,5,3e-06,1.0
Ponte Preta / SP,5,5e-05,0.999984
Criciúma / SC,5,0.166491,0.588487
Guarani / SP,5,0.155983,0.711314
CRB / AL,5,0.00788,0.995334
Sport / PE,5,0.096059,0.20777
Chapecoense / SC,5,2e-06,1.0
Novorizontino / SP,5,0.154796,0.41552
Juventude / RS,5,0.169826,0.609593
Botafogo / SP,5,9.5e-05,0.999978
Ponte Preta / SP,4,1.2e-05,0.999996
CRB / AL,4,0.003097,0.9984310000000001
Novorizontino / SP,4,0.167738,0.583258
Ituano / SP,4,0.000474,0.9998360000000001
