Club,Position,Probability,Cumulative
Red Bull Bragantino / SP,10,0.178512,0.787076
Flamengo / RJ,10,0.060887,0.966493
Cuiabá / MT,10,0.002834,0.003775
Palmeiras / SP,10,0.069205,0.951821
Athletico Paranaense / PR,10,0.006457,0.009101
Vasco da Gama / RJ,9,0.134973,0.260118
Coritiba / PR,9,0.198894,0.873199
Grêmio / RS,9,2.9e-05,3.3e-05
Corinthians / SP,9,0.025588,0.036978
Red Bull Bragantino / SP,9,0.150598,0.937674
Internacional / RS,9,0.180858,0.898419
Palmeiras / SP,9,0.038099,0.98992
Atlético Mineiro / MG,9,0.002253,0.999619
América / MG,9,0.105781,0.941745
Goiás / GO,9,0.002682,0.999575
Athletico Paranaense / PR,9,0.024423,0.033524
São Paulo / SP,9,0.003792,0.004614
Fortaleza / CE,9,3.9e-05,0.999997
Flamengo / RJ,9,0.02884,0.995333
Fluminense / RJ,9,0.069563,0.983889
Cruzeiro / MG,9,0.020955,0.028955
Cuiabá / MT,9,0.012633,0.016408
Botafogo / RJ,8,8e-06,8e-06
Vasco da Gama / RJ,8,0.336468,0.5965860000000001
São Paulo / SP,8,0.025066,0.02968
Fluminense / RJ,8,0.014511,0.9984000000000001
Internacional / RS,8,0.072834,0.971253
Coritiba / PR,8,0.087628,0.960827
Red Bull Bragantino / SP,8,0.048615,0.986289
América / MG,8,0.042975,0.98472
Grêmio / RS,8,0.000611,0.000644
Cruzeiro / MG,8,0.088816,0.11777100000000001
Flamengo / RJ,8,0.004409,0.999742
Goiás / GO,8,0.000389,0.9999640000000001
Cuiabá / MT,8,0.064283,0.08069100000000001
Palmeiras / SP,8,0.008633,0.998553
Athletico Paranaense / PR,8,0.106603,0.140127
Fortaleza / CE,8,3e-06,1.0
Atlético Mineiro / MG,8,0.000354,0.999973
Corinthians / SP,8,0.097794,0.134772
Vasco da Gama / RJ,7,0.188536,0.785122
Palmeiras / SP,7,0.001208,0.999761
América / MG,7,0.010956,0.995676
Cuiabá / MT,7,0.136703,0.217394
Internacional / RS,7,0.019894,0.991147
Botafogo / RJ,7,0.000111,0.000119
São Paulo / SP,7,0.066838,0.09651799999999999
Fluminense / RJ,7,0.001407,0.999807
Grêmio / RS,7,0.003199,0.003843
