Club,Position,Probability,Cumulative
Vasco da Gama / RJ,20,0.999001,0.999001
Joinville / SC,20,0.000423,0.000423
Coritiba / PR,20,8e-06,8e-06
Cruzeiro / MG,20,1e-06,1e-06
Figueirense / SC,20,2.6e-05,2.6e-05
Goiás / GO,20,1e-06,1e-06
Ponte Preta / SP,20,1e-06,1e-06
Avaí / SC,20,0.000539,0.000539
Palmeiras / SP,19,1e-06,1e-06
Joinville / SC,19,0.327406,0.327829
Internacional / RS,19,0.00111,0.00111
Sport / PE,19,4.6e-05,4.6e-05
Avaí / SC,19,0.418889,0.419428
Goiás / GO,19,0.010524,0.010525
Fluminense / RJ,19,3.1e-05,3.1e-05
Ponte Preta / SP,19,0.01445,0.014450999999999999
Figueirense / SC,19,0.182846,0.182872
Cruzeiro / MG,19,0.005094,0.005095
Santos / SP,19,7e-06,7e-06
Coritiba / PR,19,0.031226,0.031234
Chapecoense / SC,19,0.007407,0.007407
Flamengo / RJ,19,1e-05,1e-05
Vasco da Gama / RJ,19,0.000953,0.999954
Avaí / SC,18,0.271399,0.6908270000000001
Figueirense / SC,18,0.242284,0.425156
Chapecoense / SC,18,0.027435,0.034842
Internacional / RS,18,0.006317,0.007427
Fluminense / RJ,18,0.000224,0.000255
Goiás / GO,18,0.030422,0.040947
Joinville / SC,18,0.276731,0.60456
Santos / SP,18,6.6e-05,7.3e-05
São Paulo / SP,18,1e-06,1e-06
Coritiba / PR,18,0.084525,0.115759
Vasco da Gama / RJ,18,4.3e-05,0.999997
Athletico Paranaense / PR,18,1.2e-05,1.2e-05
Ponte Preta / SP,18,0.041163,0.055614
Cruzeiro / MG,18,0.018879,0.023974
Palmeiras / SP,18,2e-06,3e-06
Sport / PE,18,0.000395,0.000441
Flamengo / RJ,18,0.000102,0.000112
Santos / SP,17,0.000303,0.000376
Palmeiras / SP,17,3.1e-05,3.4e-05
Internacional / RS,17,0.019986,0.027413
Ponte Preta / SP,17,0.080394,0.136008
Athletico Paranaense / PR,17,0.000117,0.000129
Coritiba / PR,17,0.150249,0.266008
Joinville / SC,17,0.183111,0.787671
Chapecoense / SC,17,0.06486,0.099702
São Paulo / SP,17,3.9e-05,3.9999999999999996e-05
Cruzeiro / MG,17,0.046044,0.070018
Sport / PE,17,0.001754,0.002195
Fluminense / RJ,17,0.001164,0.0014190000000000001
Vasco da Gama / RJ,17,2e-06,0.9999990000000001
Avaí / SC,17,0.157167,0.847994
Flamengo / RJ,17,0.000601,0.000713
Figueirense / SC,17,0.231757,0.656913
Goiás / GO,17,0.062421,0.103368
Goiás / GO,16,0.101978,0.205346
Athletico Paranaense / PR,16,0.000633,0.000762
Sport / PE,16,0.005963,0.008158
Internacional / RS,16,0.046321,0.073734
Figueirense / SC,16,0.142223,0.799136
Cruzeiro / MG,16,0.085638,0.15565600000000002
Santos / SP,16,0.001272,0.001648
Coritiba / PR,16,0.194519,0.460527
Ponte Preta / SP,16,0.124602,0.26061
Avaí / SC,16,0.076289,0.924283
Fluminense / RJ,16,0.004302,0.005721
Joinville / SC,16,0.099072,0.886743
Vasco da Gama / RJ,16,1e-06,1.0
Flamengo / RJ,16,0.002306,0.003019
Chapecoense / SC,16,0.114528,0.21423
São Paulo / SP,16,0.00022,0.00026000000000000003
Palmeiras / SP,16,0.000133,0.000167
Palmeiras / SP,15,0.000462,0.000629
Fluminense / RJ,15,0.010617,0.016338
Cruzeiro / MG,15,0.11571,0.271366
Coritiba / PR,15,0.168014,0.628541
Sport / PE,15,0.013655,0.021813
Figueirense / SC,15,0.086123,0.885259
Flamengo / RJ,15,0.005653,0.008672
Avaí / SC,15,0.038702,0.962985
São Paulo / SP,15,0.000787,0.0010470000000000002
Athletico Paranaense / PR,15,0.001955,0.0027170000000000002
Ponte Preta / SP,15,0.144103,0.404713
Joinville / SC,15,0.054213,0.940956
Internacional / RS,15,0.078621,0.152355
Santos / SP,15,0.003304,0.004952
Goiás / GO,15,0.127796,0.333142
Chapecoense / SC,15,0.150285,0.36451500000000003
Coritiba / PR,14,0.132329,0.7608699999999999
Sport / PE,14,0.025549,0.047362
Fluminense / RJ,14,0.020173,0.036511
Goiás / GO,14,0.140296,0.473438
Palmeiras / SP,14,0.001213,0.001842
Santos / SP,14,0.007526,0.012478
Cruzeiro / MG,14,0.135635,0.407001
Chapecoense / SC,14,0.159344,0.5238590000000001
Athletico Paranaense / PR,14,0.00517,0.007887
Ponte Preta / SP,14,0.146378,0.551091
Figueirense / SC,14,0.052209,0.937468
Flamengo / RJ,14,0.011275,0.019947
Avaí / SC,14,0.019895,0.98288
Internacional / RS,14,0.110964,0.26331899999999997
Joinville / SC,14,0.029729,0.970685
São Paulo / SP,14,0.002315,0.003362
