Club,Position,Probability,Cumulative
Vasco da Gama / RJ,20,0.103321,0.103321
Internacional / RS,20,0.000549,0.000549
Cuiabá / MT,20,1e-06,1e-06
Cruzeiro / MG,20,5.1e-05,5.1e-05
Bahia / BA,20,0.002116,0.002116
Goiás / GO,20,0.001712,0.001712
Coritiba / PR,20,0.447304,0.447304
São Paulo / SP,20,1e-06,1e-06
América / MG,20,0.429514,0.429514
Corinthians / SP,20,8.6e-05,8.6e-05
Santos / SP,20,0.015345,0.015345
Santos / SP,19,0.064364,0.079709
Atlético Mineiro / MG,19,2e-06,2e-06
Bahia / BA,19,0.012725,0.014841
Coritiba / PR,19,0.348947,0.796251
Corinthians / SP,19,0.000965,0.001051
Cruzeiro / MG,19,0.000765,0.000816
Cuiabá / MT,19,0.000153,0.000154
Internacional / RS,19,0.005377,0.005926
São Paulo / SP,19,2.4e-05,2.5e-05
Goiás / GO,19,0.012487,0.014199
América / MG,19,0.337064,0.766578
Vasco da Gama / RJ,19,0.217127,0.32044799999999996
Coritiba / PR,18,0.140029,0.93628
São Paulo / SP,18,0.00032,0.00034500000000000004
Santos / SP,18,0.186338,0.26604700000000003
Bahia / BA,18,0.053209,0.06805
Corinthians / SP,18,0.007393,0.008444
Cuiabá / MT,18,0.001752,0.0019060000000000001
Vasco da Gama / RJ,18,0.359577,0.680025
Atlético Mineiro / MG,18,6.4e-05,6.599999999999999e-05
Flamengo / RJ,18,1e-06,1e-06
Internacional / RS,18,0.031329,0.037255
Fortaleza / CE,18,2e-05,2e-05
Cruzeiro / MG,18,0.006066,0.006882
América / MG,18,0.15636,0.922938
Goiás / GO,18,0.057542,0.071741
São Paulo / SP,17,0.002339,0.0026839999999999998
Corinthians / SP,17,0.028077,0.036521
Red Bull Bragantino / SP,17,5e-06,5e-06
Cuiabá / MT,17,0.009439,0.011345
Athletico Paranaense / PR,17,5e-05,5e-05
Vasco da Gama / RJ,17,0.174784,0.8548089999999999
Grêmio / RS,17,1e-06,1e-06
Fluminense / RJ,17,2e-06,2e-06
Cruzeiro / MG,17,0.025273,0.032155
Bahia / BA,17,0.129723,0.197773
Coritiba / PR,17,0.043621,0.979901
Fortaleza / CE,17,0.000234,0.000254
Atlético Mineiro / MG,17,0.000621,0.000687
Santos / SP,17,0.295017,0.561064
América / MG,17,0.051146,0.974084
Flamengo / RJ,17,2e-06,3e-06
Goiás / GO,17,0.14468,0.216421
Internacional / RS,17,0.094986,0.132241
Santos / SP,16,0.185384,0.746448
Vasco da Gama / RJ,16,0.07817,0.932979
Cruzeiro / MG,16,0.05786,0.090015
Red Bull Bragantino / SP,16,3.1e-05,3.6e-05
América / MG,16,0.016809,0.990893
Corinthians / SP,16,0.061671,0.098192
Coritiba / PR,16,0.013371,0.9932719999999999
Athletico Paranaense / PR,16,0.000271,0.000321
Bahia / BA,16,0.183078,0.380851
Fluminense / RJ,16,7.1e-05,7.3e-05
Cuiabá / MT,16,0.02712,0.038465
Fortaleza / CE,16,0.001326,0.0015799999999999998
Grêmio / RS,16,6e-06,7e-06
São Paulo / SP,16,0.007898,0.010582000000000001
Atlético Mineiro / MG,16,0.002867,0.0035540000000000003
Flamengo / RJ,16,4.7e-05,4.9999999999999996e-05
Goiás / GO,16,0.204034,0.420455
Internacional / RS,16,0.159986,0.292227
