Club,Position,Probability,Cumulative
Vitória / BA,20,0.326204,0.326204
Coritiba / PR,20,0.006186,0.006186
Atlético / MG,20,0.000234,0.000234
Avaí / SC,20,0.073242,0.073242
Bahia / BA,20,0.000528,0.000528
Athletico Paranaense / PR,20,0.008645,0.008645
Botafogo / RJ,20,2.4e-05,2.4e-05
Chapecoense / SC,20,0.001856,0.001856
Vasco da Gama / RJ,20,0.000602,0.000602
Atlético / GO,20,0.580965,0.580965
Ponte Preta / SP,20,0.000107,0.000107
Fluminense / RJ,20,8.3e-05,8.3e-05
São Paulo / SP,20,0.001315,0.001315
Cruzeiro / MG,20,9e-06,9e-06
Bahia / BA,19,0.004407,0.004935
Vitória / BA,19,0.395721,0.7219249999999999
Atlético / MG,19,0.002392,0.002626
Avaí / SC,19,0.211553,0.284795
Ponte Preta / SP,19,0.000994,0.001101
Cruzeiro / MG,19,0.000177,0.000186
São Paulo / SP,19,0.009782,0.011097000000000001
Chapecoense / SC,19,0.011852,0.013708
Fluminense / RJ,19,0.000887,0.0009699999999999999
Atlético / GO,19,0.279511,0.860476
Vasco da Gama / RJ,19,0.005203,0.005805
Coritiba / PR,19,0.030707,0.036893
Botafogo / RJ,19,0.000219,0.000243
Sport / PE,19,9e-06,9e-06
Athletico Paranaense / PR,19,0.046586,0.055231
Atlético / GO,18,0.093919,0.954395
Cruzeiro / MG,18,0.001341,0.001527
Bahia / BA,18,0.01882,0.023755
Botafogo / RJ,18,0.001574,0.001817
Chapecoense / SC,18,0.04471,0.058418
Atlético / MG,18,0.013066,0.015691999999999998
Athletico Paranaense / PR,18,0.137146,0.192377
Vasco da Gama / RJ,18,0.024358,0.030163000000000002
Coritiba / PR,18,0.093174,0.13006700000000002
Avaí / SC,18,0.352741,0.637536
Vitória / BA,18,0.169511,0.891436
Sport / PE,18,8.4e-05,9.3e-05
São Paulo / SP,18,0.039377,0.050474000000000005
Ponte Preta / SP,18,0.004932,0.006033
Fluminense / RJ,18,0.005247,0.006217
Fluminense / RJ,17,0.01688,0.023097
Bahia / BA,17,0.046461,0.070216
Botafogo / RJ,17,0.006283,0.0081
Sport / PE,17,0.000474,0.000567
Chapecoense / SC,17,0.092138,0.150556
Ponte Preta / SP,17,0.015299,0.021332
Palmeiras / SP,17,8e-06,8e-06
Athletico Paranaense / PR,17,0.211747,0.404124
São Paulo / SP,17,0.087759,0.138233
Vasco da Gama / RJ,17,0.059888,0.09005099999999999
Avaí / SC,17,0.169612,0.807148
Cruzeiro / MG,17,0.005503,0.00703
Atlético / GO,17,0.028286,0.9826809999999999
Coritiba / PR,17,0.161276,0.291343
Vitória / BA,17,0.061116,0.952552
Atlético / MG,17,0.03727,0.052961999999999995
Chapecoense / SC,16,0.115871,0.26642699999999997
Vasco da Gama / RJ,16,0.087583,0.177634
Cruzeiro / MG,16,0.012323,0.019353000000000002
Palmeiras / SP,16,3.3e-05,4.1e-05
São Paulo / SP,16,0.116049,0.254282
Fluminense / RJ,16,0.032321,0.055418
Ponte Preta / SP,16,0.028406,0.049738000000000004
Athletico Paranaense / PR,16,0.178318,0.582442
Bahia / BA,16,0.069955,0.140171
Botafogo / RJ,16,0.01385,0.02195
Coritiba / PR,16,0.158347,0.44969000000000003
Santos / SP,16,3e-06,3e-06
Flamengo / RJ,16,4e-06,4e-06
Atlético / MG,16,0.06121,0.114172
Avaí / SC,16,0.088519,0.895667
Vitória / BA,16,0.025512,0.9780639999999999
Sport / PE,16,0.001452,0.002019
Atlético / GO,16,0.010244,0.992925
Ponte Preta / SP,15,0.044119,0.093857
Chapecoense / SC,15,0.123886,0.390313
Cruzeiro / MG,15,0.021373,0.040726
Palmeiras / SP,15,0.000101,0.000142
