Club,Position,Probability,Cumulative
Vitória / BA,20,0.002124,0.002124
Paraná / PR,20,0.971465,0.971465
Bahia / BA,20,0.00026,0.00026
América / MG,20,8.3e-05,8.3e-05
Botafogo / RJ,20,0.002259,0.002259
Ceará / CE,20,0.000464,0.000464
Chapecoense / SC,20,0.016689,0.016689
Fluminense / RJ,20,0.000735,0.000735
Corinthians / SP,20,0.000369,0.000369
Sport / PE,20,0.003545,0.003545
Vasco da Gama / RJ,20,0.001158,0.001158
Athletico Paranaense / PR,20,0.000849,0.000849
Paraná / PR,19,0.024054,0.995519
Santos / SP,19,0.000196,0.000196
Fluminense / RJ,19,0.044306,0.045041
Athletico Paranaense / PR,19,0.048462,0.049311
Corinthians / SP,19,0.043635,0.044004
Sport / PE,19,0.120578,0.12412300000000001
Chapecoense / SC,19,0.416229,0.432918
Ceará / CE,19,0.0271,0.027563999999999998
Vasco da Gama / RJ,19,0.050643,0.051801
Botafogo / RJ,19,0.092089,0.094348
Vitória / BA,19,0.1028,0.104924
Bahia / BA,19,0.021358,0.021618
Atlético / MG,19,1.5e-05,1.5e-05
Cruzeiro / MG,19,1e-06,1e-06
América / MG,19,0.008534,0.008617
Vitória / BA,18,0.134271,0.239195
Sport / PE,18,0.128303,0.25242600000000004
Vasco da Gama / RJ,18,0.078817,0.130618
Fluminense / RJ,18,0.067374,0.112415
Chapecoense / SC,18,0.209175,0.642093
Atlético / MG,18,8.2e-05,9.7e-05
Paraná / PR,18,0.003384,0.998903
Botafogo / RJ,18,0.112391,0.206739
Santos / SP,18,0.000674,0.00087
Athletico Paranaense / PR,18,0.080325,0.129636
Bahia / BA,18,0.042479,0.064097
Corinthians / SP,18,0.074923,0.118927
Ceará / CE,18,0.049031,0.076595
América / MG,18,0.01877,0.027386999999999998
Cruzeiro / MG,18,1e-06,2e-06
Botafogo / RJ,17,0.112791,0.31953
Cruzeiro / MG,17,1.1e-05,1.3e-05
Paraná / PR,17,0.000801,0.999704
Bahia / BA,17,0.057535,0.121632
Vasco da Gama / RJ,17,0.088578,0.219196
Atlético / MG,17,0.000272,0.00036899999999999997
Corinthians / SP,17,0.089749,0.208676
Santos / SP,17,0.001365,0.002235
Sport / PE,17,0.118345,0.370771
Vitória / BA,17,0.136296,0.375491
Fluminense / RJ,17,0.079357,0.191772
Chapecoense / SC,17,0.128275,0.770368
América / MG,17,0.028765,0.056151999999999994
Ceará / CE,17,0.063732,0.14032699999999998
Athletico Paranaense / PR,17,0.094128,0.223764
Paraná / PR,16,0.000182,0.999886
Corinthians / SP,16,0.09853,0.307206
Sport / PE,16,0.108636,0.479407
Ceará / CE,16,0.075921,0.216248
Athletico Paranaense / PR,16,0.10243,0.326194
Bahia / BA,16,0.070974,0.192606
Botafogo / RJ,16,0.108011,0.427541
Santos / SP,16,0.002573,0.004808
Vitória / BA,16,0.128251,0.503742
Chapecoense / SC,16,0.083735,0.8541030000000001
Cruzeiro / MG,16,3e-05,4.3e-05
América / MG,16,0.039493,0.095645
Vasco da Gama / RJ,16,0.094057,0.313253
Fluminense / RJ,16,0.086312,0.278084
Atlético / MG,16,0.000865,0.0012339999999999999
Santos / SP,15,0.004457,0.009265
Chapecoense / SC,15,0.055328,0.909431
Botafogo / RJ,15,0.102605,0.530146
Paraná / PR,15,8.1e-05,0.999967
Sport / PE,15,0.100058,0.579465
América / MG,15,0.050782,0.146427
Ceará / CE,15,0.086156,0.302404
Bahia / BA,15,0.082307,0.274913
Corinthians / SP,15,0.102894,0.4101
Athletico Paranaense / PR,15,0.106956,0.43315
Vasco da Gama / RJ,15,0.097637,0.41089
Atlético / MG,15,0.00205,0.003284
Flamengo / RJ,15,1e-06,1e-06
Vitória / BA,15,0.117275,0.621017
Fluminense / RJ,15,0.091337,0.369421
Cruzeiro / MG,15,7.6e-05,0.000119
Chapecoense / SC,14,0.03698,0.946411
Ceará / CE,14,0.095285,0.39768899999999996
São Paulo / SP,14,1e-06,1e-06
Vitória / BA,14,0.103179,0.7241960000000001
Athletico Paranaense / PR,14,0.108395,0.5415449999999999
Flamengo / RJ,14,5e-06,6e-06
Grêmio / RS,14,2e-06,2e-06
Atlético / MG,14,0.004385,0.0076690000000000005
Fluminense / RJ,14,0.096003,0.465424
Vasco da Gama / RJ,14,0.100079,0.510969
