Club,Position,Probability,Cumulative
Chapecoense / SC,12,0.018443,0.988803
Botafogo / SP,12,0.211184,0.46631999999999996
Atlético / GO,12,0.150512,0.289331
Guarani / SP,11,0.012288,0.017449
Botafogo / SP,11,0.202343,0.668663
Ituano / SP,11,0.075457,0.93503
Chapecoense / SC,11,0.00764,0.996443
Ceará / CE,11,0.145003,0.307401
Sampaio Corrêa / MA,11,0.008183,0.996435
Avaí / SC,11,0.015182,0.991255
Novorizontino / SP,11,1.1e-05,1.2e-05
Sport / PE,11,3e-06,4e-06
Ponte Preta / SP,11,0.074282,0.9390189999999999
Mirassol / SP,11,0.051323,0.082911
CRB / AL,11,0.196988,0.575164
Criciúma / SC,11,0.002032,0.002561
Vitória / BA,11,9.3e-05,0.000106
Londrina / PR,11,0.00093,0.999657
Vila Nova / GO,11,0.000484,0.000568
Juventude / RS,11,0.003905,0.005155
Atlético / GO,11,0.196381,0.48571200000000003
Tombense / MG,11,0.007472,0.9964550000000001
Ceará / CE,10,0.196455,0.503856
Criciúma / SC,10,0.00718,0.009741
CRB / AL,10,0.181424,0.756588
Juventude / RS,10,0.011868,0.017023
Ponte Preta / SP,10,0.038871,0.9778899999999999
Novorizontino / SP,10,9.4e-05,0.000106
Mirassol / SP,10,0.099896,0.182807
Ituano / SP,10,0.040916,0.975946
Londrina / PR,10,0.000283,0.9999399999999999
Botafogo / SP,10,0.161805,0.830468
Vitória / BA,10,0.000478,0.000584
Sampaio Corrêa / MA,10,0.002692,0.999127
Avaí / SC,10,0.006266,0.997521
Vila Nova / GO,10,0.001832,0.0024000000000000002
Sport / PE,10,1.5e-05,1.9e-05
Atlético / GO,10,0.213439,0.699151
Chapecoense / SC,10,0.002634,0.999077
Guarani / SP,10,0.031213,0.048662
Tombense / MG,10,0.002639,0.999094
CRB / AL,9,0.133109,0.889697
Vitória / BA,9,0.002325,0.0029089999999999997
Vila Nova / GO,9,0.007204,0.009604000000000001
Atlético / GO,9,0.166187,0.8653379999999999
Tombense / MG,9,0.000736,0.9998300000000001
Mirassol / SP,9,0.183435,0.36624199999999996
Novorizontino / SP,9,0.000495,0.000601
Sport / PE,9,0.000134,0.000153
Avaí / SC,9,0.002073,0.999594
Ponte Preta / SP,9,0.016338,0.994228
Londrina / PR,9,5.4e-05,0.9999939999999999
Botafogo / SP,9,0.102758,0.933226
Sampaio Corrêa / MA,9,0.000741,0.999868
