Club,Position,Probability,Cumulative
Náutico / PE,20,1.0,1.0
Portuguesa / SP,19,2e-05,2e-05
Criciúma / SC,19,0.000485,0.000485
Fluminense / RJ,19,0.000328,0.000328
Bahia / BA,19,0.003918,0.003918
Ponte Preta / SP,19,0.854129,0.854129
Coritiba / PR,19,0.007447,0.007447
Vasco da Gama / RJ,19,0.133673,0.133673
Bahia / BA,18,0.106565,0.110483
Ponte Preta / SP,18,0.120642,0.974771
Coritiba / PR,18,0.100711,0.10815799999999999
Vasco da Gama / RJ,18,0.607448,0.7411209999999999
Internacional / RS,18,4.4e-05,4.4e-05
Criciúma / SC,18,0.035985,0.03647
Flamengo / RJ,18,0.000261,0.000261
Fluminense / RJ,18,0.027647,0.027975
Portuguesa / SP,18,0.000697,0.0007170000000000001
Flamengo / RJ,17,0.007764,0.008025000000000001
Portuguesa / SP,17,0.009885,0.010602
Criciúma / SC,17,0.156778,0.193248
Coritiba / PR,17,0.259296,0.367454
Bahia / BA,17,0.275514,0.385997
Ponte Preta / SP,17,0.016954,0.9917250000000001
Internacional / RS,17,0.002227,0.002271
Vasco da Gama / RJ,17,0.138005,0.8791259999999999
Fluminense / RJ,17,0.133577,0.161552
Fluminense / RJ,16,0.164921,0.326473
Vasco da Gama / RJ,16,0.077022,0.9561479999999999
Coritiba / PR,16,0.242416,0.60987
Criciúma / SC,16,0.19622,0.38946800000000004
Portuguesa / SP,16,0.031138,0.04174
Internacional / RS,16,0.015913,0.018184
Flamengo / RJ,16,0.047435,0.055459999999999995
Ponte Preta / SP,16,0.005841,0.9975660000000001
Bahia / BA,16,0.219076,0.605073
Santos / SP,16,1.8e-05,1.8e-05
São Paulo / SP,15,5e-06,5e-06
Santos / SP,15,0.000641,0.000659
Corinthians / SP,15,1e-05,1e-05
Internacional / RS,15,0.048708,0.06689200000000001
Ponte Preta / SP,15,0.00212,0.9996860000000001
Criciúma / SC,15,0.212476,0.601944
Coritiba / PR,15,0.166003,0.775873
Fluminense / RJ,15,0.190064,0.516537
Vasco da Gama / RJ,15,0.029,0.9851479999999999
Portuguesa / SP,15,0.058544,0.100284
Bahia / BA,15,0.164899,0.769972
Flamengo / RJ,15,0.12753,0.18298999999999999
Coritiba / PR,14,0.101173,0.877046
Vasco da Gama / RJ,14,0.009245,0.9943929999999999
Internacional / RS,14,0.102363,0.169255
Fluminense / RJ,14,0.192146,0.7086830000000001
Ponte Preta / SP,14,0.000314,1.0
Criciúma / SC,14,0.172405,0.774349
Flamengo / RJ,14,0.208488,0.391478
Bahia / BA,14,0.111526,0.881498
São Paulo / SP,14,0.000147,0.000152
Portuguesa / SP,14,0.09626,0.196544
Santos / SP,14,0.00559,0.006249
Corinthians / SP,14,0.000343,0.000353
Criciúma / SC,13,0.111621,0.88597
Flamengo / RJ,13,0.256139,0.647617
Fluminense / RJ,13,0.136317,0.845
Coritiba / PR,13,0.068973,0.946019
Vasco da Gama / RJ,13,0.004411,0.9988039999999999
Internacional / RS,13,0.170797,0.340052
Corinthians / SP,13,0.004309,0.004662
São Paulo / SP,13,0.002469,0.002621
Portuguesa / SP,13,0.158327,0.354871
Santos / SP,13,0.022596,0.028845000000000003
Bahia / BA,13,0.064041,0.9455389999999999
Bahia / BA,12,0.037997,0.983536
Vasco da Gama / RJ,12,0.001082,0.9998859999999999
Flamengo / RJ,12,0.189294,0.836911
São Paulo / SP,12,0.018045,0.020665999999999997
Atlético / MG,12,2.9e-05,2.9e-05
Santos / SP,12,0.064825,0.09367
Coritiba / PR,12,0.036313,0.982332
Internacional / RS,12,0.259114,0.599166
Fluminense / RJ,12,0.085819,0.9308190000000001
Corinthians / SP,12,0.018735,0.023397
Criciúma / SC,12,0.06961,0.95558
Portuguesa / SP,12,0.219137,0.574008
