Club,Position,Probability,Cumulative
São Paulo / SP,20,0.00014,0.00014
Sport / PE,20,0.08589,0.08589
Juventude / RS,20,0.000315,0.000315
Grêmio / RS,20,0.042054,0.042054
Chapecoense / SC,20,0.800334,0.800334
América / MG,20,0.000353,0.000353
Internacional / RS,20,0.003614,0.003614
Cuiabá / MT,20,0.0673,0.0673
Corinthians / SP,19,3e-06,3e-06
Cuiabá / MT,19,0.322107,0.38940699999999995
Chapecoense / SC,19,0.133681,0.934015
Juventude / RS,19,0.003648,0.003963
São Paulo / SP,19,0.002135,0.002275
Grêmio / RS,19,0.149703,0.191757
Ceará / CE,19,8e-06,8e-06
Internacional / RS,19,0.028342,0.031956
Santos / SP,19,3e-06,3e-06
América / MG,19,0.003287,0.00364
Sport / PE,19,0.357083,0.44297299999999995
América / MG,18,0.009796,0.013436
Internacional / RS,18,0.066137,0.098093
Chapecoense / SC,18,0.047955,0.98197
Juventude / RS,18,0.013667,0.01763
Sport / PE,18,0.312507,0.7554799999999999
Corinthians / SP,18,3.1e-05,3.4e-05
São Paulo / SP,18,0.008982,0.011257
Ceará / CE,18,6.1e-05,6.9e-05
Cuiabá / MT,18,0.333468,0.7228749999999999
Atlético / GO,18,1e-06,1e-06
Santos / SP,18,2.5e-05,2.8000000000000003e-05
Grêmio / RS,18,0.20737,0.399127
Atlético / GO,17,4.7e-05,4.7999999999999994e-05
Corinthians / SP,17,0.00049,0.0005239999999999999
Internacional / RS,17,0.160664,0.258757
Fluminense / RJ,17,3e-06,3e-06
Grêmio / RS,17,0.31628,0.715407
Cuiabá / MT,17,0.202594,0.925469
Chapecoense / SC,17,0.015339,0.997309
São Paulo / SP,17,0.03802,0.049277
Juventude / RS,17,0.050911,0.06854099999999999
Bahia / BA,17,1e-06,1e-06
Ceará / CE,17,0.000937,0.001006
Santos / SP,17,0.000383,0.000411
Sport / PE,17,0.180967,0.936447
América / MG,17,0.033364,0.046799999999999994
Corinthians / SP,16,0.003994,0.004518
Atlético Mineiro / MG,16,2e-06,2e-06
São Paulo / SP,16,0.122147,0.17142400000000002
Ceará / CE,16,0.00753,0.008536
Flamengo / RJ,16,1.1e-05,1.1e-05
América / MG,16,0.096846,0.143646
Fluminense / RJ,16,3.4e-05,3.7e-05
Juventude / RS,16,0.153726,0.222267
Grêmio / RS,16,0.172557,0.887964
Sport / PE,16,0.051201,0.987648
Santos / SP,16,0.002852,0.003263
Atlético / GO,16,0.000478,0.000526
Chapecoense / SC,16,0.002413,0.999722
Bahia / BA,16,1.5e-05,1.6e-05
Cuiabá / MT,16,0.06022,0.985689
Internacional / RS,16,0.325974,0.584731
Bahia / BA,15,0.000127,0.000143
Chapecoense / SC,15,0.000242,0.999964
Cuiabá / MT,15,0.011818,0.997507
Corinthians / SP,15,0.016482,0.021
Atlético / GO,15,0.002321,0.002847
Atlético Mineiro / MG,15,1.7e-05,1.9e-05
Internacional / RS,15,0.20803,0.792761
