Club,Position,Probability,Cumulative
Figueirense / SC,20,0.000199,0.000199
Brasil / RS,20,8.4e-05,8.4e-05
Internacional / RS,20,1e-05,1e-05
Paraná / PR,20,0.000409,0.000409
Goiás / GO,20,0.000881,0.000881
Náutico / PE,20,0.995593,0.995593
ABC / RN,20,0.000193,0.000193
CRB / AL,20,5e-05,5e-05
Criciúma / SC,20,8.7e-05,8.7e-05
Paysandu / PA,20,0.00192,0.00192
Luverdense / MT,20,0.000335,0.000335
Santa Cruz / PE,20,9e-06,9e-06
Guarani / SP,20,6e-06,6e-06
Boa / MG,20,0.000108,0.000108
Londrina / PR,20,5.5e-05,5.5e-05
Oeste / SP,20,6.1e-05,6.1e-05
Londrina / PR,19,0.0183,0.018355
Guarani / SP,19,0.003103,0.003109
Náutico / PE,19,0.003857,0.99945
Figueirense / SC,19,0.060109,0.060308
Boa / MG,19,0.041125,0.041233
América / MG,19,0.000777,0.000777
Luverdense / MT,19,0.085032,0.085367
Internacional / RS,19,0.010075,0.010085
Goiás / GO,19,0.185921,0.186802
Juventude / RS,19,0.000187,0.000187
Oeste / SP,19,0.035079,0.03514
Brasil / RS,19,0.03275,0.032834
Vila Nova / GO,19,0.000359,0.000359
Paysandu / PA,19,0.233339,0.235259
Ceará / CE,19,0.004812,0.004812
Paraná / PR,19,0.147541,0.14795
Santa Cruz / PE,19,0.008095,0.008104
CRB / AL,19,0.032006,0.032056
ABC / RN,19,0.065627,0.06582
Criciúma / SC,19,0.031906,0.031992999999999994
Luverdense / MT,18,0.093375,0.178742
Vila Nova / GO,18,0.000949,0.001308
Internacional / RS,18,0.017683,0.027768
Ceará / CE,18,0.008956,0.013768
Boa / MG,18,0.051665,0.09289800000000001
Londrina / PR,18,0.025583,0.043938000000000005
Santa Cruz / PE,18,0.014093,0.022197
Brasil / RS,18,0.043743,0.076577
Criciúma / SC,18,0.043937,0.07593
Figueirense / SC,18,0.066321,0.126629
América / MG,18,0.001879,0.002656
CRB / AL,18,0.045664,0.07772000000000001
Oeste / SP,18,0.047776,0.08291599999999999
Paraná / PR,18,0.144999,0.292949
Goiás / GO,18,0.152829,0.339631
Paysandu / PA,18,0.153675,0.388934
Juventude / RS,18,0.00059,0.000777
Náutico / PE,18,0.000415,0.999865
Guarani / SP,18,0.006989,0.010098
ABC / RN,18,0.078879,0.14469900000000002
Brasil / RS,17,0.05153,0.128107
Criciúma / SC,17,0.05318,0.12911
CRB / AL,17,0.054931,0.13265100000000002
Guarani / SP,17,0.011586,0.021684000000000002
Goiás / GO,17,0.123228,0.462859
Internacional / RS,17,0.024696,0.052464
Ceará / CE,17,0.013385,0.027153
Figueirense / SC,17,0.070342,0.196971
Boa / MG,17,0.05762,0.15051799999999999
ABC / RN,17,0.084485,0.229184
Santa Cruz / PE,17,0.020013,0.04221
América / MG,17,0.003341,0.005997
Paraná / PR,17,0.128112,0.421061
Náutico / PE,17,8e-05,0.999945
Luverdense / MT,17,0.094375,0.273117
Paysandu / PA,17,0.117627,0.506561
Oeste / SP,17,0.056144,0.13906
Londrina / PR,17,0.032371,0.076309
Vila Nova / GO,17,0.001735,0.0030429999999999997
Juventude / RS,17,0.001219,0.001996
Santa Cruz / PE,16,0.026091,0.068301
ABC / RN,16,0.0858,0.31498400000000004
Oeste / SP,16,0.062602,0.201662
Criciúma / SC,16,0.060322,0.189432
Paysandu / PA,16,0.094266,0.600827
CRB / AL,16,0.061642,0.194293
Figueirense / SC,16,0.071503,0.268474
Vila Nova / GO,16,0.002777,0.00582
Paraná / PR,16,0.109075,0.5301359999999999
Juventude / RS,16,0.002182,0.004177999999999999
Goiás / GO,16,0.102334,0.565193
Boa / MG,16,0.062188,0.212706
Náutico / PE,16,3.4e-05,0.999979
Londrina / PR,16,0.037715,0.114024
Internacional / RS,16,0.03098,0.083444
Brasil / RS,16,0.057663,0.18577
Luverdense / MT,16,0.092664,0.365781
Ceará / CE,16,0.018262,0.045415
Guarani / SP,16,0.016641,0.038325
América / MG,16,0.005259,0.011255999999999999
Náutico / PE,15,1.6e-05,0.999995
Paysandu / PA,15,0.077571,0.6783980000000001
Luverdense / MT,15,0.088278,0.454059
Goiás / GO,15,0.084577,0.64977
Figueirense / SC,15,0.071937,0.340411
Santa Cruz / PE,15,0.032133,0.100434
Ceará / CE,15,0.023071,0.068486
Internacional / RS,15,0.037602,0.121046
Paraná / PR,15,0.09358,0.6237159999999999
Criciúma / SC,15,0.064994,0.254426
Vila Nova / GO,15,0.00413,0.00995
Oeste / SP,15,0.066967,0.268629
Londrina / PR,15,0.042733,0.156757
Juventude / RS,15,0.003544,0.007722
Guarani / SP,15,0.022462,0.060787
Boa / MG,15,0.065716,0.278422
Brasil / RS,15,0.062169,0.247939
América / MG,15,0.007684,0.01894
ABC / RN,15,0.08435,0.399334
CRB / AL,15,0.066486,0.260779
Goiás / GO,14,0.070905,0.720675
CRB / AL,14,0.070084,0.330863
Luverdense / MT,14,0.083663,0.537722
Londrina / PR,14,0.04721,0.203967
Náutico / PE,14,2e-06,0.9999969999999999
Figueirense / SC,14,0.071501,0.411912
Oeste / SP,14,0.07006,0.338689
América / MG,14,0.010563,0.029502999999999998
Ceará / CE,14,0.028819,0.097305
Criciúma / SC,14,0.068749,0.323175
Juventude / RS,14,0.005407,0.013129
Internacional / RS,14,0.043838,0.164884
ABC / RN,14,0.081507,0.480841
Vila Nova / GO,14,0.006062,0.016012
Guarani / SP,14,0.028331,0.089118
Santa Cruz / PE,14,0.037855,0.138289
Brasil / RS,14,0.065896,0.313835
Boa / MG,14,0.067293,0.345715
Paysandu / PA,14,0.063953,0.742351
Paraná / PR,14,0.078302,0.702018
CRB / AL,13,0.072122,0.40298500000000004
Internacional / RS,13,0.049943,0.214827
Figueirense / SC,13,0.070374,0.482286
Brasil / RS,13,0.067913,0.381748
Londrina / PR,13,0.0522,0.25616700000000003
Juventude / RS,13,0.007741,0.02087
Guarani / SP,13,0.034895,0.124013
Boa / MG,13,0.06842,0.41413500000000003
Ceará / CE,13,0.034543,0.131848
Criciúma / SC,13,0.071156,0.394331
América / MG,13,0.014146,0.043649
Paysandu / PA,13,0.053239,0.79559
Santa Cruz / PE,13,0.044116,0.18240499999999998
Luverdense / MT,13,0.076758,0.61448
Paraná / PR,13,0.065719,0.767737
ABC / RN,13,0.077302,0.5581430000000001
Oeste / SP,13,0.072054,0.410743
Vila Nova / GO,13,0.008478,0.024489999999999998
Náutico / PE,13,2e-06,0.999999
Goiás / GO,13,0.058879,0.779554
Santa Cruz / PE,12,0.050448,0.232853
Vila Nova / GO,12,0.011248,0.035738
ABC / RN,12,0.072861,0.631004
Internacional / RS,12,0.055934,0.27076100000000003
Guarani / SP,12,0.041772,0.165785
Luverdense / MT,12,0.069658,0.684138
Paysandu / PA,12,0.044581,0.840171
Brasil / RS,12,0.069731,0.451479
Juventude / RS,12,0.01083,0.0317
Paraná / PR,12,0.053883,0.82162
América / MG,12,0.018408,0.062057
Oeste / SP,12,0.072635,0.48337800000000003
Boa / MG,12,0.067881,0.482016
Náutico / PE,12,1e-06,1.0
Londrina / PR,12,0.056542,0.312709
Goiás / GO,12,0.048626,0.82818
Ceará / CE,12,0.040673,0.172521
Criciúma / SC,12,0.072761,0.467092
Figueirense / SC,12,0.068609,0.550895
CRB / AL,12,0.072918,0.475903
Guarani / SP,11,0.049869,0.21565399999999998
Paysandu / PA,11,0.036845,0.877016
Vila Nova / GO,11,0.015179,0.050917
Oeste / SP,11,0.071848,0.555226
Brasil / RS,11,0.070256,0.5217350000000001
Criciúma / SC,11,0.072805,0.539897
Ceará / CE,11,0.047149,0.21967
Paraná / PR,11,0.044046,0.865666
Juventude / RS,11,0.014799,0.046499
CRB / AL,11,0.072298,0.548201
Internacional / RS,11,0.061586,0.332347
Goiás / GO,11,0.040335,0.868515
ABC / RN,11,0.066295,0.697299
Boa / MG,11,0.067202,0.549218
Londrina / PR,11,0.060026,0.37273500000000004
Luverdense / MT,11,0.062503,0.746641
América / MG,11,0.023641,0.085698
Figueirense / SC,11,0.065991,0.616886
Santa Cruz / PE,11,0.057327,0.29018
Santa Cruz / PE,10,0.063052,0.353232
Luverdense / MT,10,0.054976,0.801617
CRB / AL,10,0.070409,0.61861
Brasil / RS,10,0.070058,0.591793
Paysandu / PA,10,0.030675,0.907691
Vila Nova / GO,10,0.019713,0.07063
Londrina / PR,10,0.063565,0.4363
Figueirense / SC,10,0.06206,0.678946
Juventude / RS,10,0.020061,0.06656
ABC / RN,10,0.060752,0.758051
Criciúma / SC,10,0.071256,0.611153
Oeste / SP,10,0.069935,0.625161
Boa / MG,10,0.066422,0.61564
Internacional / RS,10,0.066453,0.3988
Guarani / SP,10,0.057569,0.273223
Goiás / GO,10,0.03312,0.901635
América / MG,10,0.029552,0.11524999999999999
Ceará / CE,10,0.05423,0.27390000000000003
Paraná / PR,10,0.036142,0.9018079999999999
Ceará / CE,9,0.061454,0.335354
Londrina / PR,9,0.067237,0.503537
Criciúma / SC,9,0.069272,0.680425
Guarani / SP,9,0.065399,0.338622
ABC / RN,9,0.054054,0.812105
América / MG,9,0.036669,0.151919
Goiás / GO,9,0.027046,0.928681
Santa Cruz / PE,9,0.06913,0.422362
Figueirense / SC,9,0.058684,0.73763
Juventude / RS,9,0.02666,0.09322
Paraná / PR,9,0.028826,0.930634
Internacional / RS,9,0.071174,0.469974
Boa / MG,9,0.063881,0.679521
Paysandu / PA,9,0.024686,0.932377
Oeste / SP,9,0.067102,0.692263
