Club,Position,Probability,Cumulative
Vasco da Gama / RJ,20,0.305178,0.305178
Goiás / GO,20,0.003951,0.003951
Chapecoense / SC,20,0.005322,0.005322
Coritiba / PR,20,0.000126,0.000126
Cruzeiro / MG,20,2e-06,2e-06
Fluminense / RJ,20,3e-06,3e-06
Figueirense / SC,20,0.159482,0.159482
Joinville / SC,20,0.521785,0.521785
Avaí / SC,20,0.004151,0.004151
Goiás / GO,19,0.024763,0.028714
Joinville / SC,19,0.271523,0.7933080000000001
Avaí / SC,19,0.025508,0.029658999999999998
Figueirense / SC,19,0.317269,0.47675100000000004
Cruzeiro / MG,19,1.8e-05,2e-05
Sport / PE,19,2e-06,2e-06
Coritiba / PR,19,0.001157,0.001283
Vasco da Gama / RJ,19,0.325918,0.631096
Chapecoense / SC,19,0.033761,0.039083
Fluminense / RJ,19,5.5e-05,5.8e-05
Athletico Paranaense / PR,19,2.6e-05,2.6e-05
Fluminense / RJ,18,0.000774,0.000832
Flamengo / RJ,18,2e-06,2e-06
Cruzeiro / MG,18,0.000334,0.000354
Goiás / GO,18,0.078321,0.107035
Coritiba / PR,18,0.005822,0.007105
Internacional / RS,18,1.1e-05,1.1e-05
Joinville / SC,18,0.155171,0.9484790000000001
Vasco da Gama / RJ,18,0.232155,0.863251
Chapecoense / SC,18,0.103153,0.142236
Figueirense / SC,18,0.339488,0.816239
Ponte Preta / SP,18,4.3e-05,4.3e-05
Avaí / SC,18,0.084361,0.11402000000000001
Athletico Paranaense / PR,18,0.00032,0.000346
Sport / PE,18,4.5e-05,4.7000000000000004e-05
Joinville / SC,17,0.038341,0.98682
Coritiba / PR,17,0.02647,0.033575
Athletico Paranaense / PR,17,0.004867,0.005213
Vasco da Gama / RJ,17,0.085293,0.9485439999999999
Figueirense / SC,17,0.117545,0.9337840000000001
Internacional / RS,17,0.000482,0.0004930000000000001
Ponte Preta / SP,17,0.000879,0.000922
Chapecoense / SC,17,0.267898,0.410134
Santos / SP,17,9e-06,9e-06
Flamengo / RJ,17,1.8e-05,2e-05
Avaí / SC,17,0.236192,0.350212
Sport / PE,17,0.001514,0.0015609999999999999
Fluminense / RJ,17,0.007061,0.007892999999999999
Goiás / GO,17,0.209748,0.316783
Cruzeiro / MG,17,0.003683,0.004037
Athletico Paranaense / PR,16,0.017857,0.02307
Coritiba / PR,16,0.066357,0.09993199999999999
Internacional / RS,16,0.003611,0.004104
Fluminense / RJ,16,0.023585,0.031478
Sport / PE,16,0.008178,0.009739
Joinville / SC,16,0.010339,0.997159
Vasco da Gama / RJ,16,0.034651,0.983195
Goiás / GO,16,0.252422,0.569205
Cruzeiro / MG,16,0.014545,0.018582
Chapecoense / SC,16,0.250481,0.6606150000000001
Avaí / SC,16,0.265954,0.616166
Figueirense / SC,16,0.045642,0.979426
Santos / SP,16,0.000135,0.000144
Ponte Preta / SP,16,0.006022,0.006944
São Paulo / SP,16,3.1e-05,3.1e-05
Flamengo / RJ,16,0.00019,0.00021
Fluminense / RJ,15,0.060047,0.091525
Athletico Paranaense / PR,15,0.047849,0.07091900000000001
Avaí / SC,15,0.208715,0.8248810000000001
Coritiba / PR,15,0.128294,0.22822599999999998
Flamengo / RJ,15,0.001294,0.0015040000000000001
Internacional / RS,15,0.015653,0.019757
Ponte Preta / SP,15,0.024299,0.031243
São Paulo / SP,15,0.00023,0.000261
Vasco da Gama / RJ,15,0.012797,0.995992
Goiás / GO,15,0.219664,0.7888689999999999
Joinville / SC,15,0.002422,0.999581
Santos / SP,15,0.001028,0.001172
Sport / PE,15,0.027944,0.037683
Figueirense / SC,15,0.01574,0.995166
Cruzeiro / MG,15,0.038831,0.057413
Chapecoense / SC,15,0.195193,0.8558080000000001
Goiás / GO,14,0.107028,0.8958969999999999
Athletico Paranaense / PR,14,0.102735,0.173654
Vasco da Gama / RJ,14,0.003005,0.998997
Avaí / SC,14,0.089871,0.914752
Flamengo / RJ,14,0.006012,0.007516
Cruzeiro / MG,14,0.084411,0.141824
São Paulo / SP,14,0.001433,0.001694
Coritiba / PR,14,0.20154,0.429766
Fluminense / RJ,14,0.124608,0.216133
Internacional / RS,14,0.046685,0.066442
Ponte Preta / SP,14,0.070772,0.102015
Joinville / SC,14,0.000355,0.999936
Palmeiras / SP,14,3e-06,3e-06
Figueirense / SC,14,0.003574,0.9987400000000001
Sport / PE,14,0.073456,0.11113899999999999
Chapecoense / SC,14,0.079529,0.9353370000000001
Santos / SP,14,0.004983,0.006155
Athletico Paranaense / PR,13,0.128134,0.301788
Fluminense / RJ,13,0.145191,0.361324
Vasco da Gama / RJ,13,0.000751,0.999748
Figueirense / SC,13,0.000893,0.999633
Flamengo / RJ,13,0.01492,0.022435999999999998
Cruzeiro / MG,13,0.111095,0.252919
Avaí / SC,13,0.042484,0.9572360000000001
Grêmio / RS,13,2e-06,2e-06
Sport / PE,13,0.105767,0.216906
Internacional / RS,13,0.076498,0.14293999999999998
Coritiba / PR,13,0.165445,0.5952109999999999
Joinville / SC,13,5.2e-05,0.9999880000000001
São Paulo / SP,13,0.003895,0.005589
Palmeiras / SP,13,1.5e-05,1.8e-05
Chapecoense / SC,13,0.035029,0.9703660000000001
Goiás / GO,13,0.052091,0.9479879999999999
Ponte Preta / SP,13,0.105983,0.207998
Santos / SP,13,0.011755,0.01791
São Paulo / SP,12,0.007951,0.01354
Sport / PE,12,0.122883,0.339789
Santos / SP,12,0.021675,0.039584999999999995
Ponte Preta / SP,12,0.129812,0.33781
Vasco da Gama / RJ,12,0.000184,0.9999319999999999
Fluminense / RJ,12,0.140843,0.502167
Palmeiras / SP,12,5.2e-05,7e-05
Flamengo / RJ,12,0.027894,0.05033
Internacional / RS,12,0.100006,0.242946
Grêmio / RS,12,1.3e-05,1.4999999999999999e-05
Joinville / SC,12,1.1e-05,0.9999990000000001
Goiás / GO,12,0.026004,0.973992
Cruzeiro / MG,12,0.123977,0.376896
Chapecoense / SC,12,0.016127,0.9864930000000001
Avaí / SC,12,0.021489,0.9787250000000001
Figueirense / SC,12,0.000289,0.9999220000000001
Athletico Paranaense / PR,12,0.132812,0.4346
Coritiba / PR,12,0.127978,0.723189
Coritiba / PR,11,0.097181,0.82037
Joinville / SC,11,1e-06,1.0
Flamengo / RJ,11,0.045273,0.095603
Cruzeiro / MG,11,0.12825,0.505146
Fluminense / RJ,11,0.127682,0.629849
Goiás / GO,11,0.013329,0.987321
Palmeiras / SP,11,0.000188,0.000258
Vasco da Gama / RJ,11,4.9e-05,0.999981
Chapecoense / SC,11,0.007642,0.9941350000000001
Figueirense / SC,11,5.7e-05,0.9999790000000001
Internacional / RS,11,0.117903,0.360849
Ponte Preta / SP,11,0.142898,0.480708
Grêmio / RS,11,5.2e-05,6.7e-05
São Paulo / SP,11,0.014763,0.028303000000000002
Atlético / MG,11,2e-06,2e-06
Sport / PE,11,0.129576,0.469365
Athletico Paranaense / PR,11,0.128335,0.562935
Santos / SP,11,0.035605,0.07518999999999999
Avaí / SC,11,0.011214,0.989939
Fluminense / RJ,10,0.111109,0.740958
Goiás / GO,10,0.007094,0.9944149999999999
Internacional / RS,10,0.129945,0.49079399999999995
Vasco da Gama / RJ,10,1.2e-05,0.999993
Atlético / MG,10,3.8e-05,4e-05
Coritiba / PR,10,0.071863,0.892233
Sport / PE,10,0.130723,0.600088
Cruzeiro / MG,10,0.127507,0.632653
Flamengo / RJ,10,0.068528,0.164131
Palmeiras / SP,10,0.000536,0.000794
Ponte Preta / SP,10,0.143142,0.62385
Figueirense / SC,10,1.5e-05,0.999994
Chapecoense / SC,10,0.0035,0.997635
São Paulo / SP,10,0.025397,0.0537
Athletico Paranaense / PR,10,0.118881,0.681816
Grêmio / RS,10,0.000243,0.00031
Santos / SP,10,0.055754,0.130944
Avaí / SC,10,0.005713,0.9956520000000001
Ponte Preta / SP,9,0.131999,0.755849
Coritiba / PR,9,0.050011,0.942244
Avaí / SC,9,0.002689,0.998341
Sport / PE,9,0.12512,0.725208
Chapecoense / SC,9,0.001511,0.9991460000000001
Atlético / MG,9,0.000227,0.000267
Santos / SP,9,0.083417,0.214361
Internacional / RS,9,0.138217,0.629011
Vasco da Gama / RJ,9,5e-06,0.9999979999999999
Palmeiras / SP,9,0.00139,0.002184
São Paulo / SP,9,0.043867,0.097567
Grêmio / RS,9,0.000954,0.001264
Flamengo / RJ,9,0.09949,0.263621
Fluminense / RJ,9,0.093558,0.8345159999999999
Figueirense / SC,9,4e-06,0.999998
Cruzeiro / MG,9,0.119532,0.752185
Athletico Paranaense / PR,9,0.104715,0.786531
Goiás / GO,9,0.003294,0.997709
Atlético / MG,8,0.001396,0.001663
Cruzeiro / MG,8,0.103677,0.855862
Sport / PE,8,0.110577,0.835785
Chapecoense / SC,8,0.000642,0.9997880000000001
Figueirense / SC,8,2e-06,1.0
Grêmio / RS,8,0.003134,0.004398
Ponte Preta / SP,8,0.108914,0.864763
Flamengo / RJ,8,0.139274,0.402895
Goiás / GO,8,0.00152,0.9992289999999999
Santos / SP,8,0.123846,0.338207
Palmeiras / SP,8,0.003823,0.006007
Vasco da Gama / RJ,8,1e-06,0.999999
Avaí / SC,8,0.001128,0.999469
Fluminense / RJ,8,0.072594,0.90711
Coritiba / PR,8,0.031551,0.973795
Internacional / RS,8,0.136477,0.765488
São Paulo / SP,8,0.075465,0.17303200000000002
Athletico Paranaense / PR,8,0.085979,0.87251
Palmeiras / SP,7,0.010873,0.01688
Internacional / RS,7,0.115439,0.880927
Chapecoense / SC,7,0.00017,0.999958
Ponte Preta / SP,7,0.076354,0.941117
Santos / SP,7,0.177273,0.5154799999999999
Flamengo / RJ,7,0.184889,0.587784
Goiás / GO,7,0.000569,0.999798
Atlético / MG,7,0.00637,0.008033
Coritiba / PR,7,0.016887,0.990682
São Paulo / SP,7,0.129448,0.30248
Avaí / SC,7,0.000428,0.999897
Grêmio / RS,7,0.010171,0.014568999999999999
Cruzeiro / MG,7,0.075618,0.93148
Vasco da Gama / RJ,7,1e-06,1.0
Athletico Paranaense / PR,7,0.063283,0.935793
Sport / PE,7,0.082815,0.9186
Fluminense / RJ,7,0.049412,0.956522
Palmeiras / SP,6,0.029966,0.046846
Coritiba / PR,6,0.006962,0.997644
Chapecoense / SC,6,3.7e-05,0.9999950000000001
Sport / PE,6,0.051213,0.969813
Grêmio / RS,6,0.030391,0.04496
Flamengo / RJ,6,0.198219,0.786003
Santos / SP,6,0.21138,0.7268600000000001
São Paulo / SP,6,0.216987,0.519467
Ponte Preta / SP,6,0.041104,0.982221
Corinthians / SP,6,1e-06,1e-06
Avaí / SC,6,9.1e-05,0.9999880000000001
Goiás / GO,6,0.000164,0.9999619999999999
Internacional / RS,6,0.074559,0.955486
Athletico Paranaense / PR,6,0.039888,0.975681
Atlético / MG,6,0.026259,0.034292
Cruzeiro / MG,6,0.044602,0.976082
Fluminense / RJ,6,0.028177,0.984699
Avaí / SC,5,1e-05,0.999998
Santos / SP,5,0.17789,0.9047499999999999
Fluminense / RJ,5,0.012794,0.997493
Internacional / RS,5,0.03489,0.9903759999999999
Flamengo / RJ,5,0.145358,0.931361
Palmeiras / SP,5,0.080437,0.12728299999999998
Grêmio / RS,5,0.082915,0.12787500000000002
São Paulo / SP,5,0.295199,0.814666
Coritiba / PR,5,0.002136,0.99978
Corinthians / SP,5,1.5e-05,1.6e-05
Athletico Paranaense / PR,5,0.019994,0.995675
Atlético / MG,5,0.089621,0.12391300000000001
Ponte Preta / SP,5,0.014938,0.997159
Goiás / GO,5,3.7e-05,0.999999
Cruzeiro / MG,5,0.019754,0.995836
Chapecoense / SC,5,5e-06,1.0
Sport / PE,5,0.024007,0.99382
Flamengo / RJ,4,0.048056,0.979417
Sport / PE,4,0.004926,0.998746
Atlético / MG,4,0.271473,0.395386
São Paulo / SP,4,0.120173,0.934839
Goiás / GO,4,1e-06,1.0
Corinthians / SP,4,0.00029,0.000306
Coritiba / PR,4,0.000205,0.999985
Fluminense / RJ,4,0.002132,0.999625
Santos / SP,4,0.063826,0.968576
Internacional / RS,4,0.007655,0.998031
Grêmio / RS,4,0.237351,0.365226
Athletico Paranaense / PR,4,0.003584,0.999259
Cruzeiro / MG,4,0.003497,0.999333
Ponte Preta / SP,4,0.002357,0.999516
Avaí / SC,4,2e-06,1.0
Palmeiras / SP,4,0.234472,0.361755
Internacional / RS,3,0.001682,0.999713
Cruzeiro / MG,3,0.000599,0.999932
São Paulo / SP,3,0.049008,0.983847
Grêmio / RS,3,0.281369,0.646595
Sport / PE,3,0.001108,0.999854
Palmeiras / SP,3,0.321043,0.682798
Atlético / MG,3,0.301235,0.6966209999999999
Corinthians / SP,3,0.002268,0.002574
Ponte Preta / SP,3,0.000431,0.999947
Athletico Paranaense / PR,3,0.000654,0.999913
Santos / SP,3,0.023846,0.992422
Flamengo / RJ,3,0.016403,0.99582
Fluminense / RJ,3,0.000342,0.9999669999999999
Coritiba / PR,3,1.2e-05,0.999997
Atlético / MG,2,0.294967,0.9915879999999999
São Paulo / SP,2,0.016055,0.999902
Internacional / RS,2,0.000287,1.0
Corinthians / SP,2,0.019173,0.021747
Coritiba / PR,2,3e-06,1.0
Cruzeiro / MG,2,6.8e-05,1.0
Flamengo / RJ,2,0.004175,0.999995
Fluminense / RJ,2,3.3e-05,1.0
Grêmio / RS,2,0.344639,0.991234
Athletico Paranaense / PR,2,8.7e-05,1.0
Palmeiras / SP,2,0.312747,0.995545
Ponte Preta / SP,2,5.3e-05,1.0
Santos / SP,2,0.007567,0.999989
Sport / PE,2,0.000146,1.0
Palmeiras / SP,1,0.004455,1.0
São Paulo / SP,1,9.8e-05,1.0
Flamengo / RJ,1,5e-06,1.0
Santos / SP,1,1.1e-05,1.0
Corinthians / SP,1,0.978253,1.0
Atlético / MG,1,0.008412,1.0
Grêmio / RS,1,0.008766,1.0
