Club,Position,Probability,Cumulative
Cruzeiro / MG,14,0.087816,0.239096
Grêmio / RS,14,0.001143,0.0018669999999999997
Botafogo / RJ,14,0.054576,0.919279
Vitória / BA,14,0.128912,0.484619
Internacional / RS,14,0.025733,0.050557
Santos / SP,14,0.001656,0.0026899999999999997
Cruzeiro / MG,13,0.096748,0.33584400000000003
Figueirense / SC,13,0.007861,0.994747
Athletico Paranaense / PR,13,0.070323,0.19240200000000002
Vitória / BA,13,0.114019,0.598638
Flamengo / RJ,13,0.071689,0.196682
Chapecoense / SC,13,0.062303,0.169097
América / MG,13,1.4e-05,0.999998
Sport / PE,13,0.107439,0.6944830000000001
Santa Cruz / PE,13,0.10006,0.366838
Ponte Preta / SP,13,0.029191,0.960404
Internacional / RS,13,0.037872,0.08842900000000001
Corinthians / SP,13,0.006536,0.012296
Botafogo / RJ,13,0.032826,0.952105
Santos / SP,13,0.003248,0.005938
Grêmio / RS,13,0.002177,0.004044
Atlético / MG,13,0.057598,0.149645
São Paulo / SP,13,0.061697,0.162026
Fluminense / RJ,13,0.078875,0.233086
Coritiba / PR,13,0.059524,0.883298
Vitória / BA,12,0.094384,0.693022
Sport / PE,12,0.083919,0.778402
Internacional / RS,12,0.049529,0.137958
Fluminense / RJ,12,0.087479,0.320565
Santos / SP,12,0.005614,0.011552
Grêmio / RS,12,0.003965,0.008008999999999999
Flamengo / RJ,12,0.083938,0.28062
São Paulo / SP,12,0.075571,0.237597
Palmeiras / SP,12,1e-06,1e-06
Ponte Preta / SP,12,0.016974,0.977378
Santa Cruz / PE,12,0.09955,0.466388
América / MG,12,2e-06,1.0
Figueirense / SC,12,0.003174,0.997921
Atlético / MG,12,0.070129,0.219774
Botafogo / RJ,12,0.019288,0.971393
Coritiba / PR,12,0.040486,0.9237839999999999
Cruzeiro / MG,12,0.0984,0.434244
Athletico Paranaense / PR,12,0.08239,0.27479200000000004
Corinthians / SP,12,0.010498,0.022794000000000002
Chapecoense / SC,12,0.074709,0.243806
Sport / PE,11,0.06408,0.8424820000000001
Vitória / BA,11,0.077927,0.770949
Palmeiras / SP,11,6e-06,7e-06
Grêmio / RS,11,0.006386,0.014395
Botafogo / RJ,11,0.011864,0.983257
São Paulo / SP,11,0.085544,0.323141
Coritiba / PR,11,0.027138,0.9509219999999999
Internacional / RS,11,0.061593,0.199551
Cruzeiro / MG,11,0.095636,0.52988
Athletico Paranaense / PR,11,0.090455,0.365247
Fluminense / RJ,11,0.093548,0.414113
Ponte Preta / SP,11,0.00974,0.987118
Santos / SP,11,0.008923,0.020475
Flamengo / RJ,11,0.090822,0.371442
Figueirense / SC,11,0.001254,0.999175
Corinthians / SP,11,0.01589,0.038684
Chapecoense / SC,11,0.084074,0.32788
Atlético / MG,11,0.080556,0.30033
Santa Cruz / PE,11,0.094564,0.560952
Ponte Preta / SP,10,0.005777,0.992895
Coritiba / PR,10,0.018269,0.969191
Grêmio / RS,10,0.009998,0.024392999999999998
São Paulo / SP,10,0.093126,0.416267
Corinthians / SP,10,0.022444,0.061128
Internacional / RS,10,0.073393,0.27294399999999996
Palmeiras / SP,10,9e-06,1.6e-05
Santa Cruz / PE,10,0.087837,0.6487890000000001
Fluminense / RJ,10,0.094827,0.50894
Cruzeiro / MG,10,0.090169,0.620049
Figueirense / SC,10,0.000506,0.999681
Atlético / MG,10,0.08913,0.38946000000000003
Sport / PE,10,0.048929,0.8914110000000001
Flamengo / RJ,10,0.095481,0.466923
Chapecoense / SC,10,0.09067,0.41855
Santos / SP,10,0.013558,0.034033
Vitória / BA,10,0.062832,0.833781
Athletico Paranaense / PR,10,0.095887,0.461134
Botafogo / RJ,10,0.007158,0.990415
Santos / SP,9,0.02001,0.054043
Athletico Paranaense / PR,9,0.098275,0.559409
Botafogo / RJ,9,0.004254,0.994669
Sport / PE,9,0.036736,0.928147
Vitória / BA,9,0.050338,0.884119
Ponte Preta / SP,9,0.003408,0.996303
Santa Cruz / PE,9,0.080263,0.729052
Atlético / MG,9,0.095024,0.484484
Chapecoense / SC,9,0.095086,0.513636
Internacional / RS,9,0.084438,0.357382
Corinthians / SP,9,0.031746,0.09287400000000001
Palmeiras / SP,9,1.9e-05,3.5e-05
São Paulo / SP,9,0.0973,0.513567
Coritiba / PR,9,0.012406,0.9815969999999999
Fluminense / RJ,9,0.094128,0.6030679999999999
Cruzeiro / MG,9,0.083775,0.703824
Grêmio / RS,9,0.015429,0.039821999999999996
Flamengo / RJ,9,0.097164,0.564087
Figueirense / SC,9,0.000201,0.999882
Ponte Preta / SP,8,0.001835,0.998138
Athletico Paranaense / PR,8,0.097082,0.656491
Cruzeiro / MG,8,0.075931,0.779755
Chapecoense / SC,8,0.09665,0.610286
Vitória / BA,8,0.03932,0.923439
Palmeiras / SP,8,7.4e-05,0.00010899999999999999
Santos / SP,8,0.029599,0.083642
Atlético / MG,8,0.099922,0.584406
Corinthians / SP,8,0.044361,0.137235
Figueirense / SC,8,8.4e-05,0.999966
Botafogo / RJ,8,0.002595,0.997264
Santa Cruz / PE,8,0.071096,0.800148
Flamengo / RJ,8,0.095964,0.6600509999999999
Grêmio / RS,8,0.022982,0.062804
Coritiba / PR,8,0.008084,0.989681
Internacional / RS,8,0.095785,0.453167
Fluminense / RJ,8,0.091604,0.694672
Sport / PE,8,0.027047,0.955194
São Paulo / SP,8,0.099985,0.613552
Fluminense / RJ,7,0.08482,0.779492
Chapecoense / SC,7,0.096557,0.706843
Atlético / MG,7,0.101041,0.685447
Cruzeiro / MG,7,0.066969,0.846724
São Paulo / SP,7,0.09947,0.713022
Santos / SP,7,0.043811,0.127453
Ponte Preta / SP,7,0.001034,0.9991720000000001
Botafogo / RJ,7,0.001476,0.99874
Sport / PE,7,0.019067,0.974261
Flamengo / RJ,7,0.092328,0.752379
Figueirense / SC,7,2.6e-05,0.999992
Santa Cruz / PE,7,0.062695,0.862843
Corinthians / SP,7,0.060257,0.197492
Coritiba / PR,7,0.005016,0.9946969999999999
Vitória / BA,7,0.029466,0.952905
Palmeiras / SP,7,0.000139,0.00024799999999999996
Internacional / RS,7,0.106385,0.5595519999999999
Athletico Paranaense / PR,7,0.094113,0.750604
Grêmio / RS,7,0.03533,0.098134
Santos / SP,6,0.066174,0.193627
Chapecoense / SC,6,0.09289,0.799733
Corinthians / SP,6,0.085349,0.282841
Figueirense / SC,6,6e-06,0.999998
Botafogo / RJ,6,0.000734,0.999474
Grêmio / RS,6,0.054757,0.152891
Santa Cruz / PE,6,0.051692,0.914535
Sport / PE,6,0.012457,0.986718
Internacional / RS,6,0.1148,0.674352
Flamengo / RJ,6,0.08364,0.836019
Atlético / MG,6,0.098936,0.784383
São Paulo / SP,6,0.094068,0.80709
Fluminense / RJ,6,0.07717,0.856662
Coritiba / PR,6,0.002857,0.9975539999999999
Ponte Preta / SP,6,0.000494,0.999666
Palmeiras / SP,6,0.000409,0.000657
Vitória / BA,6,0.020983,0.973888
Athletico Paranaense / PR,6,0.086028,0.836632
Cruzeiro / MG,6,0.056556,0.90328
Santa Cruz / PE,5,0.040329,0.954864
Cruzeiro / MG,5,0.04435,0.94763
Corinthians / SP,5,0.122832,0.405673
Grêmio / RS,5,0.087578,0.240469
Vitória / BA,5,0.014251,0.988139
Sport / PE,5,0.007677,0.994395
Santos / SP,5,0.101889,0.295516
Internacional / RS,5,0.117235,0.791587
Athletico Paranaense / PR,5,0.072124,0.908756
Flamengo / RJ,5,0.0711,0.907119
Atlético / MG,5,0.089604,0.873987
São Paulo / SP,5,0.081764,0.888854
Ponte Preta / SP,5,0.00023,0.999896
Botafogo / RJ,5,0.000344,0.999818
Figueirense / SC,5,2e-06,1.0
Coritiba / PR,5,0.001488,0.999042
Palmeiras / SP,5,0.001257,0.0019140000000000001
Fluminense / RJ,5,0.064216,0.920878
Chapecoense / SC,5,0.08173,0.881463
Santos / SP,4,0.163162,0.458678
Sport / PE,4,0.003789,0.9981840000000001
Coritiba / PR,4,0.000707,0.999749
São Paulo / SP,4,0.060096,0.94895
Internacional / RS,4,0.099815,0.891402
Flamengo / RJ,4,0.051018,0.958137
Atlético / MG,4,0.067294,0.941281
Fluminense / RJ,4,0.04443,0.965308
Cruzeiro / MG,4,0.029859,0.977489
Chapecoense / SC,4,0.062201,0.943664
Ponte Preta / SP,4,8.4e-05,0.99998
Grêmio / RS,4,0.147892,0.388361
Vitória / BA,4,0.007627,0.9957659999999999
Botafogo / RJ,4,0.000144,0.999962
Athletico Paranaense / PR,4,0.05056,0.959316
Santa Cruz / PE,4,0.02611,0.980974
Corinthians / SP,4,0.180822,0.586495
Palmeiras / SP,4,0.00439,0.006304
Athletico Paranaense / PR,3,0.028869,0.988185
Coritiba / PR,3,0.000208,0.999957
Palmeiras / SP,3,0.016588,0.022892
São Paulo / SP,3,0.035817,0.984767
Ponte Preta / SP,3,1.7e-05,0.999997
Santa Cruz / PE,3,0.013788,0.994762
Grêmio / RS,3,0.233342,0.621703
Internacional / RS,3,0.070344,0.961746
Cruzeiro / MG,3,0.016218,0.993707
Sport / PE,3,0.001476,0.99966
Flamengo / RJ,3,0.029479,0.9876159999999999
Fluminense / RJ,3,0.024707,0.990015
Atlético / MG,3,0.040792,0.982073
Vitória / BA,3,0.003263,0.999029
Santos / SP,3,0.234903,0.693581
Corinthians / SP,3,0.211495,0.79799
Botafogo / RJ,3,3e-05,0.999992
Chapecoense / SC,3,0.038664,0.982328
Athletico Paranaense / PR,2,0.011435,0.99962
Vitória / BA,2,0.000941,0.99997
