Club,Position,Probability,Cumulative
Figueirense / SC,20,7.3e-05,7.3e-05
ABC / RN,20,0.710473,0.710473
Boa / MG,20,1e-06,1e-06
Náutico / PE,20,0.272096,0.272096
Brasil / RS,20,1e-06,1e-06
Luverdense / MT,20,0.000461,0.000461
Guarani / SP,20,7e-06,7e-06
Santa Cruz / PE,20,0.016877,0.016877
CRB / AL,20,1.1e-05,1.1e-05
ABC / RN,19,0.258821,0.9692940000000001
Luverdense / MT,19,0.008338,0.008799
Figueirense / SC,19,0.003236,0.0033090000000000003
Náutico / PE,19,0.604506,0.876602
Brasil / RS,19,0.000112,0.000113
Goiás / GO,19,1e-06,1e-06
Santa Cruz / PE,19,0.122758,0.139635
Paysandu / PA,19,3.8e-05,3.8e-05
CRB / AL,19,0.001476,0.001487
Guarani / SP,19,0.000578,0.0005849999999999999
Boa / MG,19,0.000136,0.000137
CRB / AL,18,0.062781,0.064268
Boa / MG,18,0.013017,0.013154
Goiás / GO,18,0.000738,0.0007390000000000001
Criciúma / SC,18,4.8e-05,4.8e-05
Brasil / RS,18,0.008975,0.009088
Náutico / PE,18,0.106082,0.982684
Figueirense / SC,18,0.076798,0.08010700000000001
Guarani / SP,18,0.029649,0.030233999999999997
Luverdense / MT,18,0.104378,0.113177
Paysandu / PA,18,0.002823,0.002861
Santa Cruz / PE,18,0.567167,0.7068019999999999
ABC / RN,18,0.027544,0.996838
Guarani / SP,17,0.112875,0.143109
Náutico / PE,17,0.012576,0.99526
Brasil / RS,17,0.050398,0.059486
Paysandu / PA,17,0.012316,0.015177
Juventude / RS,17,6e-06,6e-06
Figueirense / SC,17,0.191754,0.271861
Luverdense / MT,17,0.202834,0.316011
Criciúma / SC,17,0.001137,0.001185
ABC / RN,17,0.002454,0.9992920000000001
CRB / AL,17,0.213971,0.278239
Goiás / GO,17,0.008317,0.009056
Boa / MG,17,0.043458,0.056611999999999996
Santa Cruz / PE,17,0.147904,0.854706
Paysandu / PA,16,0.026848,0.042025
Luverdense / MT,16,0.185356,0.501367
Figueirense / SC,16,0.178954,0.450815
CRB / AL,16,0.196775,0.475014
