Club,Position,Probability,Cumulative
CSA / AL,20,1e-06,1e-06
Avaí / SC,20,0.999999,0.999999
CSA / AL,19,0.545364,0.545365
Avaí / SC,19,1e-06,1.0
Cruzeiro / MG,19,0.000337,0.000337
Chapecoense / SC,19,0.454296,0.454296
Ceará / CE,19,2e-06,2e-06
Botafogo / RJ,18,9e-05,9e-05
CSA / AL,18,0.44283,0.9881949999999999
Fluminense / RJ,18,0.000279,0.000279
Cruzeiro / MG,18,0.019718,0.020055
Chapecoense / SC,18,0.534842,0.9891380000000001
Ceará / CE,18,0.002241,0.0022429999999999998
Botafogo / RJ,17,0.03548,0.03557
CSA / AL,17,0.010965,0.9991599999999999
Ceará / CE,17,0.31674,0.318983
Vasco da Gama / RJ,17,7.9e-05,7.9e-05
Bahia / BA,17,1.6e-05,1.6e-05
Atlético / MG,17,0.008507,0.008507
Chapecoense / SC,17,0.009993,0.9991310000000001
Cruzeiro / MG,17,0.516512,0.536567
Fluminense / RJ,17,0.101356,0.101635
Fortaleza / CE,17,0.000352,0.000352
Botafogo / RJ,16,0.098581,0.134151
Ceará / CE,16,0.34771,0.666693
Fluminense / RJ,16,0.216048,0.317683
Fortaleza / CE,16,0.005786,0.006138
CSA / AL,16,0.000787,0.999947
Goiás / GO,16,9e-06,9e-06
Vasco da Gama / RJ,16,0.001464,0.001543
Chapecoense / SC,16,0.000824,0.999955
Cruzeiro / MG,16,0.280772,0.817339
Atlético / MG,16,0.047358,0.055865
Bahia / BA,16,0.000661,0.000677
Goiás / GO,15,0.001485,0.0014939999999999999
Atlético / MG,15,0.130198,0.186063
Chapecoense / SC,15,4.5e-05,1.0
Botafogo / RJ,15,0.187192,0.321343
Fluminense / RJ,15,0.315651,0.6333340000000001
Bahia / BA,15,0.009203,0.00988
Vasco da Gama / RJ,15,0.012566,0.014109
CSA / AL,15,5.2e-05,0.999999
Ceará / CE,15,0.191094,0.8577870000000001
Cruzeiro / MG,15,0.119359,0.936698
Fortaleza / CE,15,0.033155,0.039292999999999995
Vasco da Gama / RJ,14,0.047381,0.06149
Atlético / MG,14,0.221402,0.40746499999999997
Ceará / CE,14,0.093636,0.951423
Goiás / GO,14,0.020546,0.022039999999999997
Fortaleza / CE,14,0.078639,0.117932
Botafogo / RJ,14,0.259958,0.5813010000000001
Fluminense / RJ,14,0.193933,0.827267
Bahia / BA,14,0.03851,0.04839
Cruzeiro / MG,14,0.045994,0.982692
CSA / AL,14,1e-06,1.0
Vasco da Gama / RJ,13,0.114661,0.176151
Fluminense / RJ,13,0.089847,0.917114
Atlético / MG,13,0.221905,0.62937
Botafogo / RJ,13,0.19389,0.775191
Fortaleza / CE,13,0.148135,0.266067
Cruzeiro / MG,13,0.012522,0.995214
Corinthians / SP,13,5e-06,5e-06
Goiás / GO,13,0.094929,0.11696899999999999
Bahia / BA,13,0.091176,0.139566
Ceará / CE,13,0.03293,0.984353
Fortaleza / CE,12,0.18977,0.45583699999999994
Cruzeiro / MG,12,0.003643,0.998857
Corinthians / SP,12,6.1e-05,6.6e-05
Atlético / MG,12,0.159665,0.7890349999999999
Bahia / BA,12,0.126952,0.26651800000000003
Fluminense / RJ,12,0.049237,0.966351
Botafogo / RJ,12,0.120341,0.895532
Goiás / GO,12,0.165456,0.282425
Ceará / CE,12,0.011828,0.9961810000000001
Internacional / RS,12,3e-06,3e-06
Vasco da Gama / RJ,12,0.173044,0.349195
Bahia / BA,11,0.172612,0.43913
Botafogo / RJ,11,0.066126,0.961658
Atlético / MG,11,0.112394,0.901429
Internacional / RS,11,0.000186,0.00018899999999999999
Vasco da Gama / RJ,11,0.221302,0.570497
Fluminense / RJ,11,0.023336,0.989687
Ceará / CE,11,0.003075,0.999256
Cruzeiro / MG,11,0.001036,0.999893
Fortaleza / CE,11,0.176793,0.63263
Goiás / GO,11,0.222191,0.504616
Corinthians / SP,11,0.000949,0.001015
São Paulo / SP,10,2.1e-05,2.1e-05
Fortaleza / CE,10,0.185382,0.818012
Botafogo / RJ,10,0.029272,0.99093
Goiás / GO,10,0.278613,0.783229
Internacional / RS,10,0.002778,0.002967
Fluminense / RJ,10,0.008147,0.997834
Bahia / BA,10,0.21699,0.65612
Vasco da Gama / RJ,10,0.207297,0.777794
Ceará / CE,10,0.00065,0.9999060000000001
Atlético / MG,10,0.063617,0.965046
Cruzeiro / MG,10,0.000105,0.999998
Corinthians / SP,10,0.007128,0.008143
Corinthians / SP,9,0.053303,0.061446
Internacional / RS,9,0.020122,0.023089000000000002
São Paulo / SP,9,0.002546,0.0025670000000000003
Ceará / CE,9,9.4e-05,1.0
Bahia / BA,9,0.307472,0.963592
Fluminense / RJ,9,0.00215,0.999984
Vasco da Gama / RJ,9,0.199771,0.977565
Goiás / GO,9,0.200673,0.9839019999999999
Botafogo / RJ,9,0.009012,0.999942
Cruzeiro / MG,9,2e-06,1.0
Fortaleza / CE,9,0.171655,0.989667
Atlético / MG,9,0.0332,0.998246
Vasco da Gama / RJ,8,0.0203,0.997865
Fluminense / RJ,8,1.6e-05,1.0
Internacional / RS,8,0.290064,0.313153
Botafogo / RJ,8,5.8e-05,1.0
Grêmio / RS,8,9.1e-05,9.1e-05
São Paulo / SP,8,0.090591,0.093158
Atlético / MG,8,0.001651,0.999897
Athletico Paranaense / PR,8,0.004538,0.004538
Corinthians / SP,8,0.536567,0.598013
Fortaleza / CE,8,0.009587,0.999254
Bahia / BA,8,0.03245,0.996042
Goiás / GO,8,0.014087,0.9979889999999999
Atlético / MG,7,0.000103,1.0
Fortaleza / CE,7,0.000745,0.999999
Bahia / BA,7,0.003875,0.9999170000000001
Grêmio / RS,7,0.002256,0.002347
Corinthians / SP,7,0.300139,0.8981520000000001
São Paulo / SP,7,0.226186,0.319344
Internacional / RS,7,0.433337,0.7464900000000001
Goiás / GO,7,0.001959,0.999948
Athletico Paranaense / PR,7,0.029343,0.033881
Vasco da Gama / RJ,7,0.002057,0.999922
Vasco da Gama / RJ,6,7.8e-05,1.0
São Paulo / SP,6,0.453689,0.7730330000000001
Fortaleza / CE,6,1e-06,1.0
Internacional / RS,6,0.219919,0.9664090000000001
Bahia / BA,6,8.3e-05,1.0
Corinthians / SP,6,0.088892,0.987044
Goiás / GO,6,5.2e-05,0.9999999999999999
Athletico Paranaense / PR,6,0.195636,0.229517
Grêmio / RS,6,0.04165,0.043997
São Paulo / SP,5,0.192644,0.965677
Athletico Paranaense / PR,5,0.602142,0.8316589999999999
Corinthians / SP,5,0.012797,0.999841
Internacional / RS,5,0.032848,0.9992570000000001
Grêmio / RS,5,0.159512,0.203509
Santos / SP,5,5.5e-05,5.5e-05
Palmeiras / SP,5,2e-06,2e-06
São Paulo / SP,4,0.034323,1.0
Athletico Paranaense / PR,4,0.167927,0.9995859999999999
Grêmio / RS,4,0.786055,0.9895639999999999
Palmeiras / SP,4,0.001421,0.001423
Corinthians / SP,4,0.000159,1.0
Santos / SP,4,0.009372,0.009427
