Club,Position,Probability,Cumulative
Guarani / SP,11,0.002804,0.0035139999999999998
CRB / AL,10,0.192094,0.653853
Guarani / SP,10,0.009136,0.01265
Sampaio Corrêa / MA,10,0.000222,0.999955
Sport / PE,10,0.000312,0.000362
Juventude / RS,10,0.003506,0.004714
Ceará / CE,10,0.183592,0.508614
Tombense / MG,10,1.1e-05,0.9999990000000001
Botafogo / SP,10,0.038442,0.973711
Atlético / GO,10,0.194469,0.551198
Londrina / PR,10,1.1e-05,0.999997
Ponte Preta / SP,10,0.018102,0.991075
Chapecoense / SC,10,0.003714,0.998523
Novorizontino / SP,10,0.00268,0.003646
Vila Nova / GO,10,0.007398,0.0105
Criciúma / SC,10,0.009228,0.012657999999999999
Mirassol / SP,10,0.182719,0.490031
Vitória / BA,10,0.000136,0.000157
Ituano / SP,10,0.153799,0.788478
Avaí / SC,10,0.000429,0.999879
Guarani / SP,9,0.02622,0.03887
Novorizontino / SP,9,0.008839,0.012485
Botafogo / SP,9,0.018007,0.991718
Ceará / CE,9,0.198951,0.707565
Mirassol / SP,9,0.203762,0.693793
Sampaio Corrêa / MA,9,3.7e-05,0.999992
CRB / AL,9,0.167151,0.8210040000000001
Ponte Preta / SP,9,0.006774,0.997849
Londrina / PR,9,3e-06,1.0
Sport / PE,9,0.001627,0.001989
Juventude / RS,9,0.010515,0.015229
Avaí / SC,9,0.000103,0.9999819999999999
Tombense / MG,9,1e-06,1.0
Ituano / SP,9,0.114464,0.902942
Vitória / BA,9,0.000769,0.0009260000000000001
Criciúma / SC,9,0.025594,0.038251999999999994
Atlético / GO,9,0.195714,0.746912
Vila Nova / GO,9,0.020295,0.030795000000000003
Chapecoense / SC,9,0.001174,0.9996970000000001
CRB / AL,8,0.117548,0.938552
Vitória / BA,8,0.003865,0.004791
Vila Nova / GO,8,0.05567,0.086465
Atlético / GO,8,0.1581,0.9050119999999999
Ponte Preta / SP,8,0.001919,0.999768
Ituano / SP,8,0.070254,0.973196
Botafogo / SP,8,0.006749,0.998467
Guarani / SP,8,0.074957,0.113827
Criciúma / SC,8,0.070641,0.10889299999999999
Avaí / SC,8,1.8e-05,1.0
Sampaio Corrêa / MA,8,7e-06,0.999999
Sport / PE,8,0.00802,0.010008999999999999
Novorizontino / SP,8,0.028387,0.040872
Mirassol / SP,8,0.191314,0.8851070000000001
Ceará / CE,8,0.180434,0.887999
Chapecoense / SC,8,0.000276,0.999973
Juventude / RS,8,0.031841,0.04707
Vitória / BA,7,0.019391,0.024182
Mirassol / SP,7,0.06897,0.9540770000000001
Ponte Preta / SP,7,0.000187,0.999955
Botafogo / SP,7,0.001222,0.9996889999999999
Chapecoense / SC,7,2.4e-05,0.999997
Sport / PE,7,0.034054,0.044063
CRB / AL,7,0.038823,0.977375
