Club,Position,Probability,Cumulative
Vitória / BA,20,1e-06,1e-06
Náutico / PE,20,0.000221,0.000221
Botafogo / SP,20,0.081292,0.081292
Paraná / PR,20,0.000603,0.000603
Figueirense / SC,20,0.000579,0.000579
Operário / PR,20,1.6e-05,1.6e-05
Oeste / SP,20,0.917288,0.917288
Paraná / PR,19,0.048542,0.049145
Brasil / RS,19,1e-06,1e-06
Operário / PR,19,0.002379,0.002395
CRB / AL,19,0.00038,0.00038
Oeste / SP,19,0.078409,0.995697
Náutico / PE,19,0.016833,0.017054
Confiança / SE,19,2.6e-05,2.6e-05
Figueirense / SC,19,0.036011,0.036590000000000004
Vitória / BA,19,0.00141,0.001411
Botafogo / SP,19,0.816009,0.897301
Oeste / SP,18,0.003531,0.999228
Botafogo / SP,18,0.076632,0.973933
Náutico / PE,18,0.197503,0.214557
Operário / PR,18,0.048305,0.0507
Confiança / SE,18,0.002263,0.002289
Guarani / SP,18,3e-06,3e-06
Brasil / RS,18,0.001576,0.0015769999999999998
Paraná / PR,18,0.303605,0.35275
Figueirense / SC,18,0.319736,0.35632600000000003
CRB / AL,18,0.017967,0.018347
Vitória / BA,18,0.028816,0.030227
Avaí / SC,18,6e-06,6e-06
Ponte Preta / SP,18,5.7e-05,5.7e-05
Operário / PR,17,0.105461,0.156161
Paraná / PR,17,0.250306,0.603056
Confiança / SE,17,0.011063,0.013352
Náutico / PE,17,0.216276,0.430833
Vitória / BA,17,0.074937,0.10516400000000001
CSA / AL,17,2e-06,2e-06
Oeste / SP,17,0.00061,0.999838
CRB / AL,17,0.049469,0.067816
Figueirense / SC,17,0.26318,0.6195060000000001
Ponte Preta / SP,17,0.000619,0.000676
Brasil / RS,17,0.00871,0.010287000000000001
Guarani / SP,17,8.2e-05,8.5e-05
Avaí / SC,17,0.000239,0.000245
Botafogo / SP,17,0.019046,0.9929790000000001
CSA / AL,16,2.1e-05,2.3e-05
CRB / AL,16,0.090088,0.157904
Náutico / PE,16,0.207306,0.638139
Cruzeiro / MG,16,2e-06,2e-06
Figueirense / SC,16,0.166652,0.786158
Vitória / BA,16,0.13133,0.236494
Guarani / SP,16,0.000785,0.00087
Operário / PR,16,0.161679,0.31784
Botafogo / SP,16,0.005191,0.99817
Paraná / PR,16,0.175728,0.7787839999999999
Sampaio Corrêa / MA,16,2e-06,2e-06
Confiança / SE,16,0.030983,0.044335
Brasil / RS,16,0.025489,0.035776
Oeste / SP,16,0.000129,0.999967
Ponte Preta / SP,16,0.003034,0.0037099999999999998
Avaí / SC,16,0.001581,0.001826
Oeste / SP,15,3e-05,0.999997
Operário / PR,15,0.18874,0.50658
Cruzeiro / MG,15,1.4e-05,1.6e-05
Sampaio Corrêa / MA,15,3.7e-05,3.9e-05
Ponte Preta / SP,15,0.009982,0.013692
Avaí / SC,15,0.006906,0.008732
CRB / AL,15,0.133069,0.290973
Guarani / SP,15,0.00394,0.00481
Vitória / BA,15,0.175286,0.41178000000000003
Brasil / RS,15,0.055125,0.09090100000000001
Confiança / SE,15,0.06158,0.10591500000000001
Botafogo / SP,15,0.001401,0.999571
Paraná / PR,15,0.109697,0.888481
Figueirense / SC,15,0.10087,0.887028
CSA / AL,15,0.000123,0.000146
Náutico / PE,15,0.1532,0.791339
Guarani / SP,14,0.012642,0.017452000000000002
Juventude / RS,14,7e-06,7e-06
Confiança / SE,14,0.10306,0.208975
Oeste / SP,14,3e-06,1.0
Náutico / PE,14,0.098123,0.889462
Botafogo / SP,14,0.000334,0.999905
Vitória / BA,14,0.188987,0.600767
Sampaio Corrêa / MA,14,0.000185,0.000224
CSA / AL,14,0.000551,0.0006969999999999999
Cruzeiro / MG,14,0.000104,0.00011999999999999999
Paraná / PR,14,0.060636,0.949117
Ponte Preta / SP,14,0.025054,0.038746
CRB / AL,14,0.16688,0.45785299999999995
Cuiabá / MT,14,2e-06,2e-06
Operário / PR,14,0.168718,0.675298
Brasil / RS,14,0.096754,0.18765500000000002
Avaí / SC,14,0.020012,0.028744
Figueirense / SC,14,0.057948,0.944976
Guarani / SP,13,0.030116,0.047568
Vitória / BA,13,0.155453,0.75622
Avaí / SC,13,0.043455,0.072199
Figueirense / SC,13,0.030667,0.975643
Confiança / SE,13,0.146981,0.355956
Brasil / RS,13,0.140547,0.328202
Paraná / PR,13,0.030286,0.979403
CSA / AL,13,0.002133,0.00283
Juventude / RS,13,5.3e-05,6e-05
Botafogo / SP,13,7.9e-05,0.999984
Cuiabá / MT,13,2.4e-05,2.6000000000000002e-05
Náutico / PE,13,0.05763,0.947092
Ponte Preta / SP,13,0.053044,0.09179
CRB / AL,13,0.172452,0.630305
Operário / PR,13,0.135666,0.810964
Cruzeiro / MG,13,0.000547,0.000667
Sampaio Corrêa / MA,13,0.000867,0.001091
Cruzeiro / MG,12,0.002297,0.002964
Figueirense / SC,12,0.015002,0.990645
Guarani / SP,12,0.061405,0.108973
Botafogo / SP,12,1.5e-05,0.999999
Confiança / SE,12,0.179428,0.535384
CSA / AL,12,0.00646,0.00929
Ponte Preta / SP,12,0.094062,0.18585200000000002
Brasil / RS,12,0.176007,0.504209
