draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_atk.1,lambda_atk.2,lambda_atk.3,lambda_atk.4,lambda_def.1,lambda_def.2,lambda_def.3,lambda_def.4
51,-902.2966382129405,0.9022020229971741,0.003042604197779464,3.0,7.0,0.0,904.3608352372084,0.003406103035902791,0.004022379255110657,0.003791795357972142,0.0036375047984307,0.0024600104361083607,0.0024716249987824,0.002349500697154681,0.002588017450918873
52,-899.9511538070112,0.985417776869598,0.003042604197779464,9.0,591.0,0.0,905.572569874411,0.06545268237828325,0.07034285932854753,0.06865274332397765,0.0702791068507687,0.04558338989868243,0.04627870805856215,0.047636942857905686,0.046411300042034614
53,-902.1754491914406,0.7449785641040433,0.003042604197779464,3.0,7.0,0.0,906.1870945431735,0.06472894150849799,0.05972728048739464,0.07288276444543083,0.06126946431663836,0.04480094980846232,0.04521241058259985,0.04779059026713929,0.046570324760686795
54,-902.6201399709296,0.9617623814841267,0.003042604197779464,8.0,319.0,0.0,908.6319384934035,0.9709702990846432,1.0816290790831498,1.333097080719811,1.0260486148446135,0.724202496724134,0.7440532952263818,0.6768410327230882,0.7480238440419077
55,-903.9783223621373,0.9723317105648575,0.003042604197779464,5.0,55.0,0.0,907.8540213079608,1.1874110580434862,1.195786475637989,1.5079320685901334,1.2819250785904375,0.8906603529777497,1.0073579927997822,0.8371864251024008,0.8552086588048939
56,-901.710720604379,1.0,0.003042604197779464,3.0,7.0,0.0,905.1480696606684,1.2087388174391642,1.2649010556057172,1.2229875258892828,1.1754482467635516,0.7803712488312867,0.7393713691540771,0.8604518379399869,0.9072907622659363
57,-902.7759018376714,0.9613806010201259,0.003042604197779464,7.0,247.0,0.0,905.85553877103,5.36838243215655,5.951284885484587,6.932375983365721,6.4452767166188885,4.118606582097329,4.517563346971161,3.9219569151042903,4.272394909355495
58,-905.0956404284353,0.783530966853042,0.003042604197779464,3.0,7.0,0.0,908.6901153758788,6.157660971188441,6.077191823212995,6.366137078386815,5.236315246578123,3.9926774317464773,3.8682378100437687,4.686927733643141,4.088546255123228
59,-899.6724509065748,1.0,0.003042604197779464,2.0,3.0,0.0,906.6196642961554,5.966912335613056,6.108883829649024,6.369700572895428,5.786012814509504,4.085507119284197,3.9998112662957968,3.919730520249942,4.0267415159504045
60,-904.2835417649711,0.7034361997497821,0.003042604197779464,3.0,7.0,0.0,905.6156912443116,5.679747663598394,6.13118011565726,5.752910804541736,5.841571817105131,3.996550814495547,4.029524018340318,3.8876520004526767,4.587589072402452
61,-900.6436638561346,0.986367701063964,0.003042604197779464,2.0,7.0,0.0,906.0903902018871,5.892675807595397,6.169464240465363,6.975680332269435,5.582247010320572,4.154579393894261,3.8008693177614785,3.958538384314198,4.247206194262839
62,-901.137664341153,0.8846427710475406,0.003042604197779464,3.0,15.0,0.0,904.2118205770603,5.309081830578103,6.303814594266349,6.2697562851569435,5.977816217801751,4.187427447146421,4.126684147165039,4.0387684497528715,4.045822012050628
63,-899.7644402938563,0.9733679642493537,0.003042604197779464,2.0,7.0,0.0,902.3689852040435,5.627172347408327,6.4027048371844515,6.522379900668205,6.054211982259486,4.026218734642656,4.1802898037088,4.087379769317973,4.1670995493072205
64,-901.6784803818684,0.7979793114729514,0.003042604197779464,3.0,7.0,0.0,903.5160793566308,6.2942800694880345,5.570068908481781,6.775177983396297,5.581406038969242,3.8229080116708025,3.891374685513855,3.9565320074991037,4.408635239340282
65,-901.7370576669312,0.9800711705144536,0.003042604197779464,3.0,7.0,0.0,904.233149371406,5.368734575939871,5.950981019750682,6.672246103770482,6.399837070710804,4.1560371214372935,3.812658045272119,4.347106232818476,4.068159911459425
66,-899.584627346519,0.9188492705791409,0.003042604197779464,3.0,7.0,0.0,904.1896288066102,5.82355608006382,5.786814760371184,6.408565610303115,5.57897176458578,4.058788785963562,3.936885049486058,4.226105189461388,4.00016071997134
67,-899.795631752592,0.9545314053407781,0.003042604197779464,4.0,23.0,0.0,901.393396489756,5.568824426792792,5.310474292247891,6.301668081544189,5.457250844965953,3.9683051610722195,3.772222610374315,3.788015777908797,4.089440154464541
68,-903.8257869882372,0.8887123688438148,0.003042604197779464,3.0,7.0,0.0,906.3236002876766,5.993739487585281,4.94566100273628,6.444812764970237,5.978056660837278,3.6580001199638423,4.246262869128521,3.733520483601058,3.957627731741273
69,-904.0040960730507,0.9861596100097257,0.003042604197779464,9.0,551.0,0.0,907.4039130696724,0.002739919081360194,0.0023058781860325647,0.002511304430431995,0.0022932355915958173,0.0015302527531343552,0.0016350539159931529,0.0016889302332243447,0.001832439504151078
70,-900.153089746007,0.9283261716999986,0.003042604197779464,3.0,7.0,0.0,908.416366483632,0.002217432918708442,0.002332440563554388,0.0026972584182983553,0.0023816532793740058,0.0015228806699934267,0.0016908306342858558,0.0016122888394439524,0.0016337371601728608
71,-902.1581975964757,0.8586673110110877,0.003042604197779464,3.0,7.0,0.0,903.947991563433,0.002066810263972058,0.0024664138452656133,0.002583616849981439,0.0022147589525507313,0.0014701541853196888,0.0014662784202203298,0.0016322431849637334,0.0016211148720417785
72,-901.6469301584495,0.9423827907336494,0.003042604197779464,8.0,423.0,0.0,905.5855515371667,0.08644587988873494,0.0972878869781151,0.10130746788168221,0.08817144754668836,0.06329784765420986,0.06514798128261895,0.06844536719403115,0.06964275434641336
73,-903.2391067689048,0.7192241965130215,0.003042604197779464,2.0,3.0,0.0,909.0186354246914,0.08598100961317394,0.09497382267160868,0.10173652558709857,0.09578335152563974,0.06190500025393766,0.06383773801387081,0.06573638174554536,0.07585755794340686
74,-903.1950106460406,0.9539301272569459,0.003042604197779464,4.0,23.0,0.0,907.9996664754814,0.08498421963026792,0.09544548518745839,0.1144538831622888,0.08957901124197311,0.06160654635751784,0.06371425478251166,0.06594451135091314,0.06308385106443193
75,-901.0467292906126,0.8906846384576116,0.003042604197779464,3.0,7.0,0.0,907.1000814242128,0.09209391232232424,0.09388698666397127,0.09658528868095348,0.09647162706473394,0.06727257967710712,0.05962797103141927,0.06859473829660481,0.06499924490058143
76,-904.8502467597526,0.720305142854737,0.003042604197779464,2.0,3.0,0.0,906.8412932225204,0.09473823760829925,0.09197402174463067,0.09723922864880692,0.09880146136442045,0.06724977725384364,0.056988276773871846,0.06893080033367513,0.06036957248184779
77,-902.5554624292865,0.8272226177186407,0.003042604197779464,3.0,7.0,0.0,912.3136627505435,0.10445098344041766,0.09088003366201348,0.10047956323900399,0.09022341958832458,0.06015549842597639,0.06906491315476931,0.06827973337802902,0.0716175006537163
78,-902.4489848930133,0.9142560213331462,0.003042604197779464,3.0,7.0,0.0,906.391566881055,0.09799704798747165,0.09901890723607332,0.10237976149442944,0.08956973366188428,0.06272212404755532,0.06778617937621681,0.06361993684238498,0.07710184816302137
79,-899.6330910856346,0.9630793341900141,0.003042604197779464,3.0,7.0,0.0,904.689810710528,0.09233276403813157,0.09025719198823985,0.1053589069816124,0.09629479952819081,0.06289049526411229,0.06580782847960538,0.06812954867508651,0.06989276561295082
80,-900.719383245876,0.78496769840371,0.003042604197779464,2.0,3.0,0.0,903.9845922104913,0.0964869260179217,0.09377304714976047,0.10626001081436304,0.09670123402237214,0.05856914710782516,0.06621285023962202,0.06956265672273033,0.06696027236283911
81,-905.0215439742573,0.5518161946955681,0.003042604197779464,3.0,7.0,0.0,912.0344456398217,0.0942892204578957,0.0962312016411979,0.0995093024702979,0.0898207765638297,0.06957674355471567,0.055644141564580224,0.062018777364534504,0.062452450391188824
82,-906.0732341398527,0.9291279330705905,0.003042604197779464,3.0,7.0,0.0,910.8110664872625,0.08323840525136482,0.0831698248811247,0.09558131313640407,0.08360077350417662,0.05097358088363342,0.06623492683551574,0.06374730923588817,0.06255695509216304
83,-903.3227036878866,0.9686080155995274,0.003042604197779464,3.0,7.0,0.0,911.3769553093101,0.0869242033843717,0.08514042757308789,0.10442068620440648,0.08275833521310937,0.06336774300374017,0.055638341179190705,0.05722012457839099,0.05828392122143996
84,-900.7675311098935,0.9291161693658652,0.003042604197779464,3.0,7.0,0.0,905.7237546115549,0.08682830264764324,0.08486264171209368,0.10495601829054707,0.08331537539167613,0.05852135749138695,0.0601572841446138,0.05538035512416649,0.061875646898462804
85,-900.683048426788,0.9009417603637103,0.003042604197779464,5.0,47.0,0.0,903.6981208352776,0.07443710702835082,0.07296088218938453,0.09006207395536146,0.07483960279394751,0.0522680553326232,0.05520983759387105,0.0504650658976864,0.058573359714202466
86,-902.3172673542705,0.9792987131239121,0.003042604197779464,3.0,7.0,0.0,903.5923114122203,0.07756601778027554,0.07084197924252851,0.09111165793552996,0.07171075086981679,0.05070748242923527,0.05321387166876258,0.04702372973831955,0.05633011119370385
87,-901.9270250631519,0.9476552101599067,0.003042604197779464,3.0,7.0,0.0,905.5440731227131,0.06939004685031308,0.08348163833571089,0.08144349329760595,0.08182759832423273,0.05527265663045143,0.05174294630227602,0.0567474724047273,0.05215313735926792
88,-900.1481579520795,0.8110026874874976,0.003042604197779464,4.0,23.0,0.0,907.5051729388506,0.08342126496248281,0.08747436824056341,0.09990320514287827,0.08643036069661324,0.06095202595225335,0.06318352356594667,0.062310512131889366,0.06623478958191233
89,-901.7251380108413,0.817027003340897,0.003042604197779464,2.0,7.0,0.0,904.7801102891362,0.08839197464135662,0.08942107644617131,0.08868375469843376,0.08914977835350618,0.06368170426575846,0.059425606954825384,0.06105214996255363,0.06508854847982722
90,-902.0044658087627,0.9779679677641665,0.003042604197779464,4.0,23.0,0.0,904.6071460090654,0.09427298887959262,0.10177979232501079,0.11463340005601598,0.09739906827534217,0.06880410992560382,0.06960810751550371,0.0780551947820506,0.0715228763530092
91,-902.5621451277161,0.8400804903762562,0.003042604197779464,3.0,15.0,0.0,908.6247429666897,0.10534017237003979,0.11519249795070849,0.10590349568623207,0.10946386345376498,0.0769549485939033,0.0682669094049144,0.07386245075450444,0.07784036173656794
92,-903.1373013371647,0.941313629675958,0.003042604197779464,3.0,7.0,0.0,907.190530824947,0.10497158386698917,0.11468110464839491,0.11513711361307033,0.09926804633878139,0.06527364285251905,0.06965433597625037,0.08089432248199396,0.07543217870231402
93,-900.9343231392755,0.9428457949666523,0.003042604197779464,8.0,367.0,0.0,907.5544143219823,0.17351063598859345,0.19036770611461373,0.20085725277283512,0.17835605492009618,0.11287961895561374,0.12052201283698623,0.13114923396606315,0.12583475467281688
94,-903.2061524865098,0.9644147524660944,0.003042604197779464,3.0,7.0,0.0,905.1492157574901,0.1804083098576478,0.17550098513388854,0.1774979368197939,0.18608204818883214,0.1223618401570828,0.11466919472986756,0.1359420027473081,0.13223365534560141
95,-900.4688735362176,0.9971205186158582,0.003042604197779464,3.0,7.0,0.0,905.6745294133716,0.18417431234367465,0.1907309065692525,0.20778884500966838,0.1747726443656718,0.11836523422283768,0.12301366328585943,0.11806238104767572,0.1368707942000163
96,-899.5105090386608,0.9816517233501563,0.003042604197779464,9.0,823.0,0.0,902.5222461303205,0.06406716824798687,0.06640088325494127,0.07763644231381833,0.06552898606227042,0.045577631600824196,0.04352871385630179,0.04688905464441008,0.04952950200010361
97,-899.4773081971072,0.9825309086903734,0.003042604197779464,3.0,7.0,0.0,900.7210552468674,0.06724399692247134,0.06664897151359121,0.07491810737719563,0.07233473199763243,0.04458640694352041,0.04690751520756159,0.049614458313275496,0.04770560584617361
98,-900.5699906096826,0.829791223101893,0.003042604197779464,9.0,575.0,0.0,905.5696680900627,0.009440110629059232,0.008889700223382016,0.010002124322119315,0.010077829115174517,0.0062475749939935946,0.006514871467176067,0.006292057214890993,0.006689954679195107
99,-899.6254792006084,0.6687084269025829,0.003042604197779464,3.0,7.0,0.0,904.5021150368682,0.008815537019110337,0.008990942974049272,0.010190161984730786,0.008921505882309787,0.006282869772167351,0.0063046966156429345,0.006687678897428555,0.0065695887508303045
100,-899.3284145512041,0.9920838293263635,0.003042604197779464,3.0,15.0,0.0,900.9879038889833,0.008965277328473346,0.009156627232856492,0.009398095474737793,0.00900091068440866,0.005992238527050203,0.005969094561597918,0.005979214745512699,0.006352819163101714
101,-899.8417629107713,0.8341056808027687,0.003042604197779464,3.0,7.0,0.0,902.3726403985515,0.008561162634864583,0.008585702958827528,0.009486530906447384,0.008770314310275869,0.005816938640674832,0.005674556827130201,0.00555767653096415,0.006048223567585176
102,-903.3057721983264,0.7775029711364028,0.003042604197779464,3.0,7.0,0.0,905.1001944163828,0.007821740843284249,0.00901114635298974,0.010109593587678947,0.008007086379101414,0.005699286083978699,0.005823165981062077,0.005986392724062898,0.006889657467908146
103,-900.5119239746585,0.9967267558572278,0.003042604197779464,4.0,23.0,0.0,905.0840864364505,0.009311650963805575,0.009590317693488627,0.010941195846525083,0.009657244302582404,0.006063312578382008,0.0068492953118192154,0.006899024085663268,0.007058794650297823
104,-900.6921808540067,0.9073607676654456,0.003042604197779464,5.0,47.0,0.0,904.6393511603052,0.010663236963542787,0.010168805617512152,0.011503102873967861,0.010230332699954001,0.007275248235019531,0.0065814720954649655,0.007033086513835597,0.00726902198788981
105,-901.20793143207,0.9918848874526235,0.003042604197779464,8.0,399.0,0.0,906.4825577281246,1.1218031118198752,1.1619552441705319,1.3048600981726817,1.1410706483560842,0.8406254875658662,0.7333307718858924,0.7291367873335299,0.844329327042024
106,-899.6062610398501,1.0,0.003042604197779464,3.0,7.0,0.0,902.3890331035841,1.0945498696450153,1.1562700798679895,1.3420513399971126,1.061769195325654,0.7574186425628883,0.7625692880308635,0.7615303621683952,0.8369971717207774
107,-901.2542102870815,0.7566188362692843,0.003042604197779464,5.0,63.0,0.0,905.3656516931889,1.4859820425574772,1.6626688426550917,1.8796414017118068,1.51603007670403,1.0431866748680647,1.055543961128125,1.0578968322642508,1.2410494109608456
108,-904.2474536403682,0.8225762938776927,0.003042604197779464,8.0,319.0,0.0,909.0064607146154,0.20580883314794726,0.2287441281932938,0.279962930413182,0.2031143275612643,0.15715905994022053,0.14800199698704838,0.14145300231456248,0.15154217074273824
