draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_atk.1,lambda_atk.2,lambda_atk.3,lambda_atk.4,lambda_def.1,lambda_def.2,lambda_def.3,lambda_def.4
0,-901.4655306536616,0.9960597759781142,0.003042604197779464,5.0,47.0,0.0,903.6779595631615,0.002593638795357658,0.0025702198996508255,0.003098932569103545,0.002817386246197558,0.0019076114371374812,0.0019375423520723374,0.0016861044110309145,0.0018613104627358589
1,-902.8301173303488,0.7241053041398703,0.003042604197779464,3.0,7.0,0.0,907.9710700489356,0.0028530985311890755,0.0029783343179445236,0.0030689732366963093,0.0025227186215374345,0.0018233203589914078,0.0018049945272077814,0.0021275541278395252,0.0021211364963424208
2,-905.0273277482559,0.9038614744074939,0.003042604197779464,8.0,503.0,0.0,910.8636231719902,0.0001239963472392433,0.00014313732344457488,0.00014278937808625476,0.00011774788721135786,8.66843737576059e-05,7.838005640348044e-05,8.925632167089699e-05,0.00010597342098294942
3,-901.201355171567,0.807120679038967,0.003042604197779464,3.0,7.0,0.0,909.4390381353371,0.00013174144732344418,0.0001247075874372872,0.00013836183719584958,0.00013638583410249564,8.65776929902557e-05,9.426001320635693e-05,8.980563866254365e-05,8.416554747796386e-05
4,-900.8492988987143,1.0,0.003042604197779464,3.0,7.0,0.0,902.19287570388,0.00012109060208482494,0.0001336818455582093,0.00014513601847450583,0.00011708840489519593,8.683782936964487e-05,8.041124503460281e-05,8.538031002989477e-05,9.543887976307443e-05
5,-902.3657163249967,0.8461723652943703,0.003042604197779464,3.0,15.0,0.0,905.9002089823606,0.0001179987957018874,0.00013085458772614438,0.000139892450780025,0.00014529930009502304,9.059507634600888e-05,8.863846477266358e-05,9.601208883374253e-05,9.015611181267096e-05
6,-901.955492396404,0.9050141609325061,0.003042604197779464,3.0,7.0,0.0,905.5269409729341,0.00014293193214551085,0.0001310596776011031,0.0001535136428188747,0.00012385060259510023,9.15376316041693e-05,9.809104453847043e-05,8.880935632135554e-05,9.82326089363426e-05
7,-904.689028535869,0.9654808364904719,0.003042604197779464,10.0,1023.0,0.0,909.0549381908932,6.206329465392455e-13,5.44939283312428e-13,6.505667745600075e-13,5.809182811627066e-13,3.490155024166832e-13,4.0522978382406334e-13,4.037303593349158e-13,4.3667309652278915e-13
8,-903.8950290145942,0.9684423692376134,0.003042604197779464,10.0,1023.0,0.0,908.4640527966766,2.4402890812842656e-07,2.524462724645675e-07,2.6600706955592063e-07,2.753051061141946e-07,1.6434139613455855e-07,1.5716889305924766e-07,1.8795640537574096e-07,1.7820660132466546e-07
9,-903.1533816796102,0.9502442921230984,0.003042604197779464,9.0,871.0,0.0,908.6745968804591,4.0532605785714e-05,4.0593362510507793e-05,5.0913493471758355e-05,3.975003192916375e-05,2.7314189494657673e-05,2.7420328739963225e-05,2.913190328336222e-05,3.271259176748373e-05
10,-902.7802580242084,1.0,0.003042604197779464,3.0,7.0,0.0,905.9889677251398,4.434105872477459e-05,4.3849625258626456e-05,4.758250861448251e-05,4.92592787094517e-05,3.0682305952454834e-05,2.8944712147188014e-05,3.4327598719730645e-05,3.070594934488263e-05
11,-902.3776479661682,0.9080783588712545,0.003042604197779464,3.0,7.0,0.0,906.6987165318483,4.5004332273172096e-05,4.694842696553065e-05,5.242192829490249e-05,4.1359756176907266e-05,3.059371370024151e-05,3.072955289955849e-05,2.8671329439431386e-05,3.5781512112125664e-05
12,-902.3952840117447,0.7064217502124309,0.003042604197779464,3.0,7.0,0.0,908.2082227672569,4.547709916591625e-05,4.435594183585529e-05,4.843839057563728e-05,4.945395906918221e-05,3.05185153809581e-05,3.119299217432102e-05,3.401492778582635e-05,2.899298049381324e-05
13,-902.2192193211392,0.6892009503923517,0.003042604197779464,7.0,191.0,0.0,908.7678409824721,1.0839343099328258e-05,1.0390043146470092e-05,1.0308491077526095e-05,1.0371701021147855e-05,6.7472559100986125e-06,7.4187179923822014e-06,7.4838917818694465e-06,7.537389743591893e-06
14,-901.2167156539119,0.9625311726846792,0.003042604197779464,6.0,71.0,0.0,905.0308794635986,6.446232237271668e-06,7.547028073350376e-06,7.682470899635949e-06,6.721666331587365e-06,4.853333128993946e-06,4.591181260283768e-06,4.715227077852698e-06,5.335969352402378e-06
15,-901.4719013869416,0.872090274899168,0.003042604197779464,3.0,7.0,0.0,904.0072960471285,7.085286154876763e-06,6.997682596381373e-06,7.4714353287607165e-06,6.515300620403646e-06,4.996641210454146e-06,4.793063684111241e-06,4.651577482486727e-06,5.0837498925710055e-06
16,-901.4969582871357,1.0,0.003042604197779464,3.0,7.0,0.0,903.0881939708457,6.524164726598461e-06,6.67415316459742e-06,7.74980305783616e-06,7.491657203937974e-06,4.707820613380283e-06,4.896608316110764e-06,5.12354126249586e-06,4.944365989898808e-06
17,-903.4070981042091,0.7261917645423496,0.003042604197779464,8.0,487.0,0.0,911.282831972406,0.00016399552303663677,0.0001500660635652695,0.00018712887141652423,0.00015718465689204764,0.00011054449959684548,0.00011169720485896276,0.00011871203894877828,0.00012764139454259958
18,-902.1404516937965,0.9968097731480274,0.003042604197779464,9.0,655.0,0.0,905.3220068649496,3.0671884804541064e-06,3.426204497612895e-06,3.556340449171052e-06,3.2552582088288196e-06,2.4238918559379492e-06,2.3537018367183846e-06,2.2902662663345896e-06,2.2196393915234e-06
19,-900.9962908621583,0.9679909233285195,0.003042604197779464,4.0,31.0,0.0,903.7273112139873,3.074315307510809e-06,3.3219007882569286e-06,3.249218871159064e-06,2.991447480757074e-06,2.1032147767873013e-06,2.156980590337882e-06,2.2308965508445656e-06,2.1386380124051325e-06
20,-901.4477125418016,0.8712106789899874,0.003042604197779464,3.0,15.0,0.0,904.1169323211606,3.22272880574747e-06,3.316784688972108e-06,3.498676378587431e-06,3.1468713103251956e-06,2.3535698275343026e-06,2.309108702783118e-06,2.1257355108653074e-06,2.2805087203621315e-06
21,-901.4103356246845,0.9655690398023642,0.003042604197779464,3.0,7.0,0.0,904.3154396459086,3.073015868477518e-06,3.3105588796396095e-06,3.873500841087264e-06,3.205592948052902e-06,2.155945113929648e-06,2.111262740458304e-06,2.2734651072732216e-06,2.427180808631972e-06
22,-901.0908720076868,0.9890614954993228,0.003042604197779464,9.0,991.0,0.0,904.1570933686954,0.0002063385228572692,0.0001919364551969143,0.00022187848244881425,0.00021304219244710473,0.0001369635320662086,0.00013508174573934062,0.00015122498463419773,0.00013864644554901348
23,-902.0293888665612,0.827793520315873,0.003042604197779464,5.0,55.0,0.0,906.7218364139336,0.00017663453612048595,0.00018057743092999383,0.00022393957525651827,0.00018300468672563506,0.00012330536903985267,0.0001274434898290958,0.00011642989315356022,0.00014121414324632075
24,-900.8705482073345,0.9358877452940775,0.003042604197779464,3.0,7.0,0.0,905.2949938043496,0.0001899871642129285,0.00017742936696028968,0.00020825410546103487,0.00018771667234684358,0.00011774376538740256,0.00012537718253389544,0.0001332362947833392,0.0001388191014779605
25,-901.416435508799,0.9784144419215867,0.003042604197779464,3.0,7.0,0.0,902.924709401947,0.00017296975331268497,0.00018618482976567942,0.00021348799106645682,0.0001841793156864704,0.00013325371627680112,0.00011566638056941363,0.0001319625839990958,0.00012967836848424202
26,-901.4895655831344,0.9591663878607861,0.003042604197779464,3.0,7.0,0.0,904.804375725067,0.0001873731701691717,0.00018995269953092414,0.00019154418069517145,0.00019210831446665296,0.00012092918116349376,0.00013132259802387495,0.00014343746062378125,0.00012854701126831242
27,-902.6493828336598,0.9470117759574962,0.003042604197779464,3.0,7.0,0.0,905.9525994927711,0.00020002708162118572,0.00016853549479838714,0.00020135555261180336,0.00018625086784180783,0.00011531123423770361,0.00013420879238269911,0.00012798428787761545,0.00012530605818193762
28,-900.4380845113149,0.8724160912293171,0.003042604197779464,3.0,7.0,0.0,906.146285619563,0.00016624275707031102,0.0001890635627813534,0.00019028793636967725,0.0001761266767202844,0.00012425526748661178,0.00011842846643408478,0.00012651211176672168,0.00013320323304178078
29,-903.3458836332012,0.7610625880014018,0.003042604197779464,2.0,3.0,0.0,904.7522603283542,0.00016639969611822206,0.0001917540973727651,0.0002022166465368353,0.00016049597809166953,0.00012991012665310633,0.00011623763513054938,0.00013030214131429685,0.0001263397896951255
30,-903.3179533637436,0.9476795920753738,0.003042604197779464,3.0,7.0,0.0,906.0736474111634,0.00017566937761747485,0.00017856844754788405,0.00018742502518354962,0.00019874030158537797,0.00012141831127443019,0.00011823290855545029,0.0001158039203995114,0.00012406153496240114
31,-902.3412303640907,0.9766562432360724,0.003042604197779464,3.0,7.0,0.0,906.6264805937865,0.00015799694308472293,0.00017364445680235823,0.00020546143047188632,0.0001738426336399397,0.00013096660560183034,0.00012131928125363713,0.0001190886898921435,0.00011622293055199593
32,-902.407969764021,0.9800805585926888,0.003042604197779464,3.0,15.0,0.0,905.4327040491772,0.00020609801306193987,0.00019837159434824675,0.0001947264752135448,0.00018152276193277546,0.00012187654120246817,0.0001337329497407235,0.00013585785933367767,0.00014351490060186985
33,-904.7438129469759,0.9311234407099135,0.003042604197779464,3.0,7.0,0.0,906.3196194702462,0.00016736313750834747,0.00019461633473962485,0.00023918246479562,0.00020459588546583763,0.00014892999378093974,0.00013218030291322955,0.0001339742290570871,0.00014222044805439567
34,-905.1968560458236,0.7820691034301414,0.003042604197779464,3.0,7.0,0.0,913.8327872199452,0.00018471446668453376,0.0002127873392949277,0.00024870748674043515,0.00020871993890529472,0.00013430711923564573,0.00015558064450531587,0.00013108900822489595,0.00014990730495083904
35,-900.853099081047,0.8551231888524475,0.003042604197779464,3.0,7.0,0.0,910.4581028074979,0.00021744938158323575,0.00020898897131942605,0.00024322306730210102,0.00019328168485414492,0.00014211634659006128,0.00015114625779909748,0.000143239321783656,0.00015502333759731567
36,-899.737198873219,0.9726610622274886,0.003042604197779464,3.0,7.0,0.0,902.3724394693609,0.00020159701782878123,0.00020772066238029742,0.0002418351753238772,0.00021212938925631772,0.00014017474759107134,0.00015066078185902668,0.00013836421032424224,0.0001506505922644043
37,-903.0395421288356,0.7913087130771582,0.003042604197779464,3.0,7.0,0.0,904.5622226307846,0.00022602452071360403,0.00019767348049998267,0.0002139225279644989,0.00020978084732477527,0.00014247208605312054,0.00014602490396398187,0.00014825713229901975,0.00013635899498659298
38,-899.0592066188992,1.0,0.003042604197779464,2.0,3.0,0.0,903.362633162846,0.00021146944821876448,0.00020726075725745834,0.00023005729313035927,0.0002161831431596327,0.00013958894086632832,0.00014318286773578587,0.00014454920371209277,0.00014998909255731327
39,-906.6499730322153,0.6074672618626294,0.003042604197779464,3.0,7.0,0.0,907.6549706049071,0.00022297922464341248,0.0001940871731280134,0.00023221535409098743,0.00021871161621738085,0.00014236075730292261,0.00013601135732980654,0.00016057775399969123,0.00016914200680805968
40,-899.8415508846598,1.0,0.003042604197779464,2.0,3.0,0.0,907.7709983835205,0.00022293987881814877,0.00021837032285745882,0.00023701006725799522,0.00021262457607361022,0.00015391544180626775,0.00015180314146859286,0.0001501153353075914,0.00015015013129231918
41,-901.5246226771544,0.882343147184723,0.003042604197779464,9.0,799.0,0.0,904.1148159473008,6.0937718066311814e-06,5.671570347005673e-06,6.783466749300226e-06,6.181392276810193e-06,4.392118596069699e-06,4.283079451105312e-06,4.3805433401248864e-06,4.226340653527321e-06
42,-899.1676568303845,0.8408209248456541,0.003042604197779464,3.0,7.0,0.0,905.8748969006846,6.03404006168826e-06,6.238221155558605e-06,7.0065547964645526e-06,6.280120611587864e-06,4.274957757193224e-06,4.150625435141422e-06,4.196603765738158e-06,4.414104650152082e-06
43,-899.4819702509953,0.9579792863570528,0.003042604197779464,3.0,15.0,0.0,900.839271618622,5.782264122831348e-06,6.244234960105768e-06,6.539225045529308e-06,5.693512539021443e-06,4.016857628970434e-06,4.0578533148568445e-06,4.125836543068784e-06,4.286394669288689e-06
44,-900.4077500802939,0.7693441086675987,0.003042604197779464,9.0,999.0,0.0,903.1095186078248,0.00022458363618585328,0.00023599434801513646,0.0002690827000449491,0.0002336822825987041,0.00016232815275619855,0.0001654783731275486,0.00017395668138612877,0.0001750270613768454
45,-901.3308470759828,0.9447527366004117,0.003042604197779464,10.0,1023.0,0.0,904.4306943485315,5.6071451675818884e-05,5.760358143797234e-05,6.641573039759207e-05,5.291421530744711e-05,4.045379805132043e-05,4.0541903998075206e-05,4.095528955299101e-05,4.096868204664618e-05
46,-902.4591591751544,0.9765615700416178,0.003042604197779464,9.0,767.0,0.0,906.2611504869383,8.155443583469959e-07,7.694125236210704e-07,8.494776421996866e-07,7.669191750408075e-07,5.539215088734831e-07,5.84352080307475e-07,5.708391872371543e-07,5.340195688661298e-07
47,-905.0178353988871,0.9645696134918064,0.003042604197779464,3.0,7.0,0.0,905.8780896375285,7.706500804890636e-07,8.71678779006552e-07,8.882285763951187e-07,7.765845810696769e-07,5.124144424728579e-07,4.825539653477806e-07,5.458424067440539e-07,6.325918503859417e-07
48,-900.535235828469,0.9910435284898147,0.003042604197779464,9.0,943.0,0.0,908.4595895542434,0.0039455317287900365,0.004035627243584663,0.004030675430166587,0.0036492494187092125,0.002451093225726664,0.0025040166320774576,0.002635735255649686,0.0027073019955144166
49,-900.572674159964,0.8128163441058718,0.003042604197779464,3.0,7.0,0.0,905.4542340116733,0.0033803706978870105,0.003484070019182224,0.004169448365092152,0.003586569703884788,0.0023092810766950555,0.002534187770347962,0.0024710478798582788,0.0024194699952955093
50,-900.7380807560869,0.9971916383299756,0.003042604197779464,3.0,7.0,0.0,901.8300091905342,0.003443077814717891,0.0035000570005085936,0.003798998227761111,0.00368250786429234,0.0026225040359050796,0.002324725941246566,0.0024511942487535025,0.00250518194471294
