Points,Position,Probability,Cumulative
29,20,0.20114,0.20114
30,20,0.28581,0.48695
31,20,0.101026,0.587976
32,20,0.210338,0.798314
33,20,0.148166,0.94648
35,18,0.028887,0.028887
35,19,0.354253,0.354253
35,20,0.05352,1.0
36,18,0.155766,0.18465299999999998
36,19,0.360966,0.715219
37,18,0.081521,0.26617399999999997
37,19,0.081916,0.797135
38,18,0.331454,0.597628
38,19,0.162456,0.959591
39,19,0.037125,0.9967159999999999
39,18,0.266166,0.863794
40,17,0.180407,0.180407
40,18,0.027892,0.891686
40,19,0.00073,0.9974459999999999
41,17,0.252384,0.43279100000000004
41,18,0.108314,1.0
41,19,0.002554,1.0
42,16,0.078836,0.078836
42,17,0.141442,0.574233
43,15,0.037411,0.037411
43,16,0.298,0.376836
43,17,0.304927,0.8791599999999999
44,17,0.091429,0.970589
44,15,0.109951,0.147362
44,16,0.239345,0.616181
45,16,0.199265,0.815446
45,17,0.01733,0.987919
45,14,0.022396,0.022396
45,15,0.170746,0.318108
46,11,0.000214,0.000214
46,12,0.006976,0.006976
46,13,0.072355,0.072355
46,14,0.330606,0.35300200000000004
46,15,0.498903,0.8170109999999999
46,16,0.174577,0.990023
46,17,0.012081,1.0
47,11,0.008329,0.008543
47,12,0.078188,0.08516399999999999
47,13,0.269264,0.341619
47,14,0.374692,0.7276940000000001
47,15,0.150205,0.967216
47,16,0.008824,0.998847
48,14,0.154289,0.881983
48,15,0.024101,0.991317
48,16,0.001153,1.0
48,13,0.229097,0.570716
48,11,0.025046,0.033589
48,12,0.129589,0.214753
49,10,0.050098,0.050098
49,11,0.29554,0.329129
49,12,0.501088,0.715841
49,13,0.367943,0.938659
49,14,0.112838,0.994821
49,15,0.008683,1.0
50,14,0.00504,0.999861
50,13,0.057224,0.9958830000000001
50,12,0.237194,0.953035
50,9,0.023809,0.023809
50,10,0.255111,0.30520899999999995
50,11,0.41544,0.744569
51,13,0.003754,0.999637
51,14,0.000139,1.0
51,12,0.035191,0.9882259999999999
51,9,0.080342,0.104151
51,10,0.203294,0.5085029999999999
51,11,0.137375,0.881944
52,9,0.213387,0.317538
52,10,0.367113,0.875616
52,11,0.118056,1.0
52,12,0.011774,0.9999999999999999
52,13,0.000363,1.0
53,8,0.066566,0.066566
53,9,0.335624,0.653162
53,10,0.105369,0.980985
54,8,0.156278,0.222844
54,9,0.212493,0.865655
54,10,0.013289,0.994274
55,10,0.005726,1.0
55,9,0.0727,0.9383549999999999
55,8,0.164049,0.38689300000000004
55,6,0.001618,0.001618
55,7,0.045149,0.045149
56,5,0.004133,0.004133
56,6,0.065471,0.067089
56,7,0.307372,0.352521
56,8,0.422915,0.809808
56,9,0.061645,1.0
57,4,0.004394,0.004394
57,5,0.058597,0.06273000000000001
57,6,0.232055,0.299144
57,7,0.3435,0.696021
57,8,0.149492,0.9593
58,7,0.224364,0.920385
58,8,0.033224,0.992524
58,6,0.382087,0.681231
58,4,0.070176,0.07457
58,3,0.005228,0.005228
58,5,0.260045,0.32277500000000003
59,7,0.078428,0.998813
59,6,0.292908,0.9741390000000001
59,8,0.007476,1.0
59,4,0.274856,0.349426
59,3,0.045876,0.051104
59,5,0.479638,0.802413
60,2,0.025047,0.025047
60,3,0.298719,0.349823
60,4,0.417759,0.767185
60,5,0.158751,0.961164
60,6,0.023428,0.997567
60,7,0.001187,1.0
61,6,0.002433,1.0
61,5,0.038836,1.0
61,2,0.1619,0.18694699999999997
61,3,0.411109,0.7609319999999999
61,4,0.211377,0.978562
62,2,0.187306,0.37425299999999995
62,3,0.157806,0.918738
62,4,0.021438,1.0
63,2,0.458043,0.8322959999999999
63,3,0.081262,1.0
65,2,0.167704,0.9999999999999999
68,1,0.033474,0.033474
69,1,0.10709,0.140564
70,1,0.071901,0.21246500000000001
71,1,0.234042,0.446507
72,1,0.286769,0.733276
74,1,0.266724,1.0
