Points,Position,Probability,Cumulative
30,20,0.017406,0.017406
31,20,0.066738,0.08414400000000001
32,19,0.000579,0.000579
32,20,0.110603,0.194747
33,18,5.4e-05,5.4e-05
33,19,0.008894,0.009473
33,20,0.150128,0.34487500000000004
34,20,0.201239,0.546114
34,19,0.044834,0.054307
34,18,0.001429,0.001483
34,17,8e-06,8e-06
35,17,0.000258,0.00026599999999999996
35,18,0.011359,0.012842
35,19,0.116942,0.171249
35,20,0.191442,0.7375560000000001
36,20,0.136985,0.874541
36,19,0.197476,0.36872499999999997
36,18,0.047528,0.06037
36,17,0.00271,0.0029760000000000003
36,16,1e-05,1e-05
37,15,1e-06,1e-06
37,16,0.000584,0.000594
37,17,0.020589,0.023565
37,18,0.140125,0.200495
37,19,0.256718,0.625443
37,20,0.08397,0.958511
38,20,0.032146,0.990657
38,19,0.213557,0.839
38,18,0.248682,0.449177
38,15,0.000134,0.000135
38,16,0.008579,0.009173
38,17,0.088221,0.111786
39,19,0.112061,0.9510609999999999
39,20,0.00792,0.998577
39,18,0.266637,0.715814
39,16,0.050242,0.059415
39,15,0.003318,0.0034530000000000003
39,14,3.2e-05,3.2e-05
39,17,0.203868,0.315654
40,13,2.8e-05,2.8e-05
40,14,0.00179,0.0018219999999999998
40,15,0.033933,0.037385999999999996
40,16,0.175524,0.234939
40,17,0.30791,0.623564
40,18,0.193683,0.909497
40,19,0.040654,0.991715
40,20,0.001314,0.9998910000000001
41,17,0.243796,0.86736
41,20,0.000108,0.9999990000000001
41,19,0.007508,0.999223
41,18,0.073693,0.98319
41,16,0.306672,0.5416110000000001
41,15,0.14288,0.180266
41,14,0.023111,0.024933
41,13,0.001155,0.001183
41,12,6e-06,6e-06
42,11,1e-06,1e-06
42,12,0.000479,0.00048499999999999997
42,13,0.01376,0.014943
42,14,0.102277,0.12721000000000002
42,15,0.266744,0.44701
42,16,0.265191,0.806802
42,17,0.101529,0.968889
42,18,0.014801,0.997991
42,19,0.000737,0.99996
42,20,1e-06,1.0
43,18,0.00193,0.999921
43,17,0.027684,0.996573
43,19,3.9e-05,0.999999
43,16,0.147315,0.954117
43,15,0.30646,0.7534700000000001
43,14,0.250136,0.37734600000000007
43,13,0.078056,0.092999
43,12,0.00754,0.008025
43,11,0.000212,0.000213
44,19,1e-06,1.0
44,18,7.9e-05,1.0
44,17,0.003235,0.999808
44,16,0.03954,0.993657
44,15,0.176893,0.930363
44,14,0.305047,0.682393
44,13,0.20385,0.29684900000000003
44,12,0.046571,0.054596
44,11,0.002948,0.003161
44,10,3e-06,3e-06
45,17,0.000183,0.999991
45,16,0.005679,0.999336
45,15,0.055395,0.985758
45,14,0.19774,0.880133
45,13,0.26936,0.566209
45,12,0.131499,0.186095
45,11,0.019179,0.022340000000000002
45,10,0.0002,0.000203
46,9,2.2e-05,2.2e-05
46,10,0.00289,0.0030930000000000003
46,11,0.072656,0.094996
46,12,0.243169,0.429264
46,13,0.251227,0.8174359999999999
46,14,0.094117,0.9742500000000001
46,15,0.012904,0.998662
46,16,0.000638,0.999974
46,17,9e-06,1.0
47,16,2.6e-05,1.0
47,15,0.001258,0.99992
47,14,0.02215,0.9964000000000001
47,13,0.129084,0.9465199999999999
47,12,0.262858,0.692122
47,11,0.16346,0.258456
47,10,0.01993,0.023023000000000002
47,9,0.000526,0.000548
47,8,3e-06,3e-06
48,8,4e-05,4.3e-05
48,9,0.004967,0.005515
48,10,0.070936,0.093959
48,11,0.233322,0.491778
48,12,0.180571,0.872693
48,13,0.041728,0.9882479999999999
48,14,0.003225,0.9996250000000001
48,15,7.6e-05,0.999996
49,15,4e-06,1.0
49,14,0.00036,0.9999850000000001
49,12,0.09232,0.965013
49,13,0.010466,0.998714
49,10,0.15048,0.24443900000000002
49,9,0.023605,0.02912
49,8,0.000535,0.000578
49,11,0.237374,0.729152
50,14,1.5e-05,1.0
50,12,0.028029,0.993042
50,11,0.159092,0.888244
50,13,0.001176,0.99989
50,9,0.073565,0.102685
50,8,0.00447,0.005048
50,10,0.22179,0.466229
51,8,0.019555,0.024603
51,9,0.145737,0.248422
51,10,0.224488,0.690717
51,11,0.077398,0.965642
51,12,0.006056,0.999098
51,13,0.000104,0.9999939999999999
52,13,5e-06,0.999999
52,12,0.000822,0.99992
52,11,0.026134,0.991776
52,10,0.153983,0.8447
52,9,0.183238,0.43166000000000004
52,8,0.046761,0.071364
53,12,7.6e-05,0.999996
53,11,0.006865,0.998641
53,13,1e-06,1.0
53,9,0.216255,0.647915
53,8,0.101535,0.172899
53,10,0.097865,0.942565
54,7,0.000163,0.000163
54,8,0.147645,0.320544
54,9,0.166396,0.814311
54,10,0.040174,0.982739
54,11,0.001215,0.999856
54,12,4e-06,1.0
55,10,0.012153,0.994892
55,11,0.000128,0.999984
55,9,0.093581,0.907892
55,8,0.150694,0.471238
55,7,0.002065,0.002228
55,6,4e-06,4e-06
56,6,7.8e-05,8.2e-05
56,7,0.011874,0.014102
56,8,0.193281,0.664519
56,9,0.065026,0.972918
56,10,0.004487,0.999379
56,11,1.4e-05,0.999998
57,5,8e-06,8e-06
57,6,0.000818,0.0009000000000000001
57,7,0.036268,0.05037
57,8,0.134052,0.798571
57,9,0.01829,0.991208
57,10,0.000538,0.9999170000000001
57,11,2e-06,1.0
58,9,0.006722,0.99793
58,6,0.005274,0.006174
58,10,7.9e-05,0.999996
58,8,0.090876,0.889447
58,4,1e-06,1e-06
58,5,9.9e-05,0.000107
58,7,0.083288,0.133658
59,4,1.5e-05,1.6e-05
59,5,0.001108,0.001215
59,6,0.024636,0.03081
59,7,0.155679,0.289337
