Points,Position,Probability,Cumulative
12,20,2.1e-05,2.1e-05
13,20,0.000236,0.000257
14,20,0.000844,0.001101
15,20,0.002257,0.003358
16,19,1e-06,1e-06
16,20,0.005088,0.008445999999999999
17,19,7e-06,8e-06
17,20,0.00997,0.018416
18,19,4.9e-05,5.6999999999999996e-05
18,20,0.017111,0.035527
19,19,0.000194,0.000251
19,20,0.02737,0.062897
20,19,0.000652,0.0009029999999999999
20,20,0.040123,0.10302
21,20,0.05452,0.15754
21,18,1e-06,1e-06
21,19,0.001866,0.0027689999999999998
22,18,2e-06,3e-06
22,19,0.004441,0.007209999999999999
22,20,0.071252,0.228792
23,18,9e-06,1.2e-05
23,19,0.009324,0.016534
23,20,0.085604,0.314396
24,18,6.9e-05,8.099999999999999e-05
24,19,0.017517,0.034051
24,20,0.097081,0.411477
25,20,0.103095,0.514572
25,18,0.000284,0.000365
25,19,0.02978,0.063831
26,20,0.103666,0.618238
26,19,0.0458,0.109631
26,18,0.000956,0.0013210000000000001
27,17,1e-06,1e-06
27,18,0.002784,0.004105
27,19,0.064614,0.174245
27,20,0.096488,0.714726
28,17,2e-05,2.1000000000000002e-05
28,18,0.006835,0.01094
28,19,0.085266,0.259511
28,20,0.084636,0.799362
29,17,9.3e-05,0.000114
29,18,0.014236,0.025176
29,19,0.102518,0.362029
29,20,0.068577,0.867939
30,20,0.05102,0.918959
30,19,0.113653,0.475682
30,18,0.027102,0.052278000000000005
30,17,0.000421,0.000535
30,16,1e-06,1e-06
31,16,5e-06,6e-06
31,17,0.001506,0.002041
31,18,0.045223,0.097501
31,19,0.117729,0.593411
31,20,0.035142,0.954101
32,16,4.4e-05,4.9999999999999996e-05
32,17,0.004374,0.0064150000000000006
32,18,0.068647,0.16614800000000002
32,19,0.111257,0.704668
32,20,0.022413,0.976514
33,20,0.012607,0.989121
33,19,0.096458,0.801126
33,18,0.095376,0.261524
33,16,0.000242,0.000292
33,15,2e-06,2e-06
33,17,0.011371,0.017786
34,15,1.3e-05,1.4999999999999999e-05
34,16,0.0011,0.001392
34,17,0.025262,0.043048
34,18,0.118697,0.38022100000000003
34,19,0.076281,0.877407
34,20,0.006464,0.995585
35,18,0.134046,0.514267
35,20,0.00288,0.998465
35,19,0.054658,0.932065
35,15,8.7e-05,0.000102
35,17,0.049396,0.092444
35,16,0.004076,0.005468
36,19,0.034763,0.966828
36,20,0.001095,0.99956
36,18,0.136614,0.650881
36,15,0.000477,0.000579
36,16,0.011832,0.0173
36,14,5e-06,5e-06
36,17,0.082317,0.174761
37,18,0.122479,0.77336
37,19,0.019077,0.985905
37,17,0.121005,0.295766
37,20,0.000346,0.999906
37,15,0.002331,0.0029100000000000003
37,14,6.2e-05,6.7e-05
37,16,0.029512,0.046812000000000006
38,20,7.5e-05,0.999981
38,18,0.09694,0.8703000000000001
38,19,0.009051,0.994956
38,17,0.15202,0.447786
38,13,5e-06,5e-06
38,15,0.008601,0.011511
38,14,0.00041,0.000477
38,16,0.061818,0.10863
39,20,1.6e-05,0.999997
39,18,0.065626,0.935926
39,17,0.165014,0.6128
39,16,0.108151,0.216781
39,19,0.003584,0.99854
39,14,0.002229,0.002706
39,13,7.4e-05,7.9e-05
39,12,2e-06,2e-06
39,15,0.024984,0.036495
40,20,3e-06,1.0
40,12,6e-06,8e-06
40,13,0.000558,0.000637
40,14,0.009211,0.011917
40,15,0.059332,0.095827
40,16,0.155897,0.372678
40,17,0.151189,0.763989
40,18,0.037597,0.973523
40,19,0.001146,0.999686
41,18,0.017669,0.9911920000000001
41,17,0.114559,0.878548
41,19,0.00028,0.999966
41,16,0.184274,0.556952
41,13,0.0032,0.003837
41,14,0.029235,0.041152
41,11,2e-06,2e-06
41,15,0.112798,0.208625
41,12,0.000147,0.000155
42,19,2.9e-05,0.999995
42,10,1e-06,1e-06
42,11,3.8e-05,4e-05
42,12,0.001188,0.001343
42,13,0.013802,0.017639000000000002
42,14,0.071516,0.11266799999999999
42,15,0.169256,0.377881
42,16,0.176957,0.733909
42,17,0.070058,0.948606
42,18,0.006487,0.997679
43,19,5e-06,1.0
43,18,0.001859,0.999538
43,17,0.034154,0.98276
43,16,0.13444,0.868349
43,15,0.201673,0.579554
43,11,0.000408,0.000448
43,13,0.042512,0.060151
43,12,0.006345,0.007688
43,10,1.1e-05,1.2e-05
43,14,0.134103,0.246771
44,15,0.184604,0.764158
44,17,0.012851,0.9956109999999999
44,16,0.079821,0.94817
44,18,0.000379,0.9999170000000001
44,14,0.193555,0.440326
44,12,0.024172,0.03186
44,11,0.002861,0.003309
44,10,0.000161,0.000173
44,9,1e-06,1e-06
44,13,0.097027,0.157178
45,18,7.1e-05,0.999988
45,17,0.003519,0.99913
45,16,0.036298,0.984468
45,15,0.130883,0.895041
45,14,0.211512,0.651838
45,13,0.167697,0.324875
45,12,0.066347,0.098207
45,11,0.013177,0.016486
45,10,0.001263,0.001436
45,9,4.8e-05,4.9e-05
46,18,1.2e-05,1.0
46,17,0.000762,0.999892
46,16,0.012047,0.996515
46,15,0.068863,0.963904
46,14,0.173853,0.825691
46,8,1.4e-05,1.4e-05
46,12,0.134779,0.23298600000000003
46,11,0.042805,0.059291
46,10,0.006716,0.008152
46,9,0.000468,0.000517
46,13,0.215028,0.539903
47,17,9.1e-05,0.999983
47,16,0.002952,0.999467
47,15,0.026901,0.9908049999999999
47,14,0.106411,0.932102
47,13,0.204001,0.743904
47,10,0.025534,0.033686
47,11,0.100297,0.159588
47,9,0.003039,0.003556
47,8,0.000137,0.00015099999999999998
47,7,5e-06,5e-06
47,12,0.199571,0.43255699999999997
48,17,1.6e-05,0.999999
48,16,0.000467,0.999934
48,15,0.007386,0.9981909999999999
48,14,0.047872,0.979974
48,13,0.143833,0.887737
48,12,0.217668,0.650225
48,11,0.171524,0.331112
48,10,0.068371,0.10205700000000001
48,9,0.013194,0.01675
48,8,0.001148,0.0012989999999999998
48,7,2e-05,2.5e-05
49,16,5.9e-05,0.999993
49,15,0.001553,0.999744
49,14,0.015525,0.995499
49,13,0.073931,0.961668
49,12,0.175895,0.82612
49,17,1e-06,1.0
49,10,0.134192,0.236249
49,9,0.041406,0.058156
49,8,0.005739,0.007038
49,7,0.000273,0.00029800000000000003
49,6,2e-06,2e-06
49,11,0.214269,0.545381
50,15,0.000232,0.999976
50,14,0.00374,0.999239
50,13,0.028519,0.990187
50,12,0.106007,0.932127
50,11,0.199051,0.744432
