Points,Position,Probability,Cumulative
15,20,1.7e-05,1.7e-05
16,20,0.000169,0.000186
17,20,0.001392,0.001578
18,19,2e-06,2e-06
18,20,0.007387,0.008965
19,19,7.5e-05,7.699999999999999e-05
19,20,0.024065,0.033030000000000004
20,19,0.000559,0.0006360000000000001
20,20,0.0527,0.08573
21,19,0.002848,0.003484
21,20,0.087149,0.172879
22,19,0.008911,0.012395
22,20,0.119431,0.29231
23,20,0.142663,0.434973
23,18,5e-06,5e-06
23,19,0.021378,0.033773
24,18,0.000122,0.000127
24,19,0.042177,0.07595
24,20,0.146652,0.5816250000000001
25,18,0.000862,0.000989
25,19,0.069894,0.145844
25,20,0.135016,0.716641
26,18,0.004103,0.005092
26,19,0.101425,0.24726900000000002
26,20,0.10994,0.826581
27,20,0.078538,0.905119
27,19,0.129576,0.376845
27,17,2.4e-05,2.4e-05
27,18,0.013315,0.018407
28,16,2e-06,2e-06
28,17,0.0004,0.000424
28,18,0.03298,0.051387
28,19,0.144707,0.521552
28,20,0.049093,0.954212
29,20,0.026709,0.980921
29,16,9e-06,1.1e-05
29,17,0.002224,0.0026479999999999997
29,18,0.065081,0.116468
29,19,0.143744,0.665296
30,20,0.012291,0.993212
30,19,0.124955,0.790251
30,16,0.000143,0.000154
30,17,0.00925,0.011897999999999999
30,18,0.107039,0.223507
31,19,0.093819,0.88407
31,15,1e-06,1e-06
31,16,0.000824,0.000978
31,17,0.026725,0.038623
31,18,0.144609,0.368116
31,20,0.004813,0.9980249999999999
32,19,0.060328,0.944398
32,18,0.165556,0.533672
32,20,0.001501,0.999526
32,16,0.003801,0.004779
32,15,1.9e-05,2e-05
32,17,0.058695,0.09731799999999999
33,15,0.000206,0.000226
33,16,0.01239,0.017169
33,17,0.102308,0.199626
33,18,0.159727,0.693399
33,19,0.032838,0.977236
33,20,0.000381,0.999907
34,20,8.6e-05,0.999993
34,19,0.015024,0.99226
34,18,0.129868,0.823267
34,17,0.146111,0.34573699999999996
34,16,0.032377,0.04954600000000001
34,15,0.001179,0.001405
34,14,2e-06,2e-06
35,14,5.6e-05,5.8e-05
35,15,0.005388,0.006793
35,16,0.068423,0.117969
35,17,0.173148,0.518885
35,18,0.089295,0.912562
35,19,0.005619,0.997879
35,20,6e-06,0.999999
36,19,0.001658,0.999537
36,17,0.169445,0.68833
36,16,0.115594,0.23356300000000002
36,18,0.050994,0.9635560000000001
36,14,0.000465,0.000523
36,13,1e-06,1e-06
36,15,0.017973,0.024766
37,13,2.6e-05,2.7e-05
37,14,0.002729,0.003252
37,15,0.045927,0.070693
37,16,0.161073,0.394636
37,17,0.138372,0.826702
37,18,0.024009,0.987565
37,19,0.000376,0.9999129999999999
37,20,1e-06,1.0
38,19,7.8e-05,0.999991
38,18,0.009057,0.996622
38,17,0.092371,0.919073
38,16,0.184558,0.579194
38,14,0.011393,0.014645
38,13,0.00032,0.00034700000000000003
38,12,4e-06,4e-06
38,15,0.092938,0.163631
39,12,4.8e-05,5.2000000000000004e-05
39,13,0.002273,0.00262
39,14,0.036053,0.050698
39,15,0.149747,0.313378
39,16,0.169358,0.748552
39,17,0.05012,0.969193
39,18,0.002668,0.99929
39,19,7e-06,0.9999979999999999
40,17,0.021453,0.990646
40,19,2e-06,1.0
40,18,0.000602,0.999892
40,16,0.126389,0.874941
40,13,0.010956,0.013576000000000001
40,14,0.083487,0.134185
40,15,0.190466,0.503844
40,12,0.000467,0.000519
40,11,4e-06,4e-06
41,17,0.00719,0.997836
41,16,0.074772,0.949713
41,15,0.191083,0.694927
41,14,0.145515,0.2797
41,18,0.0001,0.999992
41,12,0.002988,0.003507
41,11,7.3e-05,7.7e-05
41,10,2e-06,2e-06
41,13,0.035644,0.04922
42,18,8e-06,1.0
42,17,0.0018,0.999636
42,16,0.034127,0.98384
42,15,0.149274,0.844201
42,14,0.193549,0.47324900000000003
42,12,0.013048,0.016555
42,11,0.000713,0.00079
42,10,8e-06,9.999999999999999e-06
42,13,0.084392,0.133612
43,15,0.091013,0.935214
43,17,0.000322,0.999958
43,16,0.012191,0.996031
43,14,0.198882,0.672131
43,12,0.040068,0.056623
43,11,0.003726,0.004516
43,10,6.6e-05,7.6e-05
43,13,0.147038,0.28065
44,16,0.003224,0.999255
44,10,0.000626,0.000702
44,11,0.014935,0.019451
44,12,0.088555,0.145178
44,13,0.194628,0.475278
44,14,0.157859,0.82999
44,15,0.043484,0.978698
44,17,3.6e-05,0.9999939999999999
45,15,0.015641,0.994339
45,14,0.097985,0.927975
45,13,0.196197,0.671475
45,9,3e-06,3e-06
45,11,0.040089,0.059539999999999996
45,10,0.00295,0.003652
45,16,0.000637,0.999892
45,12,0.147241,0.292419
45,17,6e-06,1.0
46,14,0.04716,0.975135
46,16,9.8e-05,0.99999
46,13,0.15566,0.827135
46,15,0.00451,0.998849
46,11,0.083193,0.142733
46,10,0.010501,0.014152999999999999
46,9,3.3e-05,3.6e-05
46,12,0.186974,0.479393
47,15,0.000983,0.9998319999999999
47,14,0.017865,0.993
47,13,0.096794,0.923929
47,16,9e-06,0.999999
47,11,0.133378,0.276111
47,10,0.026983,0.041136
47,9,0.000204,0.00024
47,12,0.187547,0.66694
48,8,2e-06,2e-06
48,9,0.001068,0.001308
48,10,0.056091,0.09722700000000001
48,11,0.168505,0.444616
48,12,0.149454,0.8163940000000001
48,13,0.04837,0.972299
48,14,0.005496,0.998496
48,15,0.000142,0.999974
48,16,1e-06,1.0
49,13,0.019477,0.991776
49,15,2.4e-05,0.9999979999999999
49,12,0.09764,0.914034
49,14,0.001239,0.999735
49,10,0.092997,0.190224
49,9,0.004282,0.00559
49,8,2.5e-05,2.7000000000000002e-05
49,11,0.175834,0.62045
50,8,0.000169,0.000196
50,9,0.012747,0.018337
50,10,0.129478,0.31970200000000004
50,11,0.151232,0.771682
50,12,0.051984,0.966018
50,13,0.006244,0.99802
50,14,0.000232,0.999967
50,15,2e-06,1.0
51,14,3.2e-05,0.999999
51,13,0.001608,0.9996280000000001
51,12,0.022822,0.98884
51,11,0.108776,0.880458
51,10,0.155083,0.474785
51,8,0.00092,0.001116
51,7,3e-06,3e-06
51,9,0.029466,0.047803
52,7,5.4e-05,5.6999999999999996e-05
52,8,0.003808,0.004924
52,9,0.057882,0.105685
52,10,0.156459,0.631244
52,11,0.066089,0.946547
52,12,0.00823,0.99707
52,13,0.000311,0.999939
52,14,1e-06,1.0
53,12,0.00228,0.99935
53,13,5.7e-05,0.999996
53,11,0.033134,0.979681
53,10,0.136675,0.767919
