Points,Position,Probability,Cumulative
20,20,4e-05,4e-05
21,20,0.000425,0.00046499999999999997
22,20,0.002441,0.002906
23,19,1.4e-05,1.4e-05
23,20,0.009038,0.011944
24,19,0.00012,0.000134
24,20,0.023164,0.035108
25,19,0.001033,0.001167
25,20,0.049803,0.084911
26,19,0.004916,0.006083
26,20,0.085831,0.170742
26,18,1.9e-05,1.9e-05
27,18,0.000189,0.00020800000000000001
27,19,0.016367,0.022449999999999998
27,20,0.124672,0.295414
28,18,0.001492,0.0017000000000000001
28,19,0.041425,0.06387499999999999
28,20,0.154916,0.45033
29,20,0.162974,0.6133040000000001
29,17,4e-06,4e-06
29,18,0.006164,0.007864
29,19,0.080956,0.144831
30,20,0.145616,0.75892
30,19,0.126773,0.27160399999999996
30,17,6.1e-05,6.5e-05
30,18,0.018606,0.02647
31,16,1e-06,1e-06
31,17,0.000511,0.0005759999999999999
31,18,0.043147,0.069617
31,19,0.162231,0.43383499999999997
31,20,0.110094,0.869014
32,20,0.070226,0.93924
32,16,1.4e-05,1.5e-05
32,17,0.003115,0.003691
32,18,0.080937,0.150554
32,19,0.173419,0.607254
33,20,0.037206,0.976446
33,19,0.154724,0.7619779999999999
33,16,0.000171,0.00018600000000000002
33,17,0.012476,0.016167
33,18,0.126687,0.27724099999999996
34,19,0.11531,0.877288
34,15,5e-06,5e-06
34,16,0.001334,0.0015199999999999999
34,17,0.036061,0.052228000000000004
34,18,0.164079,0.44132
34,20,0.01611,0.992556
35,19,0.069658,0.946946
35,20,0.005602,0.998158
35,18,0.177217,0.618537
35,16,0.006926,0.008446
35,15,0.00013,0.000135
35,17,0.079097,0.131325
36,20,0.00151,0.999668
36,14,9e-06,9e-06
36,15,0.001093,0.001228
36,16,0.024608,0.033054
36,17,0.13537,0.266695
36,18,0.15688,0.775417
36,19,0.0346,0.9815459999999999
37,18,0.113796,0.889213
37,17,0.182216,0.44891099999999995
37,16,0.063599,0.096653
37,13,1e-06,1e-06
37,14,0.000153,0.000162
37,19,0.013254,0.9947999999999999
37,15,0.006194,0.007422
37,20,0.000287,0.999955
38,19,0.004146,0.998946
38,20,4.2e-05,0.999997
38,18,0.066088,0.955301
38,17,0.194048,0.642959
38,15,0.023569,0.030990999999999998
38,14,0.001298,0.00146
38,13,2.1e-05,2.2e-05
38,16,0.123228,0.219881
39,19,0.000892,0.999838
39,20,3e-06,1.0
39,18,0.030562,0.9858629999999999
39,17,0.164552,0.807511
39,16,0.184506,0.404387
39,15,0.065315,0.096306
39,14,0.007638,0.009098
39,13,0.000248,0.00027
39,12,2e-06,2e-06
40,18,0.010623,0.996486
40,17,0.109144,0.916655
40,16,0.211145,0.615532
40,15,0.133877,0.23018299999999997
40,19,0.00015,0.999988
40,13,0.002229,0.002499
40,12,5.5e-05,5.7e-05
40,11,1e-06,1e-06
40,14,0.030058,0.039156
41,18,0.002883,0.999369
41,17,0.055454,0.972109
41,19,1.2e-05,1.0
41,15,0.201868,0.43205099999999996
41,16,0.18373,0.799262
41,14,0.0824,0.121556
41,13,0.012598,0.015097
41,12,0.000678,0.000735
41,11,1.1e-05,1.2e-05
42,18,0.000561,0.99993
42,17,0.020913,0.993022
42,16,0.119082,0.918344
42,15,0.223238,0.655289
42,14,0.160689,0.28224499999999997
42,13,0.045569,0.060666
42,12,0.00491,0.005645000000000001
42,11,0.000222,0.000234
42,10,2e-06,2e-06
43,18,6.7e-05,0.999997
43,16,0.056985,0.975329
43,15,0.180491,0.83578
43,14,0.222894,0.505139
43,17,0.005756,0.9987779999999999
43,12,0.023412,0.029057
43,11,0.001944,0.002178
43,10,5.3e-05,5.5e-05
43,13,0.112773,0.173439
44,18,3e-06,1.0
44,17,0.001064,0.999842
44,15,0.104911,0.9406909999999999
44,14,0.220596,0.725735
44,16,0.019298,0.994627
44,12,0.071352,0.100409
44,11,0.011202,0.01338
44,10,0.000632,0.000687
44,13,0.191806,0.365245
44,9,7e-06,7e-06
45,17,0.000148,0.9999899999999999
45,9,0.000134,0.000141
45,10,0.004305,0.004992
45,11,0.039891,0.053271
45,12,0.146368,0.246777
45,13,0.230361,0.595606
45,14,0.156386,0.8821209999999999
45,15,0.043599,0.98429
45,16,0.004544,0.999171
46,16,0.000745,0.999916
46,17,9e-06,0.999999
46,14,0.079131,0.961252
46,13,0.198192,0.793798
46,15,0.012762,0.9970519999999999
46,11,0.096927,0.150198
46,10,0.018418,0.02341
46,12,0.209916,0.456693
46,9,0.001087,0.0012280000000000001
46,8,3e-06,3e-06
47,16,7.8e-05,0.999994
47,15,0.002547,0.999599
47,14,0.029196,0.990448
47,13,0.123458,0.917256
47,17,1e-06,1.0
47,11,0.166434,0.316632
47,10,0.052523,0.075933
47,9,0.005362,0.0065899999999999995
47,8,1.9e-05,2.2e-05
47,12,0.217976,0.674669
48,16,6e-06,1.0
48,15,0.000365,0.999964
48,14,0.00787,0.998318
48,13,0.057032,0.974288
48,12,0.165714,0.840383
48,11,0.206977,0.523609
48,9,0.018224,0.024814
48,8,0.000196,0.00021799999999999999
48,7,1e-06,1e-06
48,10,0.106716,0.182649
49,13,0.019571,0.993859
49,15,3.3e-05,0.999997
49,14,0.001469,0.999787
49,12,0.097055,0.937438
49,8,0.001094,0.0013119999999999998
49,10,0.162153,0.344802
49,9,0.045572,0.070386
49,11,0.195452,0.719061
50,15,3e-06,1.0
50,13,0.005021,0.99888
50,12,0.042686,0.980124
50,11,0.14258,0.861641
50,14,0.000191,0.999978
50,9,0.087795,0.15818100000000002
50,8,0.005135,0.006447
50,7,2.8e-05,2.9e-05
50,10,0.191234,0.536036
51,14,2.1e-05,0.999999
51,6,1e-06,1e-06
51,7,0.000223,0.000252
51,8,0.015864,0.022310999999999998
51,9,0.133673,0.291854
51,10,0.178894,0.71493
51,11,0.08205,0.9436910000000001
51,12,0.014951,0.995075
51,13,0.000978,0.999858
52,13,0.000127,0.999985
52,12,0.004,0.999075
52,14,1e-06,1.0
52,11,0.037716,0.981407
52,8,0.037923,0.060233999999999996
52,9,0.166746,0.4586
52,6,6e-06,7e-06
52,10,0.13561,0.85054
52,7,0.001308,0.00156
53,6,0.000114,0.000121
53,7,0.005288,0.006848
53,8,0.07296,0.13319399999999998
53,9,0.17146,0.6300600000000001
53,10,0.08297,0.93351
53,11,0.013638,0.9950450000000001
53,12,0.000783,0.999858
53,13,1.4e-05,0.999999
54,13,1e-06,1.0
54,12,0.000125,0.999983
54,11,0.003921,0.998966
54,10,0.041889,0.975399
54,6,0.000687,0.000808
54,8,0.114245,0.247439
54,7,0.016469,0.023317
54,5,1e-05,1e-05
54,9,0.148075,0.778135
55,11,0.000902,0.999868
55,12,1.5e-05,0.9999979999999999
55,9,0.106953,0.885088
55,10,0.01733,0.992729
55,7,0.039703,0.06302
55,8,0.149709,0.397148
55,6,0.003068,0.003876
55,5,6.7e-05,7.7e-05
56,11,0.00011,0.999978
56,10,0.005556,0.998285
56,9,0.063936,0.9490240000000001
56,8,0.165241,0.562389
56,12,2e-06,1.0
56,6,0.010696,0.014572000000000002
56,5,0.000521,0.000598
56,4,5e-06,5e-06
56,7,0.076848,0.139868
57,4,5.6e-05,6.1e-05
57,5,0.002336,0.002934
57,6,0.028743,0.043315000000000006
57,7,0.121744,0.261612
57,8,0.154054,0.7164429999999999
57,9,0.032301,0.981325
57,10,0.001419,0.999704
57,11,2e-05,0.999998
58,9,0.013187,0.9945120000000001
58,11,2e-06,1.0
58,10,0.000253,0.999957
58,8,0.122539,0.838982
58,7,0.159123,0.42073499999999997
58,6,0.061508,0.104823
58,5,0.008406,0.01134
58,4,0.00035,0.000411
59,9,0.00419,0.9987020000000001
59,8,0.081675,0.920657
59,7,0.172956,0.593691
59,10,3.7e-05,0.999994
59,5,0.023934,0.035274
59,4,0.001753,0.002164
59,3,2.1e-05,2.1e-05
59,6,0.106777,0.2116
60,3,0.000149,0.00016999999999999999
60,4,0.006428,0.008591999999999999
60,5,0.054295,0.08956900000000001
60,6,0.152124,0.363724
60,7,0.157399,0.75109
60,8,0.046259,0.966916
60,9,0.001062,0.999764
60,10,6e-06,1.0
61,8,0.021583,0.988499
61,9,0.000205,0.999969
61,7,0.118631,0.869721
61,6,0.178411,0.542135
61,4,0.019291,0.027882999999999998
61,3,0.000839,0.001009
61,2,1.1e-05,1.1e-05
61,5,0.099124,0.188693
62,8,0.008363,0.996862
62,2,6.3e-05,7.4e-05
62,3,0.003688,0.004697
62,4,0.045645,0.073528
62,5,0.147404,0.336097
62,6,0.171941,0.7140759999999999
62,7,0.07309,0.9428110000000001
62,9,2.9e-05,0.999998
63,8,0.002426,0.999288
63,7,0.037027,0.979838
63,6,0.134554,0.84863
63,5,0.18034,0.516437
63,1,1e-06,1e-06
63,3,0.011946,0.016642999999999998
63,2,0.000413,0.000487
63,9,2e-06,1.0
63,4,0.087383,0.160911
64,6,0.085239,0.933869
64,5,0.177649,0.694086
64,7,0.0144,0.994238
64,8,0.000599,0.999887
64,4,0.1366,0.29751099999999997
64,2,0.001863,0.00235
64,3,0.031209,0.047852
64,1,6e-06,7e-06
65,1,8.1e-05,8.8e-05
65,2,0.00655,0.0089
65,3,0.065057,0.11290900000000001
65,4,0.173796,0.47130700000000003
65,5,0.141847,0.835933
65,6,0.04274,0.976609
65,7,0.004492,0.99873
65,8,9.7e-05,0.999984
66,8,1.5e-05,0.999999
66,7,0.00105,0.99978
66,6,0.016803,0.993412
66,5,0.091165,0.927098
66,1,0.000468,0.000556
66,3,0.110004,0.22291300000000003
66,2,0.018527,0.027427
66,4,0.179118,0.650425
67,7,0.000203,0.999983
67,8,1e-06,1.0
67,6,0.005147,0.998559
67,5,0.046522,0.97362
67,3,0.149733,0.37264600000000003
67,2,0.041084,0.06851099999999999
67,1,0.001837,0.002393
67,4,0.150145,0.80057
68,1,0.005797,0.00819
68,2,0.074621,0.143132
68,3,0.168899,0.541545
68,4,0.10268,0.90325
68,5,0.018624,0.992244
68,6,0.001211,0.9997699999999999
68,7,1.7e-05,1.0
69,2,0.110845,0.253977
69,6,0.00021,0.99998
69,5,0.005934,0.998178
69,1,0.014961,0.023151
69,3,0.157594,0.6991390000000001
69,4,0.056978,0.960228
70,5,0.00151,0.999688
70,1,0.030333,0.053484000000000004
70,2,0.13821,0.392187
70,3,0.124579,0.8237180000000001
70,4,0.026128,0.986356
70,6,2e-05,1.0
71,4,0.009854,0.99621
71,5,0.000267,0.999955
71,3,0.084781,0.9084990000000001
71,1,0.052103,0.105587
71,2,0.149841,0.542028
72,1,0.076275,0.181862
72,2,0.139589,0.681617
72,3,0.048845,0.957344
72,4,0.002899,0.999109
72,5,4.1e-05,0.999996
