Points,Position,Probability,Cumulative
20,20,0.007449,0.007449
21,20,0.031615,0.039063999999999995
22,20,0.059612,0.09867599999999999
23,20,0.082318,0.180994
24,19,1.3e-05,1.3e-05
24,20,0.109144,0.290138
25,19,0.000171,0.000184
25,20,0.125414,0.415552
26,19,0.000887,0.001071
26,20,0.123165,0.538717
27,20,0.115971,0.6546879999999999
27,19,0.003108,0.004179
28,18,6e-06,6e-06
28,19,0.008933,0.013112
28,20,0.103683,0.758371
29,18,6.2e-05,6.8e-05
29,19,0.020222,0.033334
29,20,0.08078,0.839151
30,18,0.000461,0.000529
30,19,0.038021,0.071355
30,20,0.060902,0.900053
31,20,0.043861,0.9439139999999999
31,19,0.063354,0.134709
31,18,0.002001,0.00253
31,17,2e-06,2e-06
32,17,4.9e-05,5.1e-05
32,18,0.007072,0.009602
32,19,0.093477,0.228186
32,20,0.027255,0.971169
33,16,1e-06,1e-06
33,17,0.00033,0.000381
33,18,0.019404,0.029006
33,19,0.122078,0.350264
33,20,0.015626,0.986795
34,20,0.008056,0.9948509999999999
34,19,0.142861,0.493125
34,16,1.2e-05,1.3000000000000001e-05
34,17,0.001946,0.002327
34,18,0.043575,0.072581
35,16,0.00014,0.00015299999999999998
35,17,0.008111,0.010438
35,18,0.082328,0.15490900000000002
35,19,0.148106,0.641231
35,20,0.00339,0.9982409999999999
36,19,0.133736,0.774967
36,18,0.129704,0.284613
36,20,0.001257,0.999498
36,16,0.001165,0.001318
36,15,9e-06,9e-06
36,17,0.025084,0.035522
37,15,0.000173,0.000182
37,16,0.006149,0.007467
37,17,0.061922,0.097444
37,18,0.171527,0.45614
37,19,0.104352,0.879319
37,20,0.000395,0.999893
38,20,8.6e-05,0.999979
38,19,0.06695,0.9462689999999999
38,17,0.119302,0.216746
38,18,0.185261,0.641401
38,15,0.001292,0.001474
38,14,1.9e-05,1.9e-05
38,16,0.022554,0.030021
39,13,2e-06,2e-06
39,14,0.000301,0.00031999999999999997
39,15,0.007321,0.008795
39,16,0.062832,0.09285299999999999
39,17,0.179088,0.395834
39,18,0.161057,0.802458
39,19,0.034692,0.980961
39,20,1.8e-05,0.999997
40,20,3e-06,1.0
40,19,0.013863,0.9948239999999999
40,18,0.110108,0.912566
40,17,0.208499,0.604333
40,15,0.028227,0.037022
40,14,0.002192,0.002512
40,13,4.3e-05,4.5e-05
40,16,0.127798,0.22065099999999999
41,12,8e-06,8e-06
41,13,0.000576,0.000621
41,14,0.011424,0.013936
41,15,0.076644,0.113666
41,16,0.194046,0.414697
41,17,0.18356,0.787893
41,18,0.057507,0.9700730000000001
41,19,0.004162,0.9989859999999999
42,19,0.000885,0.999871
42,18,0.022234,0.992307
42,17,0.123267,0.91116
42,16,0.219417,0.634114
42,11,1e-06,1e-06
42,14,0.040332,0.054268
42,13,0.003844,0.004465
42,12,0.0001,0.00010800000000000001
42,15,0.15,0.263666
43,17,0.060593,0.971753
43,19,0.000117,0.999988
43,18,0.006282,0.9985890000000001
43,16,0.182799,0.816913
43,12,0.000982,0.00109
43,14,0.09904,0.153308
43,11,9e-06,1e-05
43,15,0.212471,0.476137
43,13,0.017643,0.022108
44,11,0.00013,0.00014
44,12,0.005657,0.0067469999999999995
44,13,0.054558,0.076666
44,14,0.17295,0.326258
44,15,0.217474,0.693611
44,16,0.112486,0.929399
44,17,0.021691,0.993444
44,18,0.001204,0.999793
44,19,1.2e-05,1.0
45,18,0.000182,0.9999750000000001
45,17,0.005451,0.998895
45,16,0.050064,0.979463
45,15,0.165499,0.85911
45,11,0.001241,0.0013809999999999998
45,13,0.119124,0.19579000000000002
45,12,0.023146,0.029893
45,10,1.1e-05,1.1e-05
45,14,0.220776,0.547034
