Points,Position,Probability,Cumulative
9,20,3.2e-05,3.2e-05
10,20,0.000208,0.00023999999999999998
11,20,0.000806,0.001046
12,20,0.001959,0.003005
13,20,0.004248,0.007253
14,19,1e-06,1e-06
14,20,0.008157,0.01541
15,19,3e-06,4e-06
15,20,0.013894,0.029303999999999997
16,19,2.9e-05,3.3e-05
16,20,0.021847,0.051150999999999995
17,19,0.00011,0.000143
17,20,0.031983,0.08313399999999999
18,19,0.000423,0.000566
18,20,0.043732,0.12686599999999998
19,20,0.056335,0.183201
19,19,0.001093,0.0016589999999999999
20,19,0.002624,0.004283
20,20,0.069375,0.252576
21,19,0.005632,0.009915
21,20,0.080714,0.33329
22,18,6e-06,6e-06
22,19,0.010701,0.020616000000000002
22,20,0.088765,0.42205499999999996
23,18,2.8e-05,3.4e-05
23,19,0.01839,0.039006
23,20,0.09324,0.515295
24,18,0.000132,0.00016600000000000002
24,19,0.029153,0.068159
24,20,0.09279,0.608085
25,20,0.087723,0.695808
25,18,0.000443,0.000609
25,19,0.04249,0.110649
26,17,2e-06,2e-06
26,18,0.001355,0.001964
26,19,0.057646,0.168295
26,20,0.078696,0.774504
27,17,8e-06,9.999999999999999e-06
27,18,0.003484,0.005448
27,19,0.073887,0.242182
27,20,0.066548,0.841052
28,17,5.7e-05,6.7e-05
28,18,0.008096,0.013544
28,19,0.089072,0.331254
28,20,0.052763,0.893815
29,18,0.016319,0.029863
29,20,0.039844,0.933659
29,17,0.000288,0.000355
29,19,0.100529,0.431783
30,16,7e-06,7e-06
30,17,0.000967,0.001322
30,18,0.030065,0.059928
30,19,0.106521,0.538304
30,20,0.027791,0.96145
31,19,0.106611,0.644915
31,16,2.1e-05,2.8e-05
31,17,0.003082,0.004404
31,18,0.049405,0.109333
31,20,0.017933,0.979383
32,20,0.010555,0.989938
32,18,0.072807,0.18214
32,19,0.097847,0.742762
32,16,0.000183,0.000211
32,15,1e-06,1e-06
32,17,0.007865,0.012269
33,15,7e-06,8e-06
33,16,0.000644,0.0008550000000000001
33,17,0.017418,0.029686999999999998
33,18,0.098796,0.28093599999999996
33,19,0.083422,0.826184
33,20,0.005775,0.995713
34,15,3.8e-05,4.6e-05
34,16,0.002347,0.003202
34,17,0.034335,0.064022
34,18,0.119678,0.400614
34,19,0.065556,0.89174
34,20,0.002602,0.998315
35,20,0.001116,0.999431
35,19,0.04717,0.93891
35,18,0.131503,0.532117
35,16,0.006931,0.010133
35,15,0.000212,0.000258
35,17,0.060017,0.12403900000000001
35,14,1e-06,1e-06
36,14,1.1e-05,1.2e-05
36,15,0.000932,0.00119
36,16,0.017368,0.027501
36,17,0.091639,0.215678
36,18,0.131432,0.6635489999999999
36,19,0.030287,0.969197
36,20,0.000414,0.999845
37,20,0.000113,0.999958
37,18,0.116276,0.779825
37,19,0.016977,0.986174
37,17,0.124157,0.339835
37,15,0.003337,0.004527
37,14,8.6e-05,9.8e-05
37,16,0.036982,0.064483
38,13,1e-05,1e-05
38,14,0.000516,0.000614
38,15,0.010309,0.014836
38,16,0.068499,0.132982
38,17,0.147668,0.487503
38,18,0.091459,0.871284
38,19,0.008488,0.9946619999999999
38,20,3.7e-05,0.999995
39,20,2e-06,0.999997
39,19,0.003588,0.99825
39,18,0.06266,0.933944
39,16,0.108984,0.24196600000000001
39,17,0.153107,0.64061
39,14,0.002228,0.002842
39,13,5e-05,6e-05
39,12,2e-06,2e-06
39,15,0.02687,0.041706
40,20,3e-06,1.0
40,19,0.001287,0.999537
40,18,0.037087,0.971031
40,17,0.136103,0.776713
40,16,0.14764,0.389606
40,14,0.008228,0.01107
40,13,0.000435,0.000495
40,12,5e-06,7.000000000000001e-06
40,15,0.056843,0.098549
41,17,0.103545,0.880258
41,19,0.000356,0.999893
41,18,0.018251,0.989282
41,16,0.1685,0.558106
41,12,7.5e-05,8.199999999999999e-05
41,14,0.023731,0.034801
41,13,0.002133,0.002628
41,15,0.101265,0.199814
42,19,8.8e-05,0.999981
42,18,0.007619,0.996901
42,17,0.065714,0.945972
42,15,0.149167,0.348981
42,16,0.162979,0.721085
42,13,0.008447,0.011075
42,12,0.000477,0.000559
42,11,1.6e-05,1.6e-05
42,14,0.055669,0.09047
43,16,0.129594,0.850679
43,19,1.6e-05,0.999997
43,18,0.002372,0.999273
43,17,0.034065,0.980037
43,15,0.181434,0.530415
43,10,3e-06,3e-06
43,13,0.026192,0.037267
43,12,0.00274,0.003299
43,11,0.000114,0.00013000000000000002
43,14,0.105067,0.195537
44,17,0.014058,0.994095
44,19,3e-06,1.0
44,18,0.0006,0.999873
44,15,0.178499,0.708914
44,16,0.083464,0.9341430000000001
44,13,0.062887,0.10015399999999999
44,14,0.159304,0.35484099999999996
44,12,0.010981,0.01428
44,11,0.000791,0.000921
44,10,2.7e-05,2.9999999999999997e-05
45,17,0.004573,0.998668
45,16,0.042621,0.976764
45,15,0.140799,0.8497129999999999
45,14,0.193304,0.548145
45,18,0.000109,0.999982
45,12,0.033591,0.047871000000000004
45,11,0.004275,0.005196
45,10,0.000206,0.000236
45,9,2e-06,2e-06
45,13,0.118722,0.218876
46,18,1.8e-05,1.0
46,17,0.001113,0.999781
46,16,0.016927,0.993691
46,15,0.088047,0.93776
46,14,0.184401,0.732546
46,13,0.174837,0.393713
46,11,0.016195,0.021391
46,10,0.001498,0.0017339999999999999
46,9,5.6e-05,5.8e-05
46,12,0.078236,0.126107
